number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
37,0.5161133408546448,2023-09-03 15:05:01.358756,2023-09-03 15:05:04.329923,0 days 00:00:02.971167,Tanh,Leaky,,,30,1,19.0,,,0.04210966737426412,2,100,0.7181415209951085,0.00043467109577086826,COMPLETE
38,0.32599928975105286,2023-09-03 15:05:04.330188,2023-09-03 15:05:06.423090,0 days 00:00:02.092902,ReLU,Leaky,Leaky,,30,18,11.0,10.0,,0.013668041793220051,3,60,0.6928774925743495,0.0009012299877997037,COMPLETE
39,0.312284916639328,2023-09-03 15:05:06.423365,2023-09-03 15:05:07.865474,0 days 00:00:01.442109,Tanh,Tanh,Tanh,Sigmoid,30,22,15.0,16.0,20.0,0.007304967425843656,4,40,0.6059726869379691,3.657084901469785e-05,COMPLETE
40,0.33392980694770813,2023-09-03 15:05:07.865752,2023-09-03 15:05:10.892778,0 days 00:00:03.027026,Tanh,Tanh,Tanh,Sigmoid,30,22,19.0,5.0,20.0,0.006661016730521066,4,80,0.6414496835615945,3.815818222042908e-05,COMPLETE
41,0.32100653648376465,2023-09-03 15:05:10.893057,2023-09-03 15:05:12.624857,0 days 00:00:01.731800,Tanh,Tanh,Tanh,Sigmoid,30,19,15.0,16.0,16.0,0.018506927395894823,4,40,0.7341308907955956,0.00030969205128400604,COMPLETE
42,0.34264668822288513,2023-09-03 15:05:12.625142,2023-09-03 15:05:14.017721,0 days 00:00:01.392579,Tanh,Tanh,Tanh,Tanh,30,23,14.0,21.0,14.0,0.00841417037502631,4,40,0.5842112092607135,4.719359263868704e-05,COMPLETE
43,0.32184678316116333,2023-09-03 15:05:14.018000,2023-09-03 15:05:15.302711,0 days 00:00:01.284711,Tanh,Leaky,Tanh,ReLU,30,20,8.0,13.0,24.0,0.024460661197905843,4,40,0.53587834015233,0.00014177439147428306,COMPLETE
44,0.34802696108818054,2023-09-03 15:05:15.302991,2023-09-03 15:05:21.688723,0 days 00:00:06.385732,Tanh,ReLU,,,4,22,16.0,,,0.010810844445344303,2,40,0.6128417068683817,0.0005418316782396455,COMPLETE
45,0.3047207295894623,2023-09-03 15:05:21.689000,2023-09-03 15:05:29.885176,0 days 00:00:08.196176,ReLU,Tanh,,,10,20,12.0,,,0.007701724347411809,2,100,0.7549596139006337,0.0012896285947687999,COMPLETE
46,0.3747997581958771,2023-09-03 15:05:29.885443,2023-09-03 15:05:38.371940,0 days 00:00:08.486497,ReLU,Tanh,,,10,20,10.0,,,0.0024792503935788857,2,100,0.7781697441376852,0.0013945937680742589,COMPLETE
47,0.3384963274002075,2023-09-03 15:05:38.372217,2023-09-03 15:05:44.408648,0 days 00:00:06.036431,ReLU,,,,10,18,,,,0.00544718872577262,1,100,0.722957261830845,0.0009095726746652671,COMPLETE
48,0.27305707335472107,2023-09-03 15:05:44.408905,2023-09-03 15:05:53.160995,0 days 00:00:08.752090,ReLU,Tanh,,,10,23,12.0,,,0.0031145567769986487,2,100,0.7999568346748301,0.0024555710973655,COMPLETE
49,0.3461536467075348,2023-09-03 15:05:53.161254,2023-09-03 15:06:01.834518,0 days 00:00:08.673264,ReLU,Tanh,,,10,23,8.0,,,0.0033942236595376663,2,100,0.7976956277424934,0.002902089477431751,COMPLETE
50,0.3117601275444031,2023-09-03 15:06:01.834779,2023-09-03 15:06:08.796523,0 days 00:00:06.961744,ReLU,,,,10,24,,,,0.001346629927166729,1,100,0.6609505251892227,0.0017426418301987406,COMPLETE
51,0.3483732342720032,2023-09-03 15:06:08.796776,2023-09-03 15:06:14.562150,0 days 00:00:05.765374,ReLU,,,,10,24,,,,0.0014968062005599816,1,100,0.6545705704379411,0.0018319824018352933,COMPLETE
52,0.34478774666786194,2023-09-03 15:06:14.562414,2023-09-03 15:06:21.713253,0 days 00:00:07.150839,ReLU,,,,10,23,,,,0.002369442966554031,1,100,0.7420127999425663,0.0034526010383991723,COMPLETE
53,0.35177648067474365,2023-09-03 15:06:21.713516,2023-09-03 15:06:26.934085,0 days 00:00:05.220569,ReLU,,,,10,21,,,,0.004516323971468857,1,100,0.6074984415578903,0.001592373462748553,COMPLETE
54,0.3231518864631653,2023-09-03 15:06:26.934357,2023-09-03 15:06:38.330825,0 days 00:00:11.396468,ReLU,Tanh,,,10,24,21.0,,,0.0028988662520488795,2,100,0.6745601294846724,0.004618568431336394,COMPLETE
55,0.7099133133888245,2023-09-03 15:06:38.331089,2023-09-03 15:06:45.604999,0 days 00:00:07.273910,ReLU,Tanh,,,8,22,1.0,,,0.0013257616510347324,2,100,0.5443881239674566,0.00814870406186455,COMPLETE
56,0.2935682535171509,2023-09-03 15:06:45.605270,2023-09-03 15:06:52.210606,0 days 00:00:06.605336,ReLU,,,,10,23,,,,0.0033056502372016895,1,100,0.7834602556923895,0.000836421252751531,COMPLETE
57,0.33450138568878174,2023-09-03 15:06:52.210878,2023-09-03 15:06:58.934516,0 days 00:00:06.723638,ReLU,,,,10,23,,,,0.0029921369537676606,1,100,0.7579876905931637,0.0012620397168523812,COMPLETE
58,0.36443614959716797,2023-09-03 15:06:58.934772,2023-09-03 15:07:05.545145,0 days 00:00:06.610373,ReLU,,,,10,21,,,,0.0017038763566405513,1,100,0.6564588946720207,0.0020899214741441903,COMPLETE
59,0.3353160321712494,2023-09-03 15:07:05.545398,2023-09-03 15:07:11.656653,0 days 00:00:06.111255,Leaky,,,,16,24,,,,0.00403097577458821,1,100,0.7824572473304595,0.0009813968542765564,COMPLETE
60,0.33645328879356384,2023-09-03 15:07:11.656923,2023-09-03 15:07:17.772231,0 days 00:00:06.115308,ReLU,,,,10,19,,,,0.0010774621784152077,1,100,0.688312143177293,0.0007931969145344827,COMPLETE
61,0.4032056927680969,2023-09-03 15:07:17.772495,2023-09-03 15:07:49.643917,0 days 00:00:31.871422,Sigmoid,Tanh,,,2,22,12.0,,,0.006276545936262617,2,100,0.6229212043257256,0.0024023208096038023,COMPLETE
62,0.3304639160633087,2023-09-03 15:07:49.644203,2023-09-03 15:07:57.356884,0 days 00:00:07.712681,ReLU,Tanh,,,8,20,18.0,,,0.004234210845097784,2,100,0.5671212758730892,0.001309844187085467,COMPLETE
63,0.320517897605896,2023-09-03 15:07:57.357149,2023-09-03 15:08:02.777551,0 days 00:00:05.420402,ReLU,Tanh,,,10,23,15.0,,,0.0018495186086948377,2,60,0.7965586474268164,0.0008265096203846406,COMPLETE
64,0.3863004744052887,2023-09-03 15:08:02.777816,2023-09-03 15:08:14.118313,0 days 00:00:11.340497,Leaky,,,,4,21,,,,0.006749131633850267,1,80,0.7244673795940367,0.0017131290514033305,COMPLETE
65,0.30238640308380127,2023-09-03 15:08:14.118581,2023-09-03 15:08:21.544591,0 days 00:00:07.426010,ReLU,Tanh,,,10,22,9.0,,,0.0022736303959036493,2,100,0.670582243818786,0.0034179535400120273,COMPLETE
66,0.3302120864391327,2023-09-03 15:08:21.544860,2023-09-03 15:08:28.984187,0 days 00:00:07.439327,ReLU,ReLU,,,10,20,10.0,,,0.002431585705585188,2,100,0.6770343542167722,0.0028624340059928673,COMPLETE
