number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
38,0.30168020725250244,2023-09-05 16:01:44.806306,2023-09-05 16:01:45.065522,0 days 00:00:00.259216,ReLU,Sigmoid,ReLU,,,77,12,23.0,9.0,,,0.011860080685861675,3,142,0.4363600640231309,5.5942057258444806e-05,188.2205716852556,COMPLETE
39,0.36433324217796326,2023-09-05 16:01:45.065779,2023-09-05 16:01:45.186300,0 days 00:00:00.120521,Leaky,,,,,78,12,,,,,0.050958876136061794,1,91,0.40995758381355657,5.012611016653928e-05,332.2511604710629,COMPLETE
40,0.2478262186050415,2023-09-05 16:01:45.186551,2023-09-05 16:01:45.419233,0 days 00:00:00.232682,ReLU,ReLU,,,,57,18,23.0,,,,0.026221423660134757,2,132,0.44288235993535047,0.0001304094434951905,355.975064647441,COMPLETE
41,0.2599782347679138,2023-09-05 16:01:45.419473,2023-09-05 16:01:45.760067,0 days 00:00:00.340594,ReLU,ReLU,,,,54,18,23.0,,,,0.028133450934359996,2,131,0.43656503634860294,0.00013101127028508522,333.79330196896115,COMPLETE
42,0.27682194113731384,2023-09-05 16:01:45.760308,2023-09-05 16:01:46.002078,0 days 00:00:00.241770,ReLU,ReLU,,,,42,19,23.0,,,,0.026285388433021906,2,98,0.4615399527514735,0.00012067975289494478,119.77153331477467,COMPLETE
43,0.23122553527355194,2023-09-05 16:01:46.002319,2023-09-05 16:01:46.264162,0 days 00:00:00.261843,ReLU,ReLU,,,,42,19,23.0,,,,0.027463200085757505,2,101,0.5163888097730306,0.00014147552897310307,232.49494972229004,COMPLETE
44,0.278894305229187,2023-09-05 16:01:46.264409,2023-09-05 16:01:46.381346,0 days 00:00:00.116937,ReLU,ReLU,,,,54,22,20.0,,,,0.04900267038121794,2,83,0.5417722573219675,0.00032379886865169656,254.98861779106988,COMPLETE
45,0.3162572681903839,2023-09-05 16:01:46.381582,2023-09-05 16:01:46.660218,0 days 00:00:00.278636,ReLU,,,,,40,18,,,,,0.028534634742202854,1,123,0.5134559670485811,0.0005712583977457574,265.31199675339917,COMPLETE
46,0.266229510307312,2023-09-05 16:01:46.660451,2023-09-05 16:01:46.980730,0 days 00:00:00.320279,ReLU,ReLU,,,,49,22,24.0,,,,0.058228998207129526,2,157,0.6033737572443727,0.00020956064279380228,204.0528481801351,COMPLETE
47,0.22474358975887299,2023-09-05 16:01:46.980976,2023-09-05 16:01:47.280430,0 days 00:00:00.299454,ReLU,ReLU,,,,55,19,19.0,,,,0.02057607191267567,2,114,0.4296514568080992,0.0001665812522978912,139.40644378662108,COMPLETE
48,0.3360433578491211,2023-09-05 16:01:47.280658,2023-09-05 16:01:47.501113,0 days 00:00:00.220455,Leaky,,,,,52,20,,,,,0.03632081806485586,1,110,0.4178437739211608,0.00015023827275886104,1386.7338856664196,COMPLETE
49,0.32349178194999695,2023-09-05 16:01:47.501353,2023-09-05 16:01:47.639848,0 days 00:00:00.138495,ReLU,ReLU,,,,58,18,18.0,,,,0.09775074268176583,2,64,0.48723451443575577,0.0003977854576346678,283.69478881835937,COMPLETE
50,0.331256628036499,2023-09-05 16:01:47.640092,2023-09-05 16:01:47.943305,0 days 00:00:00.303213,Sigmoid,ReLU,,,,38,21,19.0,,,,0.020753558028868566,2,76,0.4300974924171035,0.00025317896564591323,140.6991275024414,COMPLETE
51,0.2544345259666443,2023-09-05 16:01:47.943564,2023-09-05 16:01:48.167903,0 days 00:00:00.224339,ReLU,ReLU,,,,28,16,23.0,,,,0.024600325716543348,2,160,0.3697701020793781,8.491636034817147e-05,319.9646183558873,COMPLETE
52,0.2962383031845093,2023-09-05 16:01:48.168158,2023-09-05 16:01:48.317901,0 days 00:00:00.149743,ReLU,ReLU,,,,24,19,23.0,,,,0.0430315724436213,2,158,0.38976136760659297,0.00013458501123174576,288.97114732530383,COMPLETE
53,0.2992790937423706,2023-09-05 16:01:48.318149,2023-09-05 16:01:48.564207,0 days 00:00:00.246058,ReLU,ReLU,,,,29,17,21.0,,,,0.06596694251661425,2,115,0.4573572016480273,7.736671349017076e-05,3010.4663467407227,COMPLETE
54,0.33680710196495056,2023-09-05 16:01:48.564452,2023-09-05 16:01:48.803800,0 days 00:00:00.239348,ReLU,,,,,19,18,,,,,0.01675298773536205,1,200,0.40153763293663486,0.00016091525929621804,282.10082244873047,COMPLETE
55,0.2895093560218811,2023-09-05 16:01:48.804034,2023-09-05 16:01:48.978135,0 days 00:00:00.174101,ReLU,ReLU,,,,45,20,24.0,,,,0.029235395983962895,2,170,0.35751101097776816,6.960314306319473e-05,174.94241539207664,COMPLETE
56,0.2898922264575958,2023-09-05 16:01:48.978382,2023-09-05 16:01:49.121401,0 days 00:00:00.143019,ReLU,ReLU,,,,57,16,23.0,,,,0.06925828135016764,2,130,0.4363833519896827,0.0002838325805395499,595.6089914957682,COMPLETE
57,0.2610826790332794,2023-09-05 16:01:49.121648,2023-09-05 16:01:49.610539,0 days 00:00:00.488891,Leaky,ReLU,Tanh,Sigmoid,Leaky,65,19,21.0,18.0,24.0,24.0,0.004388637366605408,5,99,0.6664238399248882,0.0005138031808735305,213.45480663371535,COMPLETE
58,0.23680904507637024,2023-09-05 16:01:49.610810,2023-09-05 16:01:49.842059,0 days 00:00:00.231249,ReLU,ReLU,,,,49,24,19.0,,,,0.009285967377709606,2,153,0.4878355965446415,0.0002091841307978717,126.32083683013916,COMPLETE
59,0.3380328118801117,2023-09-05 16:01:49.842306,2023-09-05 16:01:50.116676,0 days 00:00:00.274370,ReLU,,,,,31,24,,,,,0.009993318693408776,1,156,0.4877993839621663,0.00020366073547675208,142.51625061035156,COMPLETE
60,0.28894123435020447,2023-09-05 16:01:50.116918,2023-09-05 16:01:50.414052,0 days 00:00:00.297134,Sigmoid,ReLU,,,,51,23,18.0,,,,0.016420825043954923,2,50,0.5221995834348021,0.0009012033088132428,217.13090240478516,COMPLETE
