number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
51,0.30094337463378906,2023-09-05 14:37:56.980971,2023-09-05 14:37:58.109312,0 days 00:00:01.128341,Leaky,Sigmoid,Sigmoid,,,89,22,10.0,22.0,,,0.0032131684912932203,3,308,0.5853693520843242,0.00012954184646815476,228.12949428982205,COMPLETE
52,0.31735295057296753,2023-09-05 14:37:58.109575,2023-09-05 14:37:58.806744,0 days 00:00:00.697169,Leaky,Sigmoid,Sigmoid,,,96,22,8.0,21.0,,,0.008792915005806779,3,282,0.7148084656442021,7.693056395544454e-05,363.11496903466394,COMPLETE
53,0.3106437027454376,2023-09-05 14:37:58.807021,2023-09-05 14:37:59.561397,0 days 00:00:00.754376,Leaky,Sigmoid,Sigmoid,,,88,20,8.0,19.0,,,0.0033743650906895867,3,262,0.5626760465859674,0.0001202759583570863,356.84743650336014,COMPLETE
54,0.3026162087917328,2023-09-05 14:37:59.561663,2023-09-05 14:37:59.949466,0 days 00:00:00.387803,Leaky,Sigmoid,Sigmoid,,,83,23,6.0,24.0,,,0.009347899585013348,3,222,0.5082410875022304,3.6971577215343714e-05,600.7157377679664,COMPLETE
55,0.3417228162288666,2023-09-05 14:37:59.949736,2023-09-05 14:38:00.420374,0 days 00:00:00.470638,Leaky,Sigmoid,Sigmoid,,,81,24,3.0,23.0,,,0.0051792281315596374,3,419,0.6574921769059472,5.0142290943346e-05,239.7053701666337,COMPLETE
56,0.35665491223335266,2023-09-05 14:38:00.420646,2023-09-05 14:38:02.348890,0 days 00:00:01.928244,Sigmoid,Sigmoid,Leaky,Leaky,,93,22,13.0,20.0,21.0,,0.001568558755748797,4,341,0.7096650569725242,9.553634827133736e-05,194.1958596006085,COMPLETE
57,0.3077620267868042,2023-09-05 14:38:02.349172,2023-09-05 14:38:02.745836,0 days 00:00:00.396664,Tanh,Tanh,,,,86,20,11.0,,,,0.0023601156840742333,2,82,0.6199068957739998,1.4794262347479203e-05,296.40299262070073,COMPLETE
58,0.33279165625572205,2023-09-05 14:38:02.746099,2023-09-05 14:38:05.179609,0 days 00:00:02.433510,Leaky,Sigmoid,Tanh,,,62,9,17.0,23.0,,,0.00036707061953071974,3,309,0.7488565811260457,3.349277173600431e-05,342.5142332404177,COMPLETE
59,0.27497491240501404,2023-09-05 14:38:05.179879,2023-09-05 14:38:05.945698,0 days 00:00:00.765819,Tanh,ReLU,Sigmoid,,,42,19,9.0,11.0,,,0.012119154026190043,3,225,0.7998999097650384,6.996484059054827e-05,136.868335387286,COMPLETE
60,0.2651174068450928,2023-09-05 14:38:05.945971,2023-09-05 14:38:06.591987,0 days 00:00:00.646016,Tanh,ReLU,ReLU,ReLU,,43,18,23.0,10.0,11.0,,0.011076896075395368,4,234,0.7909022251473101,2.6580507783551656e-05,149.87346424775964,COMPLETE
