number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
34,0.18931706249713898,2023-08-24 11:56:29.463022,2023-08-24 11:56:30.641323,0 days 00:00:01.178301,ReLU,Tanh,,,,8,18,19.0,,,,0.0012013416834788088,2,100,0.7173645436026705,0.0030619934721868693,COMPLETE
35,0.17366580665111542,2023-08-24 11:56:30.641572,2023-08-24 11:56:31.944259,0 days 00:00:01.302687,ReLU,Tanh,,,,8,16,19.0,,,,0.0007446617792763007,2,100,0.7962577527270732,0.0026967234091525944,COMPLETE
36,0.21450453996658325,2023-08-24 11:56:31.944512,2023-08-24 11:56:33.037432,0 days 00:00:01.092920,Leaky,Tanh,,,,10,16,12.0,,,,0.000784878887791457,2,100,0.7943434416546777,0.0014542721809249507,COMPLETE
37,0.29225727915763855,2023-08-24 11:56:33.037683,2023-08-24 11:56:34.265946,0 days 00:00:01.228263,Sigmoid,Tanh,Leaky,,,10,15,12.0,21.0,,,0.000710385628464338,3,100,0.7933092542240148,0.0007538313108470878,COMPLETE
38,0.3781256377696991,2023-08-24 11:56:34.266197,2023-08-24 11:56:34.922806,0 days 00:00:00.656609,ReLU,,,,,10,17,,,,,0.00018943035553070696,1,100,0.5579682255486943,0.001498173801335259,COMPLETE
39,0.2839757204055786,2023-08-24 11:56:34.923050,2023-08-24 11:56:35.434470,0 days 00:00:00.511420,Tanh,,,,,10,14,,,,,0.0003865445047376532,1,100,0.4352188814823893,0.001235512000751048,COMPLETE
40,0.20471765100955963,2023-08-24 11:56:35.434705,2023-08-24 11:56:36.423590,0 days 00:00:00.988885,ReLU,Leaky,,,,10,16,7.0,,,,0.0005805603421834251,2,100,0.7354173115135123,0.0004651451251969287,COMPLETE
41,0.22497445344924927,2023-08-24 11:56:36.423831,2023-08-24 11:56:37.410261,0 days 00:00:00.986430,ReLU,Leaky,,,,10,16,7.0,,,,0.000604762166517491,2,100,0.7264799491832923,0.0006220581081043804,COMPLETE
42,0.3199695646762848,2023-08-24 11:56:37.410500,2023-08-24 11:56:38.398347,0 days 00:00:00.987847,ReLU,Leaky,,,,10,12,4.0,,,,0.0009956870993593958,2,100,0.737474342577036,0.003034930404489822,COMPLETE
43,0.23001277446746826,2023-08-24 11:56:38.398596,2023-08-24 11:56:39.215303,0 days 00:00:00.816707,ReLU,Leaky,,,,10,18,3.0,,,,0.0005204963860067566,2,100,0.6027702527305161,0.00041478136677995675,COMPLETE
44,0.26391443610191345,2023-08-24 11:56:39.215551,2023-08-24 11:56:42.113183,0 days 00:00:02.897632,ReLU,Leaky,ReLU,,,4,15,8.0,17.0,,,0.00010230496854910077,3,100,0.7990455933698345,0.0020381960451574133,COMPLETE
45,0.16057638823986053,2023-08-24 11:56:42.113438,2023-08-24 11:56:42.777024,0 days 00:00:00.663586,ReLU,Tanh,,,,16,13,11.0,,,,0.0028077029596970597,2,100,0.7335574737602767,0.0003491885023750952,COMPLETE
46,0.2704857289791107,2023-08-24 11:56:42.777264,2023-08-24 11:56:43.307123,0 days 00:00:00.529859,ReLU,Leaky,,,,16,13,6.0,,,,0.003207176203982365,2,100,0.5782982396839499,0.0002822413792176471,COMPLETE
47,0.2561691105365753,2023-08-24 11:56:43.307369,2023-08-24 11:56:43.613722,0 days 00:00:00.306353,ReLU,,,,,16,13,,,,,0.0028312342471965802,1,80,0.4917095493476267,0.0005447875055933157,COMPLETE
