number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
62,0.20489183068275452,2023-08-31 22:08:28.288319,2023-08-31 22:08:49.658632,0 days 00:00:21.370313,Sigmoid,Tanh,ReLU,Tanh,,2,24,7.0,3.0,23.0,,0.00560805366865388,4,40,0.710982660782841,2.2027648129380065e-05,COMPLETE
63,0.2137482762336731,2023-08-31 22:08:49.658927,2023-08-31 22:09:12.076833,0 days 00:00:22.417906,Sigmoid,Tanh,ReLU,Tanh,,2,21,4.0,3.0,22.0,,0.003612948584226873,4,40,0.7558509713675056,1.3631471719750366e-05,COMPLETE
64,1.0366017818450928,2023-08-31 22:09:12.077122,2023-08-31 22:09:32.329597,0 days 00:00:20.252475,Sigmoid,Tanh,ReLU,Tanh,,2,22,10.0,2.0,18.0,,0.011433676618991194,4,40,0.6607979482854721,2.5323888405033964e-05,COMPLETE
65,0.165456160902977,2023-08-31 22:09:32.329883,2023-08-31 22:09:55.497326,0 days 00:00:23.167443,Sigmoid,Tanh,Tanh,Tanh,,2,20,9.0,5.0,14.0,,0.00495602069152919,4,40,0.7984132219423941,3.402691146783784e-05,COMPLETE
66,0.21656237542629242,2023-08-31 22:09:55.497623,2023-08-31 22:10:18.601287,0 days 00:00:23.103664,Sigmoid,Tanh,Tanh,Tanh,,2,20,9.0,5.0,14.0,,0.0024054783847035645,4,40,0.7983817624769607,3.225559596973251e-05,COMPLETE
67,0.1796421855688095,2023-08-31 22:10:18.601585,2023-08-31 22:10:42.479717,0 days 00:00:23.878132,Sigmoid,Tanh,Tanh,Tanh,Tanh,2,23,10.0,6.0,15.0,23.0,0.004709988751726709,5,40,0.7048000884631983,1.5615612305992586e-05,COMPLETE
68,0.17552931606769562,2023-08-31 22:10:42.480022,2023-08-31 22:11:00.726503,0 days 00:00:18.246481,Sigmoid,Leaky,Tanh,,,2,22,7.0,3.0,,,0.0014413378924128992,3,40,0.7380182901411462,2.1852741266890792e-05,COMPLETE
69,0.1809777021408081,2023-08-31 22:11:00.726787,2023-08-31 22:11:20.110602,0 days 00:00:19.383815,Sigmoid,Tanh,Sigmoid,Sigmoid,,2,18,11.0,2.0,18.0,,0.003547433126045967,4,40,0.6752242983131947,1.0175210372833825e-05,COMPLETE
70,0.19212496280670166,2023-08-31 22:11:20.110894,2023-08-31 22:11:38.900912,0 days 00:00:18.790018,Sigmoid,ReLU,Tanh,,,2,24,8.0,4.0,,,0.018345101652928318,3,40,0.7536031098896879,3.6539654680980337e-05,COMPLETE
71,0.18214678764343262,2023-08-31 22:11:38.901203,2023-08-31 22:11:57.926954,0 days 00:00:19.025751,Sigmoid,Tanh,ReLU,Tanh,,2,20,6.0,14.0,22.0,,0.006803090507799568,4,40,0.6309936154483899,4.282312592584823e-05,COMPLETE
72,0.19477488100528717,2023-08-31 22:11:57.927253,2023-08-31 22:12:17.311579,0 days 00:00:19.384326,Sigmoid,Tanh,ReLU,Tanh,,2,19,7.0,6.0,20.0,,0.005275234651938118,4,40,0.6597521632411472,2.613250859122774e-05,COMPLETE
73,0.174495667219162,2023-08-31 22:12:17.311879,2023-08-31 22:12:23.272216,0 days 00:00:05.960337,Sigmoid,Tanh,Tanh,Tanh,,16,21,5.0,12.0,24.0,,0.01030393803008652,4,100,0.5883753280333273,1.858186202241738e-05,COMPLETE
74,0.22179947793483734,2023-08-31 22:12:23.272517,2023-08-31 22:12:25.318132,0 days 00:00:02.045615,Sigmoid,Tanh,ReLU,Tanh,Leaky,30,17,9.0,9.0,22.0,18.0,0.003057378293986573,5,40,0.7515797002867177,3.045748152934765e-05,COMPLETE
75,0.1584501415491104,2023-08-31 22:12:25.318432,2023-08-31 22:13:12.127055,0 days 00:00:46.808623,Sigmoid,Tanh,ReLU,Tanh,,2,23,6.0,2.0,20.0,,0.004331462443883208,4,80,0.7991137253547606,5.97258510283544e-05,COMPLETE
76,0.1559937447309494,2023-08-31 22:13:12.127350,2023-08-31 22:13:58.658834,0 days 00:00:46.531484,Sigmoid,Tanh,Sigmoid,Tanh,,2,23,6.0,2.0,20.0,,0.0044187930510829,4,80,0.7972249846052041,1.3426656932310028e-05,COMPLETE
