number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
34,0.19970661401748657,2023-08-31 23:03:09.826664,2023-08-31 23:03:52.078145,0 days 00:00:42.251481,Sigmoid,Leaky,Leaky,Tanh,,4,16,24.0,12.0,14.0,,0.0012035690247141012,4,100,0.7866495227035156,2.878493480831744e-05,COMPLETE
35,0.21498064696788788,2023-08-31 23:03:52.078428,2023-08-31 23:04:35.909623,0 days 00:00:43.831195,Leaky,Leaky,Leaky,Tanh,,4,16,21.0,9.0,8.0,,0.00048601810691300873,4,100,0.7970561702263149,1.0045100690868645e-05,COMPLETE
36,0.2159610390663147,2023-08-31 23:04:35.909907,2023-08-31 23:04:44.513501,0 days 00:00:08.603594,Tanh,Leaky,Leaky,Sigmoid,,16,22,18.0,5.0,17.0,,0.0011168121383897049,4,100,0.6135648470391319,2.1692130042837615e-05,COMPLETE
37,0.18289323151111603,2023-08-31 23:04:44.513805,2023-08-31 23:04:58.722065,0 days 00:00:14.208260,Sigmoid,Leaky,Leaky,,,10,17,22.0,13.0,,,0.005936243634086431,3,100,0.7318430829573334,4.7757339500134796e-05,COMPLETE
38,0.20333507657051086,2023-08-31 23:04:58.722343,2023-08-31 23:05:10.210934,0 days 00:00:11.488591,Sigmoid,Leaky,Leaky,,,10,18,22.0,14.0,,,0.0070536248553693115,3,100,0.603493411557074,4.521238981255114e-05,COMPLETE
39,0.20241549611091614,2023-08-31 23:05:10.211204,2023-08-31 23:05:20.915046,0 days 00:00:10.703842,Sigmoid,Sigmoid,Leaky,Tanh,,10,18,24.0,10.0,18.0,,0.02176850067520195,4,100,0.4845272700552464,2.3167362042401643e-05,COMPLETE
40,0.2649385929107666,2023-08-31 23:05:20.915328,2023-08-31 23:05:35.103349,0 days 00:00:14.188021,Sigmoid,Leaky,Leaky,Tanh,ReLU,12,15,21.0,13.0,8.0,5.0,0.0012371780082166693,5,100,0.7129940064928382,4.663067823781325e-05,COMPLETE
41,0.23417329788208008,2023-08-31 23:05:35.103650,2023-08-31 23:05:49.119290,0 days 00:00:14.015640,Sigmoid,Leaky,Leaky,,,10,15,16.0,6.0,,,0.0047248217491463775,3,100,0.7289607523956965,1.8436075689905228e-05,COMPLETE
42,0.19610829651355743,2023-08-31 23:05:49.119565,2023-08-31 23:06:04.091304,0 days 00:00:14.971739,Leaky,Leaky,Leaky,,,8,17,20.0,13.0,,,0.008459242802189095,3,100,0.6556627758058796,7.004292734858882e-05,COMPLETE
43,0.21785423159599304,2023-08-31 23:06:04.091579,2023-08-31 23:06:18.275917,0 days 00:00:14.184338,Sigmoid,Tanh,Leaky,,,10,20,18.0,9.0,,,0.0016879575792516542,3,100,0.7447016853752605,1.5100107229742475e-05,COMPLETE
