number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_activation6,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_fl6,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
35,0.15315529704093933,2023-09-01 23:47:50.927475,2023-09-01 23:48:00.960374,0 days 00:00:10.032899,Leaky,Leaky,Leaky,,,,8,12,13.0,18.0,,,,0.001988694872624116,3,80,0.7998618528666684,0.0005151528176320964,COMPLETE
36,0.22653546929359436,2023-09-01 23:48:00.960638,2023-09-01 23:48:09.918159,0 days 00:00:08.957521,Leaky,Sigmoid,Leaky,,,,8,6,19.0,18.0,,,,0.0015741168722879027,3,80,0.7043126499425849,0.0004771504884953324,COMPLETE
37,0.2173180878162384,2023-09-01 23:48:09.918441,2023-09-01 23:48:16.855055,0 days 00:00:06.936614,ReLU,Tanh,Leaky,,,,8,12,12.0,20.0,,,,0.0006339810979941804,3,80,0.5385223429166506,0.0004134843118789122,COMPLETE
38,0.23757708072662354,2023-09-01 23:48:16.855329,2023-09-01 23:48:27.665384,0 days 00:00:10.810055,Sigmoid,Leaky,Leaky,Tanh,,,8,10,16.0,15.0,15.0,,,0.0114736495382959,4,80,0.7120386229682507,0.002046823547683213,COMPLETE
39,0.1761176735162735,2023-09-01 23:48:27.665659,2023-09-01 23:48:37.858722,0 days 00:00:10.193063,Leaky,Tanh,Leaky,,,,8,6,22.0,16.0,,,,0.0022938233292470064,3,80,0.797750916655524,0.00029272583104595316,COMPLETE
40,0.20959915220737457,2023-09-01 23:48:37.858996,2023-09-01 23:48:44.460031,0 days 00:00:06.601035,Tanh,Leaky,Leaky,,,,8,9,19.0,21.0,,,,0.001047978531333322,3,80,0.509560038361701,0.005889410163245012,COMPLETE
41,0.1753218024969101,2023-09-01 23:48:44.460297,2023-09-01 23:48:51.853306,0 days 00:00:07.393009,Leaky,Leaky,,,,,8,13,13.0,,,,,0.0037721194685288385,2,80,0.7180718330678396,0.00016234784081835233,COMPLETE
42,0.16108906269073486,2023-09-01 23:48:51.853561,2023-09-01 23:48:59.951505,0 days 00:00:08.097944,Leaky,Leaky,Leaky,,,,8,12,15.0,18.0,,,,0.0020380645725028906,3,80,0.6376872283339183,0.0006119724649035752,COMPLETE
43,0.19036780297756195,2023-09-01 23:48:59.951778,2023-09-01 23:49:09.978749,0 days 00:00:10.026971,Leaky,Leaky,Leaky,,,,8,12,15.0,19.0,,,,0.0018512573890221865,3,100,0.6346256448867805,0.0005883931111388755,COMPLETE
44,0.23425373435020447,2023-09-01 23:49:09.979018,2023-09-01 23:49:18.405536,0 days 00:00:08.426518,Leaky,Leaky,Leaky,,,,8,7,9.0,17.0,,,,0.0006899016042196839,3,80,0.6699203789092387,0.0007918213881224752,COMPLETE
45,0.1844307780265808,2023-09-01 23:49:18.405803,2023-09-01 23:49:26.908558,0 days 00:00:08.502755,Leaky,Tanh,Leaky,Sigmoid,,,8,10,18.0,15.0,2.0,,,0.0013054453072526729,4,80,0.5629093909613259,0.0004059434152603777,COMPLETE
46,0.1905723363161087,2023-09-01 23:49:26.908855,2023-09-01 23:49:32.545957,0 days 00:00:05.637102,Leaky,Leaky,Leaky,,,,8,10,12.0,24.0,,,,0.008439752674316157,3,80,0.4450016769360327,0.0002676749581326852,COMPLETE
47,0.1707993745803833,2023-09-01 23:49:32.546223,2023-09-01 23:49:39.858068,0 days 00:00:07.311845,Tanh,Sigmoid,Leaky,Leaky,,,16,12,15.0,20.0,20.0,,,0.0028400063781701644,4,100,0.7281047725110994,0.0005776174471090748,COMPLETE
48,0.19673286378383636,2023-09-01 23:49:39.858366,2023-09-01 23:49:42.252626,0 days 00:00:02.394260,ReLU,Leaky,Leaky,,,,30,15,17.0,17.0,,,,0.0011334386265025589,3,80,0.6034519995260514,0.0008896830208183832,COMPLETE
49,0.21267856657505035,2023-09-01 23:49:42.252890,2023-09-01 23:49:52.605727,0 days 00:00:10.352837,Sigmoid,Leaky,Leaky,Tanh,,,8,11,13.0,22.0,5.0,,,0.0019280514568252689,4,80,0.6834337928523534,0.0015065940554285723,COMPLETE
50,0.2297736555337906,2023-09-01 23:49:52.606000,2023-09-01 23:49:55.789494,0 days 00:00:03.183494,Leaky,ReLU,Leaky,,,,8,9,20.0,14.0,,,,0.005625063565103956,3,40,0.49062615792972686,0.0002990812351866333,COMPLETE
51,0.20744435489177704,2023-09-01 23:49:55.789777,2023-09-01 23:50:01.471271,0 days 00:00:05.681494,Leaky,Leaky,,,,,12,14,15.0,,,,,0.003554991171075075,2,80,0.7982986596758752,0.00012546208054910912,COMPLETE
