number,value,datetime_start,datetime_complete,duration,params_activation1,params_batch_size,params_fl1,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
41,0.19114890694618225,2023-09-01 23:02:42.800105,2023-09-01 23:02:49.102260,0 days 00:00:06.302155,Tanh,8,15,0.011238225675465114,1,100,0.6484878642464099,1.7168860814129805e-05,COMPLETE
42,0.1953185349702835,2023-09-01 23:02:49.102503,2023-09-01 23:02:56.111259,0 days 00:00:07.008756,Tanh,8,16,0.010788767142291607,1,100,0.7213991493169014,1.6788043793416307e-05,COMPLETE
43,0.1908033937215805,2023-09-01 23:02:56.111503,2023-09-01 23:03:02.852215,0 days 00:00:06.740712,Tanh,8,15,0.012760166910774707,1,100,0.6959568160326827,1.6551539282865212e-05,COMPLETE
44,0.20733581483364105,2023-09-01 23:03:02.852460,2023-09-01 23:03:09.240311,0 days 00:00:06.387851,Tanh,8,14,0.025536989037932754,1,100,0.6600114601627103,5.0848062574002585e-05,COMPLETE
45,0.2867819368839264,2023-09-01 23:03:09.240552,2023-09-01 23:03:12.473144,0 days 00:00:03.232592,ReLU,8,18,0.03669941549185338,1,60,0.5485228872110598,0.0007379657951691688,COMPLETE
46,0.22823509573936462,2023-09-01 23:03:12.473389,2023-09-01 23:03:17.118469,0 days 00:00:04.645080,Tanh,8,13,0.012339876001055771,1,100,0.4795388346019759,8.309370918680792e-05,COMPLETE
47,0.17877507209777832,2023-09-01 23:03:17.118710,2023-09-01 23:03:24.114176,0 days 00:00:06.995466,Tanh,8,17,0.008177447992567604,1,100,0.7219953641950053,1.4746324708488156e-05,COMPLETE
48,0.19587373733520508,2023-09-01 23:03:24.114421,2023-09-01 23:03:31.226600,0 days 00:00:07.112179,Leaky,8,20,0.008957192158884639,1,100,0.731354925766804,1.6440098935733614e-05,COMPLETE
49,0.22389987111091614,2023-09-01 23:03:31.226867,2023-09-01 23:03:36.329375,0 days 00:00:05.102508,Tanh,4,15,0.0179315708156892,1,40,0.6882896914103901,6.296464686805244e-05,COMPLETE
50,0.46741506457328796,2023-09-01 23:03:36.329615,2023-09-01 23:03:55.801844,0 days 00:00:19.472229,Sigmoid,2,1,0.04376514915548317,1,100,0.5494885344613324,1.4044786747628333e-05,COMPLETE
51,0.2162315845489502,2023-09-01 23:03:55.802088,2023-09-01 23:04:02.217028,0 days 00:00:06.414940,Tanh,8,17,0.014091308349087327,1,100,0.6599595756883967,3.073582955932023e-05,COMPLETE
52,0.2051047682762146,2023-09-01 23:04:02.217271,2023-09-01 23:04:09.266603,0 days 00:00:07.049332,Tanh,8,17,0.007679849633304709,1,100,0.7243693135332663,2.185251182247559e-05,COMPLETE
53,0.2105933278799057,2023-09-01 23:04:09.266840,2023-09-01 23:04:14.933088,0 days 00:00:05.666248,Tanh,8,15,0.0058327950092277306,1,100,0.5822522426641144,1.5547776978383595e-05,COMPLETE
