number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_batch_size,params_fl1,params_fl2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
37,0.20021753013134003,2023-09-01 23:01:44.336153,2023-09-01 23:01:49.336639,0 days 00:00:05.000486,Sigmoid,,12,24,,0.005087130394392797,1,100,0.7232134724297925,0.00018912431243517673,COMPLETE
38,0.20084337890148163,2023-09-01 23:01:49.336887,2023-09-01 23:01:53.488717,0 days 00:00:04.151830,Sigmoid,,12,22,,0.04246518280791893,1,100,0.5946700272265617,0.00013762771121330952,COMPLETE
39,0.1787944734096527,2023-09-01 23:01:53.488967,2023-09-01 23:01:59.027918,0 days 00:00:05.538951,Sigmoid,,12,20,,0.006498363855744632,1,100,0.796240552327341,3.2240880525477465e-05,COMPLETE
40,0.18819338083267212,2023-09-01 23:01:59.028164,2023-09-01 23:02:03.424220,0 days 00:00:04.396056,Sigmoid,,12,16,,0.01670523875546476,1,100,0.6298321352071253,2.6755203364834565e-05,COMPLETE
41,0.19558125734329224,2023-09-01 23:02:03.424467,2023-09-01 23:02:07.581283,0 days 00:00:04.156816,Sigmoid,,12,20,,0.013617576240169542,1,100,0.5962912065005129,3.2083017787614566e-05,COMPLETE
42,0.17801880836486816,2023-09-01 23:02:07.581529,2023-09-01 23:02:12.995205,0 days 00:00:05.413676,Sigmoid,,12,20,,0.020908815395486464,1,100,0.7787108029481765,3.005411745841829e-05,COMPLETE
43,0.2239418923854828,2023-09-01 23:02:12.995451,2023-09-01 23:02:18.517286,0 days 00:00:05.521835,Leaky,,12,19,,0.02464038763458647,1,100,0.7925968666916028,1.632413010643559e-05,COMPLETE
44,0.2043377012014389,2023-09-01 23:02:18.517534,2023-09-01 23:02:23.014095,0 days 00:00:04.496561,Sigmoid,,12,21,,0.05714987270588437,1,100,0.6467297874303166,2.5737278724487783e-05,COMPLETE
45,0.19334670901298523,2023-09-01 23:02:23.014346,2023-09-01 23:02:28.040927,0 days 00:00:05.026581,Sigmoid,,12,16,,0.020020199269552372,1,100,0.7306451849497205,1.6404496464112294e-05,COMPLETE
46,0.19238871335983276,2023-09-01 23:02:28.041168,2023-09-01 23:02:30.057952,0 days 00:00:02.016784,Sigmoid,,12,19,,0.008315106783419715,1,40,0.7240080251950715,4.503604562498305e-05,COMPLETE
47,0.185087189078331,2023-09-01 23:02:30.058201,2023-09-01 23:02:50.143736,0 days 00:00:20.085535,Sigmoid,,2,15,,0.03192893931233981,1,100,0.5442813626780711,3.0496625269699147e-05,COMPLETE
48,0.19837118685245514,2023-09-01 23:02:50.143980,2023-09-01 23:03:12.895613,0 days 00:00:22.751633,Sigmoid,,2,14,,0.02859097558788522,1,80,0.7752082983031507,5.171632066903568e-05,COMPLETE
49,0.40658995509147644,2023-09-01 23:03:12.895867,2023-09-01 23:03:33.100877,0 days 00:00:20.205010,Leaky,,2,23,,0.05310729278962091,1,100,0.5420278703790844,7.626725109529352e-05,COMPLETE
50,0.2918761968612671,2023-09-01 23:03:33.101126,2023-09-01 23:03:40.045167,0 days 00:00:06.944041,Sigmoid,,2,21,,0.07209228370218873,1,40,0.46490998795230887,1.903296751100142e-05,COMPLETE
51,0.191203311085701,2023-09-01 23:03:40.045437,2023-09-01 23:03:43.332005,0 days 00:00:03.286568,Sigmoid,,16,16,,0.01605233135433849,1,100,0.6068403540415054,2.7552493660733107e-05,COMPLETE
52,0.19547757506370544,2023-09-01 23:03:43.332255,2023-09-01 23:03:47.783092,0 days 00:00:04.450837,Sigmoid,,12,15,,0.0383402551240324,1,100,0.6434553659002834,3.718741704712964e-05,COMPLETE
53,0.2046155035495758,2023-09-01 23:03:47.783340,2023-09-01 23:04:12.544262,0 days 00:00:24.760922,Sigmoid,,2,13,,0.025720644668229858,1,100,0.6744170664174257,1.5817168779200124e-05,COMPLETE
54,0.1994573175907135,2023-09-01 23:04:12.544516,2023-09-01 23:04:16.282953,0 days 00:00:03.738437,Sigmoid,,12,15,,0.019109856294458938,1,100,0.5376296539223895,5.393026828714281e-05,COMPLETE
55,0.1969212144613266,2023-09-01 23:04:16.283200,2023-09-01 23:04:21.740199,0 days 00:00:05.456999,Sigmoid,,12,20,,0.007450865587761396,1,100,0.7944442380517699,2.7810039945629778e-05,COMPLETE
56,0.1917383074760437,2023-09-01 23:04:21.740449,2023-09-01 23:04:25.036612,0 days 00:00:03.296163,Sigmoid,,16,23,,0.009527553673590447,1,100,0.6063959748806023,1.4424914164885613e-05,COMPLETE
57,0.26601308584213257,2023-09-01 23:04:25.036861,2023-09-01 23:04:47.219107,0 days 00:00:22.182246,Leaky,,2,17,,0.016621170495282767,1,80,0.7483873857125553,7.175838549144595e-05,COMPLETE
58,0.18479880690574646,2023-09-01 23:04:47.219362,2023-09-01 23:04:51.983552,0 days 00:00:04.764190,Sigmoid,,12,14,,0.031648579188851826,1,100,0.6911019996118767,2.1024191504895875e-05,COMPLETE
59,0.22643327713012695,2023-09-01 23:04:51.983801,2023-09-01 23:04:53.912159,0 days 00:00:01.928358,Sigmoid,,12,9,,0.06717941720546926,1,40,0.6968376746433257,1.0501968301719988e-05,COMPLETE
60,0.19391612708568573,2023-09-01 23:04:53.912408,2023-09-01 23:05:06.831158,0 days 00:00:12.918750,Sigmoid,,4,13,,0.03324919596243086,1,100,0.679996377582831,1.946139196935585e-05,COMPLETE
61,0.17594893276691437,2023-09-01 23:05:06.831431,2023-09-01 23:05:11.934022,0 days 00:00:05.102591,Sigmoid,,12,14,,0.029112796681853403,1,100,0.7366698542885459,3.070712040209083e-05,COMPLETE
62,0.20483209192752838,2023-09-01 23:05:11.934268,2023-09-01 23:05:17.121779,0 days 00:00:05.187511,Sigmoid,,12,12,,0.02682351506142145,1,100,0.7496217440982015,3.736681172055375e-05,COMPLETE
63,0.1696910858154297,2023-09-01 23:05:17.122028,2023-09-01 23:05:22.619108,0 days 00:00:05.497080,Sigmoid,,12,14,,0.046307030328206905,1,100,0.7954961527250779,1.9326193788438852e-05,COMPLETE
64,0.2042607218027115,2023-09-01 23:05:22.619351,2023-09-01 23:05:27.750829,0 days 00:00:05.131478,Sigmoid,,12,11,,0.05385163689387995,1,100,0.7462476311778453,2.096588757790616e-05,COMPLETE
65,0.19585731625556946,2023-09-01 23:05:27.751081,2023-09-01 23:05:32.516886,0 days 00:00:04.765805,Tanh,,12,14,,0.04402087931810959,1,100,0.6909428670396007,1.4367032891788493e-05,COMPLETE
66,0.23653052747249603,2023-09-01 23:05:32.517145,2023-09-01 23:05:37.895839,0 days 00:00:05.378694,Sigmoid,,12,10,,0.021339478781093258,1,100,0.7818920326721905,4.156460871430706e-05,COMPLETE
67,0.20392511785030365,2023-09-01 23:05:37.896092,2023-09-01 23:05:43.417050,0 days 00:00:05.520958,Sigmoid,,12,13,,0.009667936802854058,1,100,0.7992409013621966,1.2312872716586846e-05,COMPLETE
68,0.1987280249595642,2023-09-01 23:05:43.417304,2023-09-01 23:05:48.690830,0 days 00:00:05.273526,Sigmoid,,8,17,,0.08083035291276419,1,80,0.6618501428453943,6.20077399783134e-05,COMPLETE
69,0.18496708571910858,2023-09-01 23:05:48.691092,2023-09-01 23:05:53.666016,0 days 00:00:04.974924,Leaky,,12,12,,0.0059930318910103465,1,100,0.7191189899941938,2.3110515613451834e-05,COMPLETE
70,0.21987399458885193,2023-09-01 23:05:53.666264,2023-09-01 23:05:58.021797,0 days 00:00:04.355533,Sigmoid,,12,19,,0.09542437593678657,1,100,0.6275910670104013,4.803835429994414e-05,COMPLETE
71,0.22648023068904877,2023-09-01 23:05:58.022049,2023-09-01 23:06:03.022428,0 days 00:00:05.000379,Leaky,,12,12,,0.0064566125832217144,1,100,0.7234580662948812,2.111744128682475e-05,COMPLETE
72,0.21630226075649261,2023-09-01 23:06:03.022672,2023-09-01 23:06:07.825029,0 days 00:00:04.802357,Leaky,,12,10,,0.011184568609732227,1,100,0.6986913877390428,3.379864772015696e-05,COMPLETE
