number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_fl5,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
40,0.2752198278903961,2023-08-31 19:33:32.268644,2023-08-31 19:33:36.369415,0 days 00:00:04.100771,Tanh,,,,,10,21,,,,,0.002095091498665842,1,80,0.607731169268124,8.185051550841686e-05,COMPLETE
41,0.18827034533023834,2023-08-31 19:33:36.369691,2023-08-31 19:33:38.660165,0 days 00:00:02.290474,Tanh,Tanh,,,,10,18,22.0,,,,0.008119610423640572,2,40,0.5154036094136406,1.7807530496199443e-05,COMPLETE
42,0.1345900148153305,2023-08-31 19:33:38.660423,2023-08-31 19:33:41.894341,0 days 00:00:03.233918,Leaky,Tanh,ReLU,,,10,14,20.0,8.0,,,0.0033012544963787116,3,40,0.5978468582020399,2.9300662680941748e-05,COMPLETE
43,0.1289949119091034,2023-08-31 19:33:41.894616,2023-08-31 19:33:47.545693,0 days 00:00:05.651077,Tanh,Tanh,Sigmoid,Leaky,Tanh,10,11,20.0,9.0,17.0,19.0,0.004189163746129692,5,40,0.7695082275970597,3.408724809500915e-05,COMPLETE
44,0.15800562500953674,2023-08-31 19:33:47.545982,2023-08-31 19:33:51.192575,0 days 00:00:03.646593,Tanh,Tanh,Sigmoid,,,12,11,20.0,9.0,,,0.003080832904449474,3,40,0.793810073796779,3.917001866243894e-05,COMPLETE
45,0.14190691709518433,2023-08-31 19:33:51.192847,2023-08-31 19:33:54.221330,0 days 00:00:03.028483,Tanh,Leaky,,,,10,14,17.0,,,,0.0112503045756902,2,40,0.6938792621286825,1.4906223435747314e-05,COMPLETE
46,0.08928011357784271,2023-08-31 19:33:54.221589,2023-08-31 19:33:57.511597,0 days 00:00:03.290008,Tanh,Tanh,Sigmoid,Leaky,,16,12,21.0,12.0,16.0,,0.02106354382546678,4,40,0.7982093679371569,0.00014388193211823432,COMPLETE
47,0.13009966909885406,2023-08-31 19:33:57.511869,2023-08-31 19:34:00.523272,0 days 00:00:03.011403,Tanh,Tanh,Sigmoid,Leaky,,16,10,21.0,12.0,16.0,,0.02436981517586778,4,40,0.7334993442959636,0.00013825239273713928,COMPLETE
48,0.1641138195991516,2023-08-31 19:34:00.523554,2023-08-31 19:34:03.545412,0 days 00:00:03.021858,Tanh,Sigmoid,Sigmoid,Leaky,,16,13,21.0,12.0,18.0,,0.03808096884717317,4,40,0.7357910071567898,0.00022956520972163366,COMPLETE
49,0.19132880866527557,2023-08-31 19:34:03.545691,2023-08-31 19:34:07.337103,0 days 00:00:03.791412,Tanh,Leaky,Sigmoid,Leaky,Tanh,16,12,23.0,15.0,11.0,17.0,0.01992817432886661,5,40,0.7919596291804133,0.00012286623008281083,COMPLETE
50,0.22864526510238647,2023-08-31 19:34:07.337385,2023-08-31 19:34:10.088681,0 days 00:00:02.751296,Tanh,Tanh,Sigmoid,Leaky,,16,9,21.0,13.0,14.0,,0.044832090387064115,4,40,0.6576724009467837,6.815906781456799e-05,COMPLETE
51,0.11862636357545853,2023-08-31 19:34:10.088965,2023-08-31 19:34:13.145425,0 days 00:00:03.056460,Tanh,Tanh,Sigmoid,Leaky,,16,10,19.0,11.0,16.0,,0.01931561056842542,4,40,0.7408388356959579,0.00010920534397054104,COMPLETE
52,0.16544297337532043,2023-08-31 19:34:13.145704,2023-08-31 19:34:16.055650,0 days 00:00:02.909946,Tanh,Tanh,Sigmoid,Leaky,,16,11,18.0,10.0,18.0,,0.01588531704792531,4,40,0.7011318169891381,0.00013509790401706448,COMPLETE
53,0.17361649870872498,2023-08-31 19:34:16.055934,2023-08-31 19:34:18.702366,0 days 00:00:02.646432,Tanh,Tanh,Sigmoid,Leaky,,16,9,19.0,11.0,15.0,,0.022537282532090832,4,40,0.6385455629606465,0.0004356696258485615,COMPLETE
54,0.4716182053089142,2023-08-31 19:34:18.702649,2023-08-31 19:34:22.195968,0 days 00:00:03.493319,Tanh,Tanh,Sigmoid,Leaky,Tanh,16,10,14.0,13.0,19.0,10.0,0.052700145380377206,5,40,0.7319278288766812,0.0002646105016236703,COMPLETE
55,0.17950724065303802,2023-08-31 19:34:22.196260,2023-08-31 19:34:24.778971,0 days 00:00:02.582711,Tanh,Tanh,Sigmoid,Leaky,,16,10,23.0,11.0,12.0,,0.010549933021247496,4,40,0.6077644673633221,9.616671593270837e-05,COMPLETE
56,0.3860720098018646,2023-08-31 19:34:24.779279,2023-08-31 19:34:28.178244,0 days 00:00:03.398965,Tanh,Tanh,Sigmoid,Leaky,ReLU,16,8,21.0,15.0,17.0,19.0,0.06845908557224802,5,40,0.6637055216659511,0.0006085764008605561,COMPLETE
