number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
41,0.20877955853939056,2023-09-01 23:03:41.871771,2023-09-01 23:03:49.426918,0 days 00:00:07.555147,Tanh,Leaky,Sigmoid,,4,19,14.0,20.0,,0.017748125224508783,3,60,0.39257492752022655,1.0875533215394878e-05,COMPLETE
42,0.18730075657367706,2023-09-01 23:03:49.427204,2023-09-01 23:03:56.102856,0 days 00:00:06.675652,Tanh,Leaky,Sigmoid,,4,19,11.0,15.0,,0.004922224777593034,3,60,0.3501457524203757,1.8640671382359576e-05,COMPLETE
43,0.35363760590553284,2023-09-01 23:03:56.103148,2023-09-01 23:04:03.832751,0 days 00:00:07.729603,Tanh,Leaky,Sigmoid,,4,1,11.0,20.0,,0.015235087818039497,3,60,0.4131192062996441,1.713515832562635e-05,COMPLETE
44,0.20098459720611572,2023-09-01 23:04:03.833046,2023-09-01 23:04:10.761403,0 days 00:00:06.928357,Tanh,Leaky,Sigmoid,,4,20,14.0,16.0,,0.0026753279164419765,3,60,0.36284766446556965,1.0197785462242986e-05,COMPLETE
45,0.16283823549747467,2023-09-01 23:04:10.761682,2023-09-01 23:04:19.755789,0 days 00:00:08.994107,Tanh,Leaky,Sigmoid,,4,22,12.0,20.0,,0.005616233109504458,3,60,0.4721592949545671,1.630209243887639e-05,COMPLETE
46,0.18794015049934387,2023-09-01 23:04:19.756066,2023-09-01 23:04:28.598806,0 days 00:00:08.842740,Tanh,Leaky,Sigmoid,,4,22,14.0,20.0,,0.006382435643009287,3,60,0.4626743470250593,1.9131306691784755e-05,COMPLETE
47,0.17344120144844055,2023-09-01 23:04:28.599091,2023-09-01 23:04:34.998872,0 days 00:00:06.399781,Tanh,Leaky,Sigmoid,,4,23,15.0,24.0,,0.010751789814109182,3,60,0.3357780390617533,1.5617450858969977e-05,COMPLETE
48,0.1871882975101471,2023-09-01 23:04:34.999166,2023-09-01 23:04:41.273331,0 days 00:00:06.274165,Tanh,Leaky,Sigmoid,,4,23,16.0,22.0,,0.010521643376586343,3,60,0.3282358073321111,1.5453352758014208e-05,COMPLETE
49,0.350565642118454,2023-09-01 23:04:41.273612,2023-09-01 23:04:47.399466,0 days 00:00:06.125854,Tanh,Leaky,Sigmoid,,4,24,10.0,24.0,,0.032082919985106914,3,60,0.32070182637065336,2.3068862227275167e-05,COMPLETE
50,0.24930211901664734,2023-09-01 23:04:47.399746,2023-09-01 23:04:49.698805,0 days 00:00:02.299059,Tanh,Sigmoid,Sigmoid,Leaky,16,5,4.0,21.0,18.0,0.012563870339822439,4,60,0.3753052877814045,1.590606015448778e-05,COMPLETE
51,0.1807701587677002,2023-09-01 23:04:49.699094,2023-09-01 23:04:59.379750,0 days 00:00:09.680656,Tanh,Leaky,Sigmoid,,4,21,13.0,19.0,,0.0077286381628612144,3,60,0.5093148119592358,4.2300600845648285e-05,COMPLETE
52,0.23120905458927155,2023-09-01 23:04:59.380025,2023-09-01 23:05:05.138840,0 days 00:00:05.758815,Tanh,Leaky,Sigmoid,,4,22,15.0,15.0,,0.018897864457836054,3,40,0.453448187288189,1.0396559052069271e-05,COMPLETE
53,0.19027934968471527,2023-09-01 23:05:05.139129,2023-09-01 23:05:13.733796,0 days 00:00:08.594667,Sigmoid,ReLU,Sigmoid,,4,20,12.0,24.0,,0.005436263229391536,3,60,0.43989462018398867,2.4549055962901805e-05,COMPLETE
54,0.1990516483783722,2023-09-01 23:05:13.734079,2023-09-01 23:05:21.135604,0 days 00:00:07.401525,Tanh,Leaky,Sigmoid,,4,17,8.0,21.0,,0.0033469543785914786,3,60,0.3927267437968236,1.5117667319823497e-05,COMPLETE
55,0.1975061148405075,2023-09-01 23:05:21.135882,2023-09-01 23:05:27.264088,0 days 00:00:06.128206,Tanh,Leaky,Sigmoid,Tanh,4,23,10.0,16.0,2.0,0.0021451051779950974,4,60,0.27130188997076204,2.6701589950551394e-05,COMPLETE
56,0.17049087584018707,2023-09-01 23:05:27.264378,2023-09-01 23:05:45.735379,0 days 00:00:18.471001,Tanh,Sigmoid,Sigmoid,,2,18,16.0,19.0,,0.009152790547861249,3,60,0.5027902954017853,4.604626115101223e-05,COMPLETE
57,0.1935262382030487,2023-09-01 23:05:45.735661,2023-09-01 23:05:59.163300,0 days 00:00:13.427639,Tanh,Sigmoid,ReLU,,2,18,15.0,22.0,,0.010170844895294759,3,60,0.3500872772170312,3.5692066276729876e-05,COMPLETE
58,0.19800932705402374,2023-09-01 23:05:59.163579,2023-09-01 23:06:16.976321,0 days 00:00:17.812742,Tanh,Sigmoid,Sigmoid,Leaky,2,22,17.0,19.0,18.0,0.020170752076430803,4,60,0.40183464283129267,1.4513086499080053e-05,COMPLETE
59,0.1836070865392685,2023-09-01 23:06:16.976610,2023-09-01 23:06:27.928839,0 days 00:00:10.952229,Tanh,Sigmoid,Sigmoid,,2,24,14.0,13.0,,0.008616632910837424,3,60,0.2942643767274403,2.6986634423290224e-05,COMPLETE
60,0.19326257705688477,2023-09-01 23:06:27.929140,2023-09-01 23:06:29.840657,0 days 00:00:01.911517,Sigmoid,Leaky,ReLU,,16,18,16.0,19.0,,0.05302182845025656,3,40,0.5145192668518872,4.225569228419508e-05,COMPLETE
61,0.1749228686094284,2023-09-01 23:06:29.840942,2023-09-01 23:06:38.487533,0 days 00:00:08.646591,Tanh,ReLU,Sigmoid,,4,20,13.0,17.0,,0.0040037097539067,3,60,0.45358567694838103,6.186770962209325e-05,COMPLETE
62,0.17261283099651337,2023-09-01 23:06:38.487811,2023-09-01 23:06:47.063141,0 days 00:00:08.575330,Tanh,ReLU,Sigmoid,,4,21,13.0,17.0,,0.006886977067391066,3,60,0.44882872329883766,1.0196233920717478e-05,COMPLETE
63,0.18737678229808807,2023-09-01 23:06:47.063432,2023-09-01 23:06:54.305107,0 days 00:00:07.241675,Tanh,ReLU,Sigmoid,,4,21,11.0,21.0,,0.007073160780330082,3,60,0.38186707314985974,1.324679098179668e-05,COMPLETE
64,0.18819423019886017,2023-09-01 23:06:54.305392,2023-09-01 23:07:20.851612,0 days 00:00:26.546220,ReLU,ReLU,Sigmoid,,2,19,15.0,17.0,,0.01158725717393121,3,100,0.4237714611419124,1.0013800160592804e-05,COMPLETE
65,0.1848110854625702,2023-09-01 23:07:20.851899,2023-09-01 23:07:24.058796,0 days 00:00:03.206897,Tanh,Sigmoid,Leaky,,12,17,9.0,15.0,,0.005219410552367195,3,60,0.4755705824306452,2.060825440718916e-05,COMPLETE
66,0.194215789437294,2023-09-01 23:07:24.059074,2023-09-01 23:07:33.966063,0 days 00:00:09.906989,Tanh,Leaky,Sigmoid,,4,22,13.0,23.0,,0.013884040683279347,3,60,0.5134434359067725,1.4956724767652856e-05,COMPLETE
67,0.1943393498659134,2023-09-01 23:07:33.966355,2023-09-01 23:07:42.501906,0 days 00:00:08.535551,Tanh,ReLU,Tanh,,4,21,14.0,19.0,,0.007122077645617296,3,60,0.44424872840317553,3.1177707608844806e-05,COMPLETE
68,0.2226136326789856,2023-09-01 23:07:42.502198,2023-09-01 23:07:50.850168,0 days 00:00:08.347970,Tanh,Leaky,Sigmoid,Tanh,4,15,10.0,13.0,18.0,0.021599866561460842,4,60,0.3677074937189935,2.067861984917525e-05,COMPLETE
