number,value,datetime_start,datetime_complete,duration,params_activation1,params_batch_size,params_fl1,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
75,0.10809984058141708,2023-09-02 12:29:01.139437,2023-09-02 12:29:15.533912,0 days 00:00:14.394475,ReLU,4,18,0.0034804190232004943,1,80,0.46169381971371587,2.4082566362348344e-05,COMPLETE
76,0.10661213845014572,2023-09-02 12:29:15.534172,2023-09-02 12:29:59.768263,0 days 00:00:44.234091,Sigmoid,2,20,0.008822808534254762,1,100,0.5823856963369108,2.9284703402824766e-05,COMPLETE
77,0.13234876096248627,2023-09-02 12:29:59.768510,2023-09-02 12:30:35.563308,0 days 00:00:35.794798,Sigmoid,2,20,0.03320384299613841,1,80,0.5992477887367859,6.516871333232252e-05,COMPLETE
78,0.11820817738771439,2023-09-02 12:30:35.563555,2023-09-02 12:31:17.679711,0 days 00:00:42.116156,Sigmoid,2,14,0.010960392525934257,1,100,0.5624531630543099,9.087711232595841e-05,COMPLETE
79,0.1240239292383194,2023-09-02 12:31:17.679962,2023-09-02 12:31:54.018069,0 days 00:00:36.338107,Sigmoid,2,8,0.02345691869013374,1,80,0.6129298885685062,3.1145701549378324e-05,COMPLETE
80,0.17222054302692413,2023-09-02 12:31:54.018313,2023-09-02 12:32:32.900457,0 days 00:00:38.882144,Sigmoid,2,2,0.01609846502175922,1,100,0.5287233240635252,5.002815785002625e-05,COMPLETE
81,0.11010146141052246,2023-09-02 12:32:32.900710,2023-09-02 12:32:40.333283,0 days 00:00:07.432573,ReLU,8,17,0.0085490944116005,1,100,0.3646636111823855,1.3042537540573366e-05,COMPLETE
82,0.11099065840244293,2023-09-02 12:32:40.333537,2023-09-02 12:32:43.721787,0 days 00:00:03.388250,Tanh,16,22,0.0058067184495940605,1,100,0.3029411858841728,1.9614121495055487e-05,COMPLETE
83,0.10936175286769867,2023-09-02 12:32:43.722046,2023-09-02 12:32:51.834042,0 days 00:00:08.111996,Sigmoid,10,19,0.012543870763483001,1,100,0.4889219829818783,3.4877297153228996e-05,COMPLETE
84,0.11821401119232178,2023-09-02 12:32:51.834363,2023-09-02 12:32:57.300011,0 days 00:00:05.465648,ReLU,8,13,0.009668722423846208,1,100,0.26695110826517493,2.614055169132692e-05,COMPLETE
85,0.11046908795833588,2023-09-02 12:32:57.300269,2023-09-02 12:33:03.015311,0 days 00:00:05.715042,Sigmoid,16,20,0.005120570678512695,1,80,0.645260169158959,4.2105443339715326e-05,COMPLETE
86,0.11415039002895355,2023-09-02 12:33:03.015559,2023-09-02 12:33:09.585005,0 days 00:00:06.569446,ReLU,8,17,0.006700296259075814,1,100,0.32009934219681047,1.7822735587321987e-05,COMPLETE
87,0.10937369614839554,2023-09-02 12:33:09.585256,2023-09-02 12:33:13.415062,0 days 00:00:03.829806,Sigmoid,16,16,0.017799002592434932,1,60,0.5851030870282471,6.18726150343652e-05,COMPLETE
88,0.11473128944635391,2023-09-02 12:33:13.415322,2023-09-02 12:33:56.360056,0 days 00:00:42.944734,ReLU,2,18,0.0035309726863662198,1,80,0.7025827799561903,1.2573109893856942e-05,COMPLETE
89,0.10560426115989685,2023-09-02 12:33:56.360329,2023-09-02 12:34:02.371423,0 days 00:00:06.011094,Tanh,12,21,0.014932392648949753,1,100,0.4215172040557403,1.0070097215081078e-05,COMPLETE
90,0.11990593373775482,2023-09-02 12:34:02.371694,2023-09-02 12:34:10.037177,0 days 00:00:07.665483,Tanh,12,22,0.02539377618779252,1,100,0.5395028222208769,2.284457040342981e-05,COMPLETE
91,0.1169818639755249,2023-09-02 12:34:10.037434,2023-09-02 12:34:15.480749,0 days 00:00:05.443315,Tanh,12,21,0.013538947580731814,1,100,0.37946115771222194,1.6843724748517976e-05,COMPLETE
92,0.11071280390024185,2023-09-02 12:34:15.481004,2023-09-02 12:34:21.482149,0 days 00:00:06.001145,Tanh,12,21,0.008940734497975075,1,100,0.4189881241453557,3.069529771069871e-05,COMPLETE
93,0.10306397825479507,2023-09-02 12:34:21.482404,2023-09-02 12:34:27.895160,0 days 00:00:06.412756,Tanh,12,19,0.020287137450412197,1,100,0.4498709691964538,1.0334890553445018e-05,COMPLETE
94,0.10986211150884628,2023-09-02 12:34:27.895412,2023-09-02 12:34:34.424835,0 days 00:00:06.529423,Tanh,12,23,0.021828419334933846,1,100,0.45360718079794865,1.0041719942621792e-05,COMPLETE
95,0.12069272994995117,2023-09-02 12:34:34.425098,2023-09-02 12:34:37.345462,0 days 00:00:02.920364,Tanh,12,24,0.029564615688356045,1,40,0.5063056087534912,1.2317046223757529e-05,COMPLETE
96,0.10596977919340134,2023-09-02 12:34:37.345714,2023-09-02 12:34:42.767952,0 days 00:00:05.422238,Tanh,12,19,0.0445469304369507,1,80,0.4800871768638069,1.600555342940596e-05,COMPLETE
97,0.11736902594566345,2023-09-02 12:34:42.768199,2023-09-02 12:34:49.379696,0 days 00:00:06.611497,Tanh,12,21,0.05410337644849191,1,100,0.46734223309470285,2.1905287648656126e-05,COMPLETE
98,0.11201895773410797,2023-09-02 12:34:49.379948,2023-09-02 12:34:54.863884,0 days 00:00:05.483936,Tanh,12,20,0.01838600640185511,1,80,0.4849099193346586,3.859815435869866e-05,COMPLETE
99,0.10865345597267151,2023-09-02 12:34:54.864144,2023-09-02 12:35:02.121703,0 days 00:00:07.257559,Tanh,12,19,0.041401614566696485,1,100,0.5164391567874494,1.6340011938659543e-05,COMPLETE
100,0.12583543360233307,2023-09-02 12:35:02.121961,2023-09-02 12:35:08.285039,0 days 00:00:06.163078,Tanh,12,12,0.03700858006762352,1,100,0.44326203040641154,8.14325804523438e-05,COMPLETE
101,0.10670685023069382,2023-09-02 12:35:08.285291,2023-09-02 12:35:13.068286,0 days 00:00:04.782995,Tanh,12,19,0.014293413805214124,1,80,0.419035355370425,1.1876049082400861e-05,COMPLETE
102,0.11121460795402527,2023-09-02 12:35:13.068536,2023-09-02 12:35:17.894946,0 days 00:00:04.826410,Tanh,12,20,0.0287164767953715,1,80,0.42540846537695376,1.3499237673512008e-05,COMPLETE
103,0.11296509206295013,2023-09-02 12:35:17.895203,2023-09-02 12:35:22.527415,0 days 00:00:04.632212,Tanh,12,19,0.014230413780462886,1,80,0.4083482660800013,2.9362258275759403e-05,COMPLETE
104,0.11000484973192215,2023-09-02 12:35:22.527667,2023-09-02 12:35:27.532577,0 days 00:00:05.004910,Tanh,12,10,0.047409704742033376,1,80,0.44957502088163437,1.859434050448031e-05,COMPLETE
105,0.1055656373500824,2023-09-02 12:35:27.532838,2023-09-02 12:35:32.919554,0 days 00:00:05.386716,Tanh,12,14,0.021937070468383817,1,80,0.477611397703816,1.102310668157846e-05,COMPLETE
106,0.132649764418602,2023-09-02 12:35:32.919802,2023-09-02 12:35:38.305582,0 days 00:00:05.385780,Tanh,12,19,0.07426415653545165,1,80,0.4788452466727897,1.4475356160702525e-05,COMPLETE
107,0.1145099624991417,2023-09-02 12:35:38.305845,2023-09-02 12:35:43.195219,0 days 00:00:04.889374,Tanh,12,21,0.023918798480268285,1,80,0.42542201042255556,1.1255088495487503e-05,COMPLETE
108,0.11251367628574371,2023-09-02 12:35:43.195470,2023-09-02 12:35:47.652135,0 days 00:00:04.456665,Tanh,12,15,0.01148101084968518,1,80,0.3929787926718466,1.028281418462131e-05,COMPLETE
109,0.10663203150033951,2023-09-02 12:35:47.652391,2023-09-02 12:35:50.658185,0 days 00:00:03.005794,Tanh,30,18,0.03371547126869723,1,80,0.5684872868144991,2.2439868208983944e-05,COMPLETE
110,0.10257140547037125,2023-09-02 12:35:50.658436,2023-09-02 12:35:53.604422,0 days 00:00:02.945986,Tanh,30,18,0.019143138412663036,1,80,0.5523092323838178,2.2289361893715356e-05,COMPLETE
111,0.10136570781469345,2023-09-02 12:35:53.604670,2023-09-02 12:35:56.576539,0 days 00:00:02.971869,Tanh,30,18,0.033608068128066014,1,80,0.5608102595110518,2.2336297850362122e-05,COMPLETE
112,0.10583892464637756,2023-09-02 12:35:56.576794,2023-09-02 12:35:59.552068,0 days 00:00:02.975274,Tanh,30,18,0.03642531498034493,1,80,0.5618174390300856,2.332259782075646e-05,COMPLETE
113,0.10790270566940308,2023-09-02 12:35:59.552316,2023-09-02 12:36:02.449082,0 days 00:00:02.896766,Tanh,30,18,0.03330622257094799,1,80,0.5453074219738776,2.237209314108274e-05,COMPLETE
114,0.10751814395189285,2023-09-02 12:36:02.449330,2023-09-02 12:36:05.256969,0 days 00:00:02.807639,Tanh,30,18,0.052248733323481344,1,80,0.5284186641398366,1.6378086812902758e-05,COMPLETE
115,0.10265243798494339,2023-09-02 12:36:05.257227,2023-09-02 12:36:08.194708,0 days 00:00:02.937481,Tanh,30,17,0.03521498071599405,1,80,0.5535023163993436,1.9881802707107494e-05,COMPLETE
116,0.10674518346786499,2023-09-02 12:36:08.194967,2023-09-02 12:36:11.220132,0 days 00:00:03.025165,Tanh,30,17,0.05991905380437439,1,80,0.5697036343717867,2.6949050582170247e-05,COMPLETE
117,0.10441622883081436,2023-09-02 12:36:11.220391,2023-09-02 12:36:13.866211,0 days 00:00:02.645820,Tanh,30,20,0.040086998322814545,1,80,0.49418014057369747,1.5134096600060241e-05,COMPLETE
118,0.10986419022083282,2023-09-02 12:36:13.866470,2023-09-02 12:36:16.508198,0 days 00:00:02.641728,Tanh,30,19,0.04433367774324475,1,80,0.49525826037918996,1.5711307765493445e-05,COMPLETE
119,0.11317193508148193,2023-09-02 12:36:16.508452,2023-09-02 12:36:19.009117,0 days 00:00:02.500665,Tanh,30,20,0.03889554958425175,1,80,0.4677175358016788,1.902069652695246e-05,COMPLETE
120,0.10350596904754639,2023-09-02 12:36:19.009371,2023-09-02 12:36:21.914601,0 days 00:00:02.905230,Tanh,30,17,0.027645110307495162,1,80,0.5444673160735997,1.3552213481219134e-05,COMPLETE
121,0.10769542306661606,2023-09-02 12:36:21.914859,2023-09-02 12:36:24.676736,0 days 00:00:02.761877,Tanh,30,17,0.026624399227486092,1,80,0.5192109363905678,1.4091800116869277e-05,COMPLETE
122,0.10762515664100647,2023-09-02 12:36:24.676994,2023-09-02 12:36:27.278337,0 days 00:00:02.601343,Tanh,30,18,0.0650346423246774,1,80,0.48855219555143814,1.2266531301382747e-05,COMPLETE
123,0.10517388582229614,2023-09-02 12:36:27.278594,2023-09-02 12:36:30.195750,0 days 00:00:02.917156,Tanh,30,17,0.01976526511961844,1,80,0.5485081716797635,2.014687378761826e-05,COMPLETE
124,0.10775701701641083,2023-09-02 12:36:30.196006,2023-09-02 12:36:33.153747,0 days 00:00:02.957741,Tanh,30,17,0.019790272909065418,1,80,0.5577902058187165,1.0073826488278525e-05,COMPLETE
125,0.11105357110500336,2023-09-02 12:36:33.154021,2023-09-02 12:36:36.017215,0 days 00:00:02.863194,Tanh,30,16,0.025856095150799892,1,80,0.5429999823066557,2.030138350517002e-05,COMPLETE
126,0.10219433158636093,2023-09-02 12:36:36.017477,2023-09-02 12:36:39.260328,0 days 00:00:03.242851,Tanh,30,15,0.01785221448774245,1,80,0.6112465567742478,1.3271574375907392e-05,COMPLETE
127,0.11082971096038818,2023-09-02 12:36:39.260584,2023-09-02 12:36:42.537547,0 days 00:00:03.276963,Tanh,30,15,0.01877551161136564,1,80,0.6165627962594673,1.3695374484380644e-05,COMPLETE
128,0.1005416214466095,2023-09-02 12:36:42.537803,2023-09-02 12:36:45.704129,0 days 00:00:03.166326,Tanh,30,16,0.015737910254580514,1,80,0.6010390126646088,1.196361511939412e-05,COMPLETE
