number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_batch_size,params_fl1,params_fl2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
44,0.10137302428483963,2023-09-02 12:28:02.598492,2023-09-02 12:28:09.224304,0 days 00:00:06.625812,Leaky,Tanh,12,19,22.0,0.001534246428587223,2,60,0.5915514777638722,9.713721239245684e-05,COMPLETE
45,0.14615985751152039,2023-09-02 12:28:09.224572,2023-09-02 12:28:17.844387,0 days 00:00:08.619815,Sigmoid,Tanh,12,17,18.0,0.00032712279767966413,2,60,0.7810549207191143,4.590605616182665e-05,COMPLETE
46,0.0909653902053833,2023-09-02 12:28:17.844651,2023-09-02 12:28:25.687018,0 days 00:00:07.842367,Leaky,Sigmoid,12,21,23.0,0.004321958735481097,2,60,0.7010482231112047,1.5228212424289078e-05,COMPLETE
47,0.10747815668582916,2023-09-02 12:28:25.687273,2023-09-02 12:29:10.930852,0 days 00:00:45.243579,Leaky,Sigmoid,2,22,23.0,0.004657491400742489,2,60,0.7375067498458155,7.003149330825542e-05,COMPLETE
48,0.09528548270463943,2023-09-02 12:29:10.931122,2023-09-02 12:29:20.083805,0 days 00:00:09.152683,Leaky,Sigmoid,10,21,24.0,0.008240552344296768,2,60,0.691406185997006,1.2672483994047722e-05,COMPLETE
49,0.11111308634281158,2023-09-02 12:29:20.084086,2023-09-02 12:29:26.688603,0 days 00:00:06.604517,Leaky,Sigmoid,30,16,19.0,0.0053894293900451145,2,100,0.7848510157676077,2.7292346573093604e-05,COMPLETE
50,0.10890191048383713,2023-09-02 12:29:26.688864,2023-09-02 12:29:30.944877,0 days 00:00:04.256013,Sigmoid,,12,23,,0.0032620910297780745,1,60,0.4932579513054465,4.9843613739393505e-05,COMPLETE
51,0.10261347889900208,2023-09-02 12:29:30.945145,2023-09-02 12:29:37.640470,0 days 00:00:06.695325,Leaky,Sigmoid,12,18,20.0,0.0016902608473602415,2,60,0.5990585139220952,1.7624529063797552e-05,COMPLETE
52,0.10403422266244888,2023-09-02 12:29:37.640749,2023-09-02 12:29:43.859881,0 days 00:00:06.219132,Leaky,Tanh,12,20,22.0,0.0008237516057293064,2,60,0.5550950235977341,1.4996342013076084e-05,COMPLETE
53,0.098565474152565,2023-09-02 12:29:43.860151,2023-09-02 12:30:06.070231,0 days 00:00:22.210080,Leaky,Leaky,4,19,20.0,0.002703281090088301,2,60,0.719305325473608,1.3927076297871974e-05,COMPLETE
54,0.09975403547286987,2023-09-02 12:30:06.070492,2023-09-02 12:30:13.002196,0 days 00:00:06.931704,ReLU,Tanh,12,21,17.0,0.004933633227227122,2,60,0.6173444923205124,2.36377196693378e-05,COMPLETE
55,0.0973442941904068,2023-09-02 12:30:13.002462,2023-09-02 12:30:20.753895,0 days 00:00:07.751433,Leaky,ReLU,12,17,24.0,0.0012507190917357394,2,60,0.6943097049734754,8.153649286443583e-05,COMPLETE
56,0.09925740957260132,2023-09-02 12:30:20.754163,2023-09-02 12:30:35.641093,0 days 00:00:14.886930,Leaky,Tanh,12,20,21.0,0.002477958034742371,2,100,0.7961149814905956,1.0243432544885197e-05,COMPLETE
57,0.09981635212898254,2023-09-02 12:30:35.641354,2023-09-02 12:31:00.465570,0 days 00:00:24.824216,Tanh,Sigmoid,2,16,23.0,0.010121426631959671,2,40,0.6087601402798402,3.27796776458913e-05,COMPLETE
58,0.09994296729564667,2023-09-02 12:31:00.465873,2023-09-02 12:31:05.045969,0 days 00:00:04.580096,Leaky,Tanh,30,18,18.0,0.0037631990767653797,2,80,0.6719257305241687,2.071175902704528e-05,COMPLETE
59,0.09318795800209045,2023-09-02 12:31:05.046237,2023-09-02 12:31:25.117433,0 days 00:00:20.071196,ReLU,Leaky,8,15,17.0,0.0015542078720859158,2,100,0.74714741598877,4.8292027236376916e-05,COMPLETE
60,0.09035946428775787,2023-09-02 12:31:25.117700,2023-09-02 12:31:45.130588,0 days 00:00:20.012888,ReLU,Leaky,8,15,16.0,0.005893377972752465,2,100,0.7465560920449076,4.335898221590959e-05,COMPLETE
61,0.09365888684988022,2023-09-02 12:31:45.130855,2023-09-02 12:32:05.308071,0 days 00:00:20.177216,ReLU,Leaky,8,15,16.0,0.005844855290553975,2,100,0.7540083539296417,3.984877889054165e-05,COMPLETE
62,0.0969877764582634,2023-09-02 12:32:05.308332,2023-09-02 12:32:25.365622,0 days 00:00:20.057290,ReLU,Leaky,8,15,16.0,0.005943868562858185,2,100,0.7484324012773574,4.033145572680294e-05,COMPLETE
63,0.09578809142112732,2023-09-02 12:32:25.365885,2023-09-02 12:32:45.364870,0 days 00:00:19.998985,ReLU,Leaky,8,15,16.0,0.009722865222204832,2,100,0.7434252521976268,2.9535167956197572e-05,COMPLETE
64,0.09156934171915054,2023-09-02 12:32:45.365141,2023-09-02 12:33:03.498869,0 days 00:00:18.133728,ReLU,Leaky,8,17,14.0,0.006378280326782886,2,100,0.6710119734525716,5.050828430106983e-05,COMPLETE
65,0.113404780626297,2023-09-02 12:33:03.499135,2023-09-02 12:33:21.847645,0 days 00:00:18.348510,ReLU,Leaky,8,17,14.0,0.02014119438142482,2,100,0.6715753393260575,1.2977305193434865e-05,COMPLETE
66,0.09741595387458801,2023-09-02 12:33:21.847916,2023-09-02 12:33:40.871456,0 days 00:00:19.023540,ReLU,Leaky,8,16,17.0,0.013266403625607829,2,100,0.7062013639794129,5.894974632142616e-05,COMPLETE
67,0.10030347108840942,2023-09-02 12:33:40.871724,2023-09-02 12:34:02.350394,0 days 00:00:21.478670,ReLU,Leaky,8,17,15.0,0.001910182329320709,2,100,0.7966463827160924,8.776103208111157e-05,COMPLETE
68,0.09764225035905838,2023-09-02 12:34:02.350655,2023-09-02 12:34:20.054381,0 days 00:00:17.703726,ReLU,Leaky,8,18,19.0,0.0040194957729806375,2,100,0.652841690281169,2.471255227040598e-05,COMPLETE
69,0.09776121377944946,2023-09-02 12:34:20.054649,2023-09-02 12:34:34.947185,0 days 00:00:14.892536,ReLU,Leaky,8,22,18.0,0.0008769342769127014,2,100,0.5471774753444483,5.388774353044354e-05,COMPLETE
70,0.10067444294691086,2023-09-02 12:34:34.947464,2023-09-02 12:35:08.152382,0 days 00:00:33.204918,ReLU,Leaky,4,14,15.0,0.002595459880720966,2,100,0.6407435167824245,1.4056184265146546e-05,COMPLETE
71,0.10239478945732117,2023-09-02 12:35:08.152646,2023-09-02 12:35:28.270215,0 days 00:00:20.117569,ReLU,Leaky,8,15,14.0,0.006421116801365221,2,100,0.7478915151192509,4.138318996367839e-05,COMPLETE
72,0.1001506969332695,2023-09-02 12:35:28.270478,2023-09-02 12:35:48.522039,0 days 00:00:20.251561,ReLU,Leaky,8,16,17.0,0.007369136887499613,2,100,0.7529859927056601,3.0041267339919034e-05,COMPLETE
73,0.0983046367764473,2023-09-02 12:35:48.522305,2023-09-02 12:36:07.251490,0 days 00:00:18.729185,ReLU,Leaky,8,14,16.0,0.004776531480424056,2,100,0.6988786799173267,2.0905573968298258e-05,COMPLETE
74,0.09121387451887131,2023-09-02 12:36:07.251758,2023-09-02 12:36:27.493064,0 days 00:00:20.241306,ReLU,Leaky,8,13,13.0,0.003004525082907137,2,100,0.7534131041334813,0.00010524308466818995,COMPLETE
75,0.09635043889284134,2023-09-02 12:36:27.493337,2023-09-02 12:36:41.040018,0 days 00:00:13.546681,ReLU,Leaky,8,13,13.0,0.0030879588548251807,2,80,0.6301303774270262,1.0022896047737143e-05,COMPLETE
76,0.09462270140647888,2023-09-02 12:36:41.040280,2023-09-02 12:36:46.943245,0 days 00:00:05.902965,ReLU,Leaky,10,12,13.0,0.0013873238781783976,2,40,0.6745363207359234,0.0001210652162237806,COMPLETE
77,0.09897030889987946,2023-09-02 12:36:46.943533,2023-09-02 12:37:06.544975,0 days 00:00:19.601442,Tanh,ReLU,8,18,19.0,0.0020130014696303866,2,100,0.7200661196858006,1.9163644331216155e-05,COMPLETE
78,0.1060311421751976,2023-09-02 12:37:06.545247,2023-09-02 12:37:27.735936,0 days 00:00:21.190689,ReLU,Leaky,8,13,10.0,0.0011187979343968344,2,100,0.7951844862522117,7.321159218077723e-05,COMPLETE
79,0.18865752220153809,2023-09-02 12:37:27.736204,2023-09-02 12:38:23.592978,0 days 00:00:55.856774,Sigmoid,Sigmoid,2,1,15.0,0.0038905792329886977,2,100,0.5764823730446116,4.760028408133652e-05,COMPLETE
80,0.0936085432767868,2023-09-02 12:38:23.593243,2023-09-02 12:38:29.139364,0 days 00:00:05.546121,ReLU,Leaky,30,11,20.0,0.002945883140093484,2,100,0.6574995609387783,3.0470653970611728e-05,COMPLETE
81,0.09499683231115341,2023-09-02 12:38:29.139623,2023-09-02 12:38:35.072902,0 days 00:00:05.933279,ReLU,Leaky,30,10,20.0,0.001998825843382817,2,100,0.7048343556691891,3.049609133143789e-05,COMPLETE
