number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_batch_size,params_fl1,params_fl2,params_fl3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
36,0.11751794070005417,2023-09-02 12:26:45.065925,2023-09-02 12:26:47.420013,0 days 00:00:02.354088,ReLU,Leaky,Tanh,30,16,12.0,24.0,0.008561310171281486,3,40,0.5749163548357037,0.0024628723941652973,COMPLETE
37,0.1264754980802536,2023-09-02 12:26:47.420285,2023-09-02 12:26:54.047189,0 days 00:00:06.626904,Tanh,Leaky,Tanh,12,12,17.0,18.0,0.005485991624436295,3,60,0.4913897910696194,0.004120146058531925,COMPLETE
38,0.13059517741203308,2023-09-02 12:26:54.047457,2023-09-02 12:26:59.467135,0 days 00:00:05.419678,Sigmoid,Leaky,Tanh,30,20,22.0,20.0,0.0029705388520305694,3,80,0.6548652982020629,0.001879359606061167,COMPLETE
39,0.14334170520305634,2023-09-02 12:26:59.467434,2023-09-02 12:27:04.822863,0 days 00:00:05.355429,ReLU,Leaky,Leaky,30,23,16.0,16.0,0.011869811363922891,3,80,0.5406467381578871,0.016700287564574166,COMPLETE
40,0.11820583045482635,2023-09-02 12:27:04.823161,2023-09-02 12:27:19.380726,0 days 00:00:14.557565,ReLU,Sigmoid,Tanh,12,18,19.0,22.0,0.0018263998989158955,3,80,0.7988041734560247,0.002933173882044781,COMPLETE
41,0.09870431572198868,2023-09-02 12:27:19.381000,2023-09-02 12:27:39.916072,0 days 00:00:20.535072,ReLU,Leaky,,4,22,22.0,,0.0008670123391768711,2,80,0.49740203776081765,0.0012747666647580577,COMPLETE
42,0.10184862464666367,2023-09-02 12:27:39.916338,2023-09-02 12:28:01.656810,0 days 00:00:21.740472,ReLU,Leaky,,4,22,22.0,,0.00039682993483086806,2,80,0.5237567284449851,0.0013258238514242742,COMPLETE
43,0.1135159507393837,2023-09-02 12:28:01.657080,2023-09-02 12:28:25.335249,0 days 00:00:23.678169,ReLU,Leaky,,4,10,19.0,,0.0009212039501605049,2,80,0.5844876055037476,0.0005974018582933636,COMPLETE
44,0.1062619760632515,2023-09-02 12:28:25.335509,2023-09-02 12:28:44.587881,0 days 00:00:19.252372,ReLU,Leaky,,4,21,21.0,,0.003024108332461999,2,80,0.46408646303021583,0.001894297735631825,COMPLETE
45,0.12825152277946472,2023-09-02 12:28:44.588137,2023-09-02 12:28:48.827613,0 days 00:00:04.239476,Tanh,Tanh,Tanh,30,23,18.0,15.0,0.001502659614612802,3,60,0.7069558182602919,0.0029697519208780948,COMPLETE
46,0.0998271033167839,2023-09-02 12:28:48.827896,2023-09-02 12:29:09.028613,0 days 00:00:20.200717,ReLU,ReLU,,2,17,22.0,,0.0005393670214258216,2,40,0.5044675587820906,0.0006387893220896675,COMPLETE
47,0.13031041622161865,2023-09-02 12:29:09.028881,2023-09-02 12:29:31.546875,0 days 00:00:22.517994,ReLU,ReLU,,2,14,22.0,,0.0004930086979285768,2,40,0.555906871129601,0.005839786595086192,COMPLETE
48,0.1304457038640976,2023-09-02 12:29:31.547136,2023-09-02 12:29:57.336359,0 days 00:00:25.789223,Sigmoid,ReLU,,2,17,20.0,,0.00042298467160387484,2,40,0.6389922029209878,0.001158823307273536,COMPLETE
49,0.11046924442052841,2023-09-02 12:29:57.336624,2023-09-02 12:30:24.659506,0 days 00:00:27.322882,ReLU,ReLU,,2,16,19.0,,0.00022214280722388852,2,40,0.6853301151243214,0.00047192337946769746,COMPLETE
50,0.11380017548799515,2023-09-02 12:30:24.659765,2023-09-02 12:30:27.563525,0 days 00:00:02.903760,ReLU,ReLU,,16,18,13.0,,0.0007851555287092987,2,40,0.5157050755851601,0.0019468804549848478,COMPLETE
