number,value,params_activation_1,params_batch_size,params_epochs,params_layer_1,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
320,0.663139283657074,Leaky,73,348,5,0.008192511221189554,1,0.10850628763643132,0.01681739727790292,1.6906235218048096,0.663139283657074,0.17502492666244507,COMPLETE
321,0.6707973480224609,Leaky,77,186,23,0.0007462663184334456,1,0.10009506100749813,0.012601621619444515,1.5153372287750244,0.6707973480224609,0.2601540684700012,COMPLETE
322,0.6384968757629395,Leaky,75,291,21,0.0032630993572246936,1,0.11598834515163803,0.04274406128262114,1.691485047340393,0.6384968757629395,0.28091615438461304,COMPLETE
323,0.6584728956222534,Leaky,68,324,22,0.0020283276518177516,1,0.12355685054600914,0.05389453502019764,1.7116990089416504,0.6584728956222534,0.25222617387771606,COMPLETE
324,0.6460334658622742,Leaky,59,199,20,0.024643361366679762,1,0.11227752401358075,0.027507168410115333,2.2348506450653076,0.6460334658622742,0.18347960710525513,COMPLETE
325,0.6533114314079285,Leaky,72,234,21,0.0013696557276565943,1,0.1050885614921106,0.03415601282039401,1.782527208328247,0.6533114314079285,0.2683321237564087,COMPLETE
326,0.6775025725364685,Leaky,70,146,19,0.005158263182148492,1,0.11828393455810261,0.0060880344124767125,1.7522270679473877,0.6775025725364685,0.10953760147094727,COMPLETE
327,0.6728335022926331,Leaky,74,257,21,0.0069095593258316655,1,0.10978251324511716,0.0026528269971501477,1.4984924793243408,0.6728335022926331,-0.015992403030395508,COMPLETE
328,0.6584492921829224,Leaky,80,243,22,0.019097896235469,1,0.11497902154899486,0.009410920080672515,2.544586420059204,0.6584492921829224,0.2366582155227661,COMPLETE
329,0.6601015329360962,Leaky,71,285,21,0.009840271272417718,1,0.10679728892493918,0.06274387663628782,1.7431237697601318,0.6601015329360962,0.24157273769378662,COMPLETE
330,0.65048748254776,Leaky,65,315,20,0.013178593637907576,1,0.26082778661829426,0.023587616037412263,1.9401946067810059,0.65048748254776,0.35017597675323486,COMPLETE
331,0.7427427172660828,Leaky,77,173,22,0.0041419563123376735,1,0.1584351285349011,0.044256921443832045,1.7255703210830688,0.7427427172660828,0.23858821392059326,COMPLETE
332,0.7247084975242615,Leaky,69,298,20,0.03230923478484351,1,0.147939511258397,0.08140849304460901,1.9897069931030273,0.7247084975242615,0.23592281341552734,COMPLETE
333,0.6173979043960571,Leaky,73,274,21,0.0016017281225103807,1,0.11185694473352355,0.018994041208338596,2.7104527950286865,0.6173979043960571,0.2754048705101013,COMPLETE
334,0.6531645655632019,Leaky,75,266,21,0.001550858050130711,1,0.12415402213602125,0.01701605593345238,3.333481788635254,0.6531645655632019,0.23525524139404297,COMPLETE
335,0.6692100167274475,Leaky,72,274,23,0.002075067078793799,1,0.10328507152988664,0.020630066354985013,1.4925825595855713,0.6692100167274475,0.2000124454498291,COMPLETE
336,0.6440233588218689,Leaky,73,275,22,0.001027025576839627,1,0.11003536085975078,0.014558467711671677,1.6850688457489014,0.6440233588218689,0.27222585678100586,COMPLETE
337,0.6673797369003296,Leaky,76,249,19,0.0012817031921775917,1,0.11786307008256204,0.02590114107358913,1.6687487363815308,0.6673797369003296,0.2632905840873718,COMPLETE
338,0.6693821549415588,Leaky,79,281,21,0.0015226224092147861,1,0.12978268964361858,0.008479289364450636,1.5651768445968628,0.6693821549415588,0.21572202444076538,COMPLETE
339,0.6751832365989685,Leaky,73,259,20,0.0018303139680575797,1,0.2934805231593088,0.00036748365456200057,2.639880895614624,0.6751832365989685,0.3221876621246338,COMPLETE
340,0.6579532623291016,Leaky,74,294,21,0.0029100592281158843,1,0.1071876923424488,0.030701161652692027,1.7222768068313599,0.6579532623291016,0.2300727367401123,COMPLETE
341,0.8638043403625488,Leaky,71,285,17,5.073131110850249e-05,1,0.3593034063471854,0.021184390172444306,3.551635503768921,0.8638043403625488,0.17823368310928345,COMPLETE
342,0.6441454887390137,Leaky,75,227,20,0.0011486395347175887,1,0.11376991383349153,0.012629450051238982,1.612621784210205,0.6441454887390137,0.24880635738372803,COMPLETE
343,0.7385163903236389,Leaky,77,307,16,0.002407942612210705,1,0.10271044777985333,0.033250882703150936,1.6618659496307373,0.7385163903236389,0.16480094194412231,COMPLETE
344,0.6589231491088867,Leaky,72,212,22,0.011114143160891194,1,0.12011490803065311,0.017135264514001977,1.3372905254364014,0.6589231491088867,0.14273136854171753,COMPLETE
345,0.7110815048217773,Leaky,70,272,21,0.0009246903565245481,1,0.18294858328805477,0.0065318624382138864,1.5292878150939941,0.7110815048217773,0.28464722633361816,COMPLETE
346,0.7243638634681702,Leaky,67,328,22,0.008784889753792354,1,0.17177720362040066,0.027634266399695434,1.5961202383041382,0.7243638634681702,0.25640207529067993,COMPLETE
347,0.6839762926101685,Leaky,56,300,21,0.0005281182607464879,1,0.22929799407473342,0.0022583645765608877,4.627123832702637,0.6839762926101685,0.3093944191932678,COMPLETE
348,0.7074877619743347,Leaky,97,265,20,0.0013901982583123876,1,0.20791016979563082,7.781314523791014e-05,3.0088140964508057,0.7074877619743347,0.25810182094573975,COMPLETE
349,0.6758955717086792,Leaky,74,164,21,0.0017817861967404265,1,0.136162241859703,0.0013259073325473066,1.5699527263641357,0.6758955717086792,0.25337904691696167,COMPLETE
350,0.6549352407455444,Leaky,64,314,22,0.006336605115482527,1,0.11075202106827163,0.049700327991945445,1.8376433849334717,0.6549352407455444,0.22935646772384644,COMPLETE
351,0.663640022277832,Leaky,90,178,22,0.016081866364167623,1,0.1152211449139691,0.0017906049191794549,2.057685136795044,0.663640022277832,-0.011006832122802734,COMPLETE
352,0.7173271775245667,Leaky,72,287,23,0.0007319441648834657,1,0.43176078216599645,0.03815840350852219,1.2046618461608887,0.7173271775245667,0.3126075267791748,COMPLETE
353,0.687402069568634,Leaky,76,334,11,0.0077151734168602526,1,0.10890653948734058,0.02309331448141484,1.8099008798599243,0.687402069568634,0.20319509506225586,COMPLETE
354,0.6633449792861938,Leaky,70,191,20,0.0022759088901499486,1,0.12574433371835783,0.0707686465112222,19.571388244628906,0.6633449792861938,0.2639257311820984,COMPLETE
355,0.6700215935707092,Leaky,73,293,21,0.000876700271292125,1,0.2003886915747017,0.00303905363460289,2.588705539703369,0.6700215935707092,0.2918521761894226,COMPLETE
356,0.6454071402549744,Leaky,68,319,21,0.0016142209765932084,1,0.19629302743282834,0.019389652229678082,2.9220192432403564,0.6454071402549744,0.3167634606361389,COMPLETE
