number,value,params_activation_1,params_activation_2,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
159,0.7492901682853699,Sigmoid,Tanh,26,395,7,15.0,0.0034734401799625973,2,0.5191189802684609,0.00012004779147778103,1.156185507774353,0.26891425251960754,0.7492901682853699,COMPLETE
160,0.801213800907135,ReLU,Tanh,25,424,8,14.0,0.0040573193287271716,2,0.7745382898177537,0.0014507413479205274,1.0949757099151611,0.21645741164684296,0.801213800907135,COMPLETE
161,0.8107027411460876,ReLU,Tanh,20,370,10,15.0,0.0018051467917005212,2,0.7586692730481921,0.0002617230519058378,0.8044658303260803,0.20691102743148804,0.8107027411460876,COMPLETE
162,0.79166579246521,ReLU,Tanh,19,381,9,15.0,0.0017884511354154093,2,0.7498374392454703,0.0002168552695393963,0.9357778429985046,0.22570107877254486,0.79166579246521,COMPLETE
163,0.783241868019104,ReLU,Tanh,24,401,9,14.0,0.002332147606343413,2,0.7997027288933621,0.00025404256620170244,0.8454899787902832,0.22813814878463745,0.783241868019104,COMPLETE
164,0.7820301651954651,ReLU,Tanh,16,365,10,11.0,0.003019744088264412,2,0.7466714135448562,0.0011266991720287449,1.167098045349121,0.23696516454219818,0.7820301651954651,COMPLETE
165,0.7751932144165039,ReLU,Tanh,14,416,11,14.0,0.002232005869833903,2,0.7678005019913184,0.0008113797210956508,0.9347941875457764,0.24382519721984863,0.7751932144165039,COMPLETE
166,0.7956199049949646,ReLU,Tanh,19,387,12,15.0,0.0018108017612631165,2,0.6845544506821603,0.0004478783053501104,1.0916149616241455,0.23275986313819885,0.7956199049949646,COMPLETE
167,0.6363009214401245,ReLU,Tanh,24,372,6,15.0,0.0026688243871632183,2,0.2083495667588511,0.0003512030131271568,0.9888058304786682,0.3499844968318939,0.6363009214401245,COMPLETE
168,0.8046888709068298,ReLU,Tanh,20,407,10,12.0,0.0012688146250180335,2,0.7235442530784404,0.00018982618742836133,0.8048539161682129,0.2222241908311844,0.8046888709068298,COMPLETE
169,0.8031359910964966,Tanh,Tanh,17,431,7,16.0,0.003574539611587691,2,0.7738221515990241,0.0006977857394485251,1.9963912963867188,0.21366100013256073,0.8031359910964966,COMPLETE
170,0.7752807140350342,Tanh,Sigmoid,22,420,9,14.0,0.0016032563912530063,2,0.6692316312396477,0.0002441914304463368,1.1668378114700317,0.24859488010406494,0.7752807140350342,COMPLETE
171,0.7906736731529236,Tanh,Tanh,21,441,10,16.0,0.0013726968374063533,2,0.7004602335256853,0.0002933244865988524,1.1061697006225586,0.23976536095142365,0.7906736731529236,COMPLETE
172,0.8078776597976685,Tanh,ReLU,28,436,10,17.0,0.0021268571207931747,2,0.7403344732872078,0.000399215116387834,0.8205209374427795,0.21075443923473358,0.8078776597976685,COMPLETE
173,0.7855428457260132,Tanh,Tanh,74,399,11,15.0,0.0017390640759939833,2,0.7158970575700351,0.00013433630573717246,0.9793519377708435,0.2440491020679474,0.7855428457260132,COMPLETE
174,0.7898925542831421,Tanh,ReLU,23,413,8,13.0,0.0012093375348184,2,0.7750291770233293,0.00018976288192403462,6.59352445602417,0.22945083677768707,0.7898925542831421,COMPLETE
175,0.8057245016098022,Tanh,Tanh,20,428,9,15.0,0.004919941787617042,2,0.7446491007380125,0.00047308967365372086,0.9371735453605652,0.21186454594135284,0.8057245016098022,COMPLETE
176,0.8069809079170227,Tanh,Leaky,17,451,10,16.0,0.0015256284715621665,2,0.7060903764407896,0.00031473682178287995,0.7061695456504822,0.22332383692264557,0.8069809079170227,COMPLETE
177,0.7721617817878723,Tanh,,13,443,11,,0.0020875842672558632,1,0.62549995809722,0.00027647339148020953,0.698412299156189,0.24483303725719452,0.7721617817878723,COMPLETE
178,0.787147581577301,ReLU,ReLU,26,423,8,16.0,0.0029596441450192774,2,0.7708102115456766,0.0006232875337890628,1.2205150127410889,0.22891145944595337,0.787147581577301,COMPLETE
179,0.7612556219100952,Tanh,Sigmoid,21,406,9,13.0,0.0012205988349781927,2,0.6551494991082358,0.0003513321927352424,18.25735855102539,0.2628796100616455,0.7612556219100952,COMPLETE
180,0.8157882690429688,Tanh,Tanh,24,372,10,14.0,0.0018772470265928723,2,0.7962397220415817,0.00010781803615759308,0.818141520023346,0.1958538144826889,0.8157882690429688,COMPLETE
181,0.7417656183242798,Tanh,Tanh,24,358,10,1.0,0.0018622152279108505,2,0.797231243897837,0.0001219646680515489,0.9556115865707397,0.27482256293296814,0.7417656183242798,COMPLETE
182,0.7978649139404297,Tanh,Tanh,66,391,10,14.0,0.002546376490068137,2,0.7429673732997266,8.997491144921396e-05,0.8152323365211487,0.22147662937641144,0.7978649139404297,COMPLETE
183,0.813080370426178,Tanh,Tanh,22,379,11,14.0,0.0014578089512541068,2,0.7475025359249475,0.00041454938974637,0.8484055399894714,0.2020237147808075,0.813080370426178,COMPLETE
184,0.7617067098617554,Tanh,Tanh,26,375,12,14.0,0.0017138129004610507,2,0.47558505088907344,0.0005033220077033516,1.0001684427261353,0.24689674377441406,0.7617067098617554,COMPLETE
185,0.7805016040802002,Tanh,Tanh,23,369,11,13.0,0.003962499325776457,2,0.798733146065574,0.0008840720066552447,0.9346083998680115,0.23227468132972717,0.7805016040802002,COMPLETE
186,0.8176013827323914,Tanh,Tanh,19,388,11,15.0,0.002316466891071979,2,0.750693046635137,0.0004110857152868257,0.881403386592865,0.19735173881053925,0.8176013827323914,COMPLETE
187,0.7866768836975098,Leaky,Tanh,19,389,11,14.0,0.002350387582299243,2,0.7459527347192766,0.00040922935873470437,0.9918990135192871,0.23232819139957428,0.7866768836975098,COMPLETE
188,0.7969008684158325,Tanh,Tanh,16,348,13,15.0,0.0033836976867451327,2,0.7245086309858425,0.0006048595599125048,1.092037558555603,0.2314574271440506,0.7969008684158325,COMPLETE
189,0.7985446453094482,Tanh,Tanh,18,375,11,12.0,0.0020849893382083587,2,0.6849221146987686,0.0010443809940541666,0.8587465286254883,0.2294289767742157,0.7985446453094482,COMPLETE
190,0.8066911101341248,Tanh,Tanh,15,397,12,15.0,0.0030049022952254403,2,0.7618051278559735,0.0013220627378281039,0.9564357995986938,0.20752114057540894,0.8066911101341248,COMPLETE
191,0.8095844984054565,Tanh,Tanh,22,386,9,15.0,0.0014254724469449941,2,0.7706955164440212,0.00045962659811089076,0.9234434962272644,0.20478174090385437,0.8095844984054565,COMPLETE
192,0.8092581629753113,Tanh,Tanh,24,411,10,14.0,0.001086978290703655,2,0.7997574414797521,0.00036879103275920457,0.8464031219482422,0.20075596868991852,0.8092581629753113,COMPLETE
193,0.8140277862548828,Tanh,Tanh,21,403,9,13.0,0.0019223177588428377,2,0.7423408813128999,0.00022760007364951225,1.0310988426208496,0.20357775688171387,0.8140277862548828,COMPLETE
194,0.8062803745269775,Tanh,Tanh,20,334,8,13.0,0.0019500714587043241,2,0.7274432655141058,0.00022415297977080272,1.81719970703125,0.22205740213394165,0.8062803745269775,COMPLETE
195,0.799709141254425,Tanh,Tanh,18,403,7,13.0,0.0025280360264520905,2,0.7481838785701108,9.883358242959717e-05,0.959340512752533,0.21712540090084076,0.799709141254425,COMPLETE
196,0.7932253479957581,Tanh,Tanh,12,381,9,14.0,0.0015800118776382905,2,0.6951570897632456,0.00020001358995728165,0.801006555557251,0.23351624608039856,0.7932253479957581,COMPLETE
197,0.8044697642326355,Sigmoid,Tanh,20,357,9,12.0,0.002287221626213729,2,0.7285558423941313,0.00016517046812898915,1.1325684785842896,0.22273999452590942,0.8044697642326355,COMPLETE
198,0.8160097599029541,Tanh,Tanh,15,417,9,13.0,0.0017567763784951214,2,0.7677045334778351,0.0005484833215266677,0.8168219923973083,0.20046544075012207,0.8160097599029541,COMPLETE
199,0.8065251708030701,Tanh,Tanh,14,415,8,13.0,0.001853662619002802,2,0.770594927570995,0.0005529525570715167,1.341978669166565,0.20807187259197235,0.8065251708030701,COMPLETE
200,0.7910143136978149,Tanh,Tanh,17,398,9,11.0,0.00251478837316137,2,0.7192149351446704,0.0007098577354209551,1.2609562873840332,0.23963844776153564,0.7910143136978149,COMPLETE
201,0.8157919049263,Tanh,Tanh,42,423,10,14.0,0.001391148006231008,2,0.7693039462643596,0.0003842893350246966,0.7578235864639282,0.1980787217617035,0.8157919049263,COMPLETE
202,0.8099708557128906,Tanh,Tanh,43,424,11,14.0,0.0016113327968676559,2,0.7999425150930424,0.00027186252132625435,0.8492121696472168,0.2006838321685791,0.8099708557128906,COMPLETE
203,0.8036514520645142,Tanh,Tanh,11,417,9,12.0,0.0020972436410023588,2,0.7489405735116763,0.00036655141177751536,0.9350871443748474,0.2123229205608368,0.8036514520645142,COMPLETE
204,0.8155158758163452,Tanh,Tanh,15,407,8,15.0,0.0013592149032218197,2,0.7704161836470521,0.0005193502710037646,1.6841648817062378,0.19840291142463684,0.8155158758163452,COMPLETE
205,0.8135635256767273,Tanh,Tanh,14,405,7,13.0,0.0013385043056171155,2,0.6993223578824123,0.0005524110697338287,0.7702142596244812,0.21350716054439545,0.8135635256767273,COMPLETE
206,0.8127975463867188,Tanh,Tanh,16,393,7,13.0,0.0013172828619154905,2,0.7043881151908716,0.0005608238478957786,0.7480923533439636,0.21500420570373535,0.8127975463867188,COMPLETE
207,0.8105533123016357,Tanh,Tanh,15,393,7,13.0,0.001378691759931732,2,0.6840103583490396,0.0007853127998384754,0.7503731846809387,0.21509918570518494,0.8105533123016357,COMPLETE
208,0.7650606036186218,Tanh,Tanh,12,401,6,13.0,0.0008874765487588146,2,0.5822745224014871,0.0006085384785536615,0.9343313574790955,0.24248135089874268,0.7650606036186218,COMPLETE
209,0.7872443795204163,Tanh,Tanh,16,390,7,12.0,0.0013750992971949775,2,0.6996462372389172,0.0005225414127748271,0.8184311985969543,0.24313984811306,0.7872443795204163,COMPLETE
210,0.7808065414428711,Tanh,Tanh,13,406,6,11.0,0.0015748569645807203,2,0.6605560305286728,0.0009363957447461849,0.9386465549468994,0.23982621729373932,0.7808065414428711,COMPLETE
211,0.8000487685203552,Tanh,Tanh,18,417,8,14.0,0.0012503505166470469,2,0.7370875147618093,0.0005647455275098461,1.0436220169067383,0.2223859429359436,0.8000487685203552,COMPLETE
212,0.7570412158966064,Tanh,Tanh,16,428,7,14.0,0.00163357235604688,2,0.41328066161077814,0.0006992188248137127,1.7562055587768555,0.24911192059516907,0.7570412158966064,COMPLETE
213,0.7982162237167358,Tanh,Tanh,15,410,7,13.0,0.0010081778004926863,2,0.7150767137317298,0.0004318975711836043,11.991341590881348,0.22928015887737274,0.7982162237167358,COMPLETE
214,0.8027833104133606,Tanh,Tanh,18,398,8,12.0,0.0013072411454194159,2,0.773063741125301,0.0005110287078402525,1.1667513847351074,0.21327143907546997,0.8027833104133606,COMPLETE
215,0.7896053791046143,Tanh,Tanh,22,431,8,13.0,0.0019201627736334238,2,0.7381385821176505,0.0007903720921869711,0.7440389394760132,0.23303258419036865,0.7896053791046143,COMPLETE
216,0.7957143783569336,Tanh,Tanh,10,420,8,14.0,0.0011920247705532305,2,0.7080859069584242,0.0012690356336434291,0.7677834033966064,0.23694783449172974,0.7957143783569336,COMPLETE
217,0.7651804089546204,Tanh,Tanh,21,381,6,14.0,0.0015339181189143625,2,0.44062041702542204,0.0004139808840253002,1.6020638942718506,0.2414950430393219,0.7651804089546204,COMPLETE
218,0.7938542366027832,Tanh,Tanh,14,407,7,15.0,0.002066342178640317,2,0.7972336502723287,1.112181007772814e-05,0.9049171805381775,0.21938791871070862,0.7938542366027832,COMPLETE
219,0.7960776090621948,Tanh,Tanh,25,432,8,13.0,0.0010326622171695544,2,0.7494410515737351,0.0006553476536377779,1.036402702331543,0.22092142701148987,0.7960776090621948,COMPLETE
220,0.7827982306480408,Tanh,Tanh,61,196,7,12.0,0.002676176799339347,2,0.678657527396683,0.00033818540207303916,0.7449941039085388,0.24351173639297485,0.7827982306480408,COMPLETE
221,0.4872681498527527,Tanh,Sigmoid,13,411,9,15.0,2.288491763404292e-05,2,0.7662563034022114,0.00046832822875285613,1.5898796319961548,0.5564584732055664,0.4872681498527527,COMPLETE
222,0.8038737773895264,Tanh,Tanh,16,401,10,15.0,0.0032564906199526356,2,0.7693061349028639,0.0004991457841419934,0.970894455909729,0.21089424192905426,0.8038737773895264,COMPLETE
223,0.7998418211936951,Tanh,Tanh,41,390,11,14.0,0.002410112613022529,2,0.7989136962546928,0.0003914457182396723,0.7847761511802673,0.21180874109268188,0.7998418211936951,COMPLETE
224,0.7874404191970825,Tanh,Sigmoid,47,421,10,16.0,0.0017598662644451493,2,0.7283214498125629,0.0005857284349291364,5.286104202270508,0.24309279024600983,0.7874404191970825,COMPLETE
225,0.8120342493057251,Tanh,Tanh,19,413,9,15.0,0.001331410969187306,2,0.7461501389285892,0.00043839245972727124,0.7722994685173035,0.20434632897377014,0.8120342493057251,COMPLETE
226,0.6236581802368164,Tanh,Tanh,57,297,8,15.0,0.0012446030867271543,2,0.7380448275717109,0.04012946720602406,1.5492137670516968,0.41683539748191833,0.6236581802368164,COMPLETE
227,0.7903237342834473,Tanh,Tanh,19,415,9,14.0,0.0013987137093723306,2,0.6941454293422651,0.00032618624878836356,0.6978630423545837,0.23864756524562836,0.7903237342834473,COMPLETE
228,0.7813968658447266,Tanh,Tanh,21,424,12,13.0,0.0008742632266993697,2,0.5569417525148903,0.0010941413679400403,0.819596529006958,0.23244817554950714,0.7813968658447266,COMPLETE
229,0.7806051969528198,Leaky,Tanh,19,437,10,15.0,0.001633944773574894,2,0.7178027037186093,0.0015855565012049264,0.8654061555862427,0.25122010707855225,0.7806051969528198,COMPLETE
230,0.740312397480011,Tanh,Tanh,17,399,11,14.0,0.0010789567685374547,2,0.3667012814195131,0.0008932104500835298,3.864658832550049,0.2568468153476715,0.740312397480011,COMPLETE
231,0.7986465096473694,Tanh,Tanh,14,408,9,16.0,0.002080570904303511,2,0.7686891347850434,0.00041411624868191536,0.7731372714042664,0.21571862697601318,0.7986465096473694,COMPLETE
232,0.8109169602394104,Tanh,Tanh,22,407,9,15.0,0.0029108227024600085,2,0.7706320827581636,0.0004893258801246078,0.8433366417884827,0.2033487856388092,0.8109169602394104,COMPLETE
233,0.6772124767303467,Tanh,Leaky,96,391,8,16.0,0.004297044889272584,2,0.2703715067359143,0.0003667726283952089,1.010166049003601,0.3076011836528778,0.6772124767303467,COMPLETE
234,0.8201603293418884,Tanh,Tanh,17,416,10,13.0,0.0014156450548618315,2,0.7481223120289104,0.0006551013053345684,0.9677217602729797,0.1949552744626999,0.8201603293418884,COMPLETE
235,0.7984501719474792,Tanh,Tanh,17,418,10,12.0,0.0013876195789692446,2,0.743260255688407,0.0005982830493422248,0.8582032918930054,0.2208353728055954,0.7984501719474792,COMPLETE
236,0.7996611595153809,Tanh,Tanh,19,432,10,13.0,0.0017635227694127538,2,0.7992056592572058,0.0006817430637928251,0.875558078289032,0.21199992299079895,0.7996611595153809,COMPLETE
237,0.7710118889808655,Tanh,Tanh,24,423,11,13.0,0.0011782904673340905,2,0.4981586316303757,0.0008038442808269958,0.8917399048805237,0.24127931892871857,0.7710118889808655,COMPLETE
238,0.7961006760597229,Tanh,Tanh,37,377,7,14.0,0.001356246415244905,2,0.7205644402042486,9.087267305204286e-05,1.093313455581665,0.23359201848506927,0.7961006760597229,COMPLETE
239,0.8174739480018616,Tanh,Tanh,21,398,10,14.0,0.0016185825685870654,2,0.7461587203801857,0.00047982038198904906,0.8640036582946777,0.19843259453773499,0.8174739480018616,COMPLETE
240,0.7425105571746826,Tanh,Tanh,17,396,10,12.0,0.0020810759418584826,2,0.4614103081742709,0.0005708845543271587,1.4212772846221924,0.2628723680973053,0.7425105571746826,COMPLETE
241,0.8326206207275391,Tanh,Tanh,22,385,11,14.0,0.0015612120283381489,2,0.7520801303677663,0.0004694506353662287,0.8918111324310303,0.18107053637504578,0.8326206207275391,COMPLETE
242,0.8182320594787598,Tanh,Tanh,20,387,11,14.0,0.0017107494649522361,2,0.7470772982976726,0.0004892032280126489,0.742459774017334,0.19734124839305878,0.8182320594787598,COMPLETE
243,0.8235805034637451,Tanh,Tanh,20,380,11,13.0,0.0015920533846853315,2,0.7465350223766042,0.00047886000758749786,1.0404760837554932,0.19179388880729675,0.8235805034637451,COMPLETE
