number,value,params_activation_1,params_activation_2,params_activation_3,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_layer_3,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
110,-0.15548038482666016,Sigmoid,Leaky,Sigmoid,83,69,12,7.0,18.0,0.09832427971457669,3,0.6582506342385508,0.0003168871231076904,2.414522886276245,0.923271894454956,-0.15548038482666016,COMPLETE
111,0.3085694909095764,Sigmoid,ReLU,ReLU,46,480,13,9.0,21.0,0.08267693025698929,3,0.7639433037780298,0.0005405367155805174,2.379643440246582,0.6195594072341919,0.3085694909095764,COMPLETE
112,0.4904741048812866,Sigmoid,ReLU,ReLU,39,489,13,8.0,20.0,0.06895177804458116,3,0.7994151414825393,0.000717953489053307,1.10624098777771,0.4500606954097748,0.4904741048812866,COMPLETE
113,0.4881589412689209,Sigmoid,ReLU,ReLU,55,465,15,23.0,22.0,0.037890313416172515,3,0.7297488875026432,0.0004271212909434176,2.418044090270996,0.44018107652664185,0.4881589412689209,COMPLETE
114,0.14961957931518555,Sigmoid,ReLU,ReLU,43,500,14,10.0,21.0,0.08250865781752686,3,0.7655144016123681,0.0006359298673954628,1.3402117490768433,0.7619872093200684,0.14961957931518555,COMPLETE
115,0.5054782629013062,Sigmoid,ReLU,ReLU,36,424,12,8.0,6.0,0.05586497259919893,3,0.7025497108173634,0.0009017257894361955,0.8314672112464905,0.4382930099964142,0.5054782629013062,COMPLETE
116,0.5789477825164795,Sigmoid,Leaky,Tanh,49,477,13,3.0,23.0,0.06553177156970079,3,0.7401378915747319,0.00020053665768434215,2.0337448120117188,0.36210307478904724,0.5789477825164795,COMPLETE
117,0.32519984245300293,Leaky,ReLU,Sigmoid,10,483,15,2.0,20.0,0.04567905789451134,3,0.6833318917534267,0.00048188801870234624,1.0525320768356323,0.5722588300704956,0.32519984245300293,COMPLETE
118,-0.19134974479675293,Sigmoid,Leaky,Leaky,62,457,16,9.0,12.0,0.025965943990650976,3,0.6493199417501837,0.0003624462231552252,2.604299306869507,0.9113778471946716,-0.19134974479675293,COMPLETE
119,0.3120133876800537,Tanh,Sigmoid,Sigmoid,29,437,11,7.0,24.0,0.09896007764258186,3,0.7712058148247597,0.000288669114946581,2.902562141418457,0.6164734959602356,0.3120133876800537,COMPLETE
120,0.4305764436721802,Sigmoid,,,33,289,23,,,0.05424325313865592,1,0.5567508435523824,0.0013342529287806968,0.8560574054718018,0.5016287565231323,0.4305764436721802,COMPLETE
121,0.5749249458312988,Sigmoid,Leaky,Tanh,50,477,13,3.0,22.0,0.06908595938223148,3,0.749519442209925,0.00022933482137158667,3.828437328338623,0.3862706422805786,0.5749249458312988,COMPLETE
122,0.4945216178894043,Sigmoid,Leaky,Tanh,48,492,13,2.0,23.0,0.06874998955353064,3,0.7314324077706215,0.00018365201932297366,2.484039783477783,0.43470925092697144,0.4945216178894043,COMPLETE
123,0.5120269060134888,Sigmoid,Leaky,Tanh,52,473,14,4.0,23.0,0.08255968599102619,3,0.7071205184371806,0.00038163198527516707,0.7605947256088257,0.43248894810676575,0.5120269060134888,COMPLETE
124,0.020897626876831055,Sigmoid,Leaky,Tanh,56,485,12,1.0,21.0,0.03873401156916012,3,0.7771873984142684,0.0006207388155232328,1.4739129543304443,0.8243639469146729,0.020897626876831055,COMPLETE
125,0.5397353172302246,Sigmoid,Leaky,ReLU,38,191,7,12.0,24.0,0.057476347417037894,3,0.7380291692426276,0.00021006130472507899,3.157421112060547,0.3958256244659424,0.5397353172302246,COMPLETE
126,0.3573116660118103,ReLU,ReLU,Sigmoid,42,465,15,5.0,20.0,0.04724506494652265,3,0.7980012912759665,0.0007824627275944911,1.0236084461212158,0.567682147026062,0.3573116660118103,COMPLETE
127,0.4897838234901428,Sigmoid,Leaky,ReLU,46,500,14,1.0,19.0,0.0850032113082999,3,0.6109217748580612,0.0004518089534853804,0.7602314949035645,0.4629049301147461,0.4897838234901428,COMPLETE
128,0.20977550745010376,Sigmoid,ReLU,ReLU,40,477,17,4.0,23.0,0.0322459332827146,3,0.6628356296763023,0.000280475222561588,1.1451092958450317,0.6314188838005066,0.20977550745010376,COMPLETE
129,0.4826323986053467,Sigmoid,Leaky,Tanh,13,445,10,3.0,22.0,0.0682884465077334,3,0.708074362831984,0.0009588435607149617,0.7749286890029907,0.45854124426841736,0.4826323986053467,COMPLETE
130,0.3382897973060608,Sigmoid,Sigmoid,Sigmoid,54,491,13,13.0,16.0,0.017318708117025225,3,0.683884649568935,0.00015242064133825993,1.1551631689071655,0.5611580014228821,0.3382897973060608,COMPLETE
131,0.4388701319694519,Sigmoid,ReLU,ReLU,41,484,13,9.0,21.0,0.0736757113787706,3,0.7527872239424928,0.0006398841012698593,7.354026794433594,0.509905219078064,0.4388701319694519,COMPLETE
132,0.6822294592857361,Sigmoid,ReLU,ReLU,44,469,13,9.0,21.0,0.06264306102875684,3,0.7510996355079815,0.0005357862349805422,3.4760730266571045,0.28876179456710815,0.6822294592857361,COMPLETE
133,0.30008465051651,Sigmoid,ReLU,ReLU,49,465,14,10.0,22.0,0.06113618359715361,3,0.7313651665999561,0.0005252244456461392,1.7816740274429321,0.6019241809844971,0.30008465051651,COMPLETE
134,0.22748732566833496,Sigmoid,ReLU,ReLU,44,453,15,14.0,21.0,0.041540827956964406,3,0.6365723458466761,0.00032980216297265596,2.7498881816864014,0.6169077157974243,0.22748732566833496,COMPLETE
135,0.33536893129348755,Sigmoid,ReLU,ReLU,51,471,12,8.0,24.0,0.04925574704330721,3,0.7991540761785499,0.0007762467767051675,0.8884164094924927,0.5870639681816101,0.33536893129348755,COMPLETE
136,0.34180760383605957,Tanh,Leaky,Sigmoid,47,491,11,11.0,23.0,0.08684302750266776,3,0.32311810652908746,0.0004308173549724417,1.6641135215759277,0.6770315170288086,0.34180760383605957,COMPLETE
137,0.6216127276420593,Sigmoid,ReLU,ReLU,44,480,13,10.0,22.0,0.06153100204916185,3,0.7012732466315359,0.0010301900212947629,0.8241667747497559,0.3353634178638458,0.6216127276420593,COMPLETE
138,0.053644776344299316,Sigmoid,ReLU,ReLU,36,462,16,10.0,9.0,0.09957781513822553,3,0.6793480348818935,0.0011011946543187854,1.527164101600647,0.8025489449501038,0.053644776344299316,COMPLETE
139,-0.9523004293441772,Sigmoid,ReLU,ReLU,44,500,14,9.0,2.0,0.03516137929610478,3,0.5968691796436446,0.0015511792313231243,2.302239179611206,1.6758882999420166,-0.9523004293441772,COMPLETE
140,0.08769142627716064,Leaky,ReLU,ReLU,39,481,12,6.0,19.0,0.028277412178966198,3,0.7099364266861636,0.0009396136968435272,1.1703764200210571,0.8085761070251465,0.08769142627716064,COMPLETE
141,0.6641801595687866,Sigmoid,ReLU,ReLU,42,473,13,12.0,14.0,0.05911810533365603,3,0.7507252602386628,0.0005589892828561005,3.5517213344573975,0.3051633834838867,0.6641801595687866,COMPLETE
142,0.4991694688796997,Sigmoid,ReLU,ReLU,42,470,13,12.0,14.0,0.05567010796646505,3,0.7666791852678602,0.0005486276460777338,1.2623628377914429,0.4487714469432831,0.4991694688796997,COMPLETE
143,0.44053465127944946,Sigmoid,ReLU,ReLU,38,453,14,11.0,15.0,0.07611033471340721,3,0.7130428881511728,0.000715578002287494,1.3233317136764526,0.4958523213863373,0.44053465127944946,COMPLETE
144,0.18745046854019165,Sigmoid,ReLU,ReLU,45,490,15,15.0,13.0,0.04372661959418794,3,0.6643636239516706,0.001205849636832267,1.039674162864685,0.6492573618888855,0.18745046854019165,COMPLETE
145,0.32288700342178345,Sigmoid,ReLU,ReLU,42,483,13,13.0,14.0,0.054870640077015094,3,0.756056946234782,0.0008141746664313374,1.0719847679138184,0.6153004169464111,0.32288700342178345,COMPLETE
146,0.49242955446243286,Sigmoid,ReLU,ReLU,34,307,14,9.0,20.0,0.0839179723437047,3,0.7983419782929956,0.0005643179953597467,1.0302056074142456,0.4483334422111511,0.49242955446243286,COMPLETE
147,0.4485318064689636,Sigmoid,Tanh,Sigmoid,47,462,12,10.0,21.0,0.06242594007795255,3,0.6920273978168949,0.0003800520564788402,1.6057080030441284,0.4677553176879883,0.4485318064689636,COMPLETE
148,-0.24038589000701904,Sigmoid,ReLU,ReLU,40,446,16,11.0,1.0,0.006227433866458768,3,0.7331563614680804,0.0004911645690977075,1.380749225616455,1.0667264461517334,-0.24038589000701904,COMPLETE
149,0.3853604793548584,Tanh,ReLU,Leaky,44,473,13,12.0,22.0,0.04802409758685175,3,0.6323821049335457,0.0006698053919361134,1.3918312788009644,0.49083444476127625,0.3853604793548584,COMPLETE
150,-0.32869696617126465,Sigmoid,ReLU,ReLU,21,433,15,10.0,17.0,0.01252084561482858,3,0.42129758872737655,0.0014280094175502449,2.8788914680480957,1.1830705404281616,-0.32869696617126465,COMPLETE
151,0.4117164611816406,Sigmoid,Leaky,Sigmoid,53,480,14,2.0,22.0,0.06233121707354403,3,0.7517173560235721,0.0003043586414064094,4.618309020996094,0.5345801115036011,0.4117164611816406,COMPLETE
152,0.4574229121208191,Sigmoid,Leaky,ReLU,49,491,13,2.0,23.0,0.0722241337084777,3,0.7209746692823723,0.0002237210030215963,1.0707244873046875,0.5082229375839233,0.4574229121208191,COMPLETE
153,0.5833103656768799,Sigmoid,Sigmoid,Sigmoid,59,474,12,1.0,12.0,0.03859376395895892,3,0.7757912424461006,0.0004429563565323508,0.8786084055900574,0.35083553194999695,0.5833103656768799,COMPLETE
154,0.0395430326461792,Sigmoid,Sigmoid,Sigmoid,57,500,12,1.0,11.0,0.020221944297619025,3,0.7731376665278806,0.0004318735940562388,1.5889387130737305,0.8086652755737305,0.0395430326461792,COMPLETE
