number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_a_3,params_batch_size,params_l_1,params_l_2,params_l_3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,user_attrs_mse,user_attrs_r2,state
33,0.1519313007593155,2023-10-31 18:03:58.343070,2023-10-31 18:04:03.696554,0 days 00:00:05.353484,Tanh,Sigmoid,,24,23,11.0,,0.012473145431199834,2,464,0.5936825315378345,3.915884626939952e-05,83.98592014970451,tensor(0.1519),tensor(0.8367),COMPLETE
34,0.17300044000148773,2023-10-31 18:04:03.696939,2023-10-31 18:04:06.825629,0 days 00:00:03.128690,Tanh,Sigmoid,,33,18,9.0,,0.006059668309992783,2,306,0.6814544976028873,4.7913149771435996e-05,88.50806970533982,tensor(0.1730),tensor(0.8412),COMPLETE
35,0.17736347019672394,2023-10-31 18:04:06.825989,2023-10-31 18:04:11.864742,0 days 00:00:05.038753,Sigmoid,Sigmoid,,14,8,4.0,,0.001889828763919961,2,357,0.4812907625097508,1.9557302592195857e-05,112.0180230875309,tensor(0.1774),tensor(0.8257),COMPLETE
36,0.16095998883247375,2023-10-31 18:04:11.865084,2023-10-31 18:04:13.681149,0 days 00:00:01.816065,ReLU,Sigmoid,Tanh,65,24,7.0,24.0,0.0013068678758225395,3,434,0.3659289269696667,1.752001114298476e-05,174.36992940595073,tensor(0.1610),tensor(0.8246),COMPLETE
37,0.1460278183221817,2023-10-31 18:04:13.681529,2023-10-31 18:04:15.829995,0 days 00:00:02.148466,Tanh,ReLU,,54,19,15.0,,0.004031724899440463,2,382,0.5174990984825771,4.199669750915196e-05,84.09109864559473,tensor(0.1460),tensor(0.8438),COMPLETE
38,0.17349649965763092,2023-10-31 18:04:15.830343,2023-10-31 18:04:17.482336,0 days 00:00:01.651993,Sigmoid,ReLU,ReLU,55,20,21.0,16.0,0.005409643461021455,3,387,0.3250677616070422,1.0134446798603569e-05,209.1312732351535,tensor(0.1735),tensor(0.7993),COMPLETE
39,0.1582745760679245,2023-10-31 18:04:17.482700,2023-10-31 18:04:19.124161,0 days 00:00:01.641461,ReLU,ReLU,,52,22,15.0,,0.000728826075484977,2,267,0.5467968660246619,5.659626551695686e-05,89.75894039311213,tensor(0.1583),tensor(0.8484),COMPLETE
40,0.20928116142749786,2023-10-31 18:04:19.124500,2023-10-31 18:04:20.595774,0 days 00:00:01.471274,Tanh,,,61,4,,,0.05304341423323223,1,365,0.4858565603716946,1.869242303214532e-05,108.74729612167567,tensor(0.2093),tensor(0.7948),COMPLETE
41,0.16144639253616333,2023-10-31 18:04:20.596101,2023-10-31 18:04:24.435623,0 days 00:00:03.839522,Tanh,ReLU,,38,19,15.0,,0.0031495965107653,2,463,0.6102358597382426,3.563785071283755e-05,77.90694888879105,tensor(0.1614),tensor(0.8428),COMPLETE
42,0.14692236483097076,2023-10-31 18:04:24.435975,2023-10-31 18:04:27.147591,0 days 00:00:02.711616,Tanh,ReLU,,70,17,23.0,,0.0017777435308913546,2,427,0.7224497835160081,3.9457495203781917e-05,73.49890854989617,tensor(0.1469),tensor(0.8662),COMPLETE
43,0.14748390018939972,2023-10-31 18:04:27.147946,2023-10-31 18:04:29.099808,0 days 00:00:01.951862,Tanh,ReLU,,75,15,23.0,,0.0018790650559749992,2,401,0.5434209188750979,0.00010124457312522586,87.15812637443257,tensor(0.1475),tensor(0.8571),COMPLETE
44,0.1551135927438736,2023-10-31 18:04:29.100182,2023-10-31 18:04:31.417768,0 days 00:00:02.317586,Tanh,ReLU,,81,16,24.0,,0.001398277112491256,2,397,0.7362157314212414,9.894526072720705e-05,78.4962742995255,tensor(0.1551),tensor(0.8581),COMPLETE
45,0.14613808691501617,2023-10-31 18:04:31.418113,2023-10-31 18:04:33.791226,0 days 00:00:02.373113,Tanh,ReLU,,71,18,23.0,,0.002292193970323229,2,483,0.5452969682864721,5.2655915152051236e-05,81.52239105666894,tensor(0.1461),tensor(0.8498),COMPLETE
46,0.14741243422031403,2023-10-31 18:04:33.791573,2023-10-31 18:04:36.153258,0 days 00:00:02.361685,Tanh,ReLU,,75,15,24.0,,0.0009866507923770736,2,484,0.5465078271651143,0.00013545815356725383,90.92151979178436,tensor(0.1474),tensor(0.8586),COMPLETE
47,0.16788458824157715,2023-10-31 18:04:36.153597,2023-10-31 18:04:38.914840,0 days 00:00:02.761243,Tanh,ReLU,,91,18,22.0,,0.0008983551767855239,2,491,0.7317970606612283,0.00015385818008727744,79.39501625263036,tensor(0.1679),tensor(0.8431),COMPLETE
48,0.16379594802856445,2023-10-31 18:04:38.915177,2023-10-31 18:04:41.376066,0 days 00:00:02.460889,Tanh,ReLU,,87,19,21.0,,0.0005039185864892724,2,481,0.6357265397488335,0.0002847813079191672,90.38008095469644,tensor(0.1638),tensor(0.8455),COMPLETE
49,0.14373496174812317,2023-10-31 18:04:41.376414,2023-10-31 18:04:43.724309,0 days 00:00:02.347895,ReLU,ReLU,,67,16,19.0,,0.001168394431013798,2,468,0.5434858929424496,6.890319549992586e-05,87.61302977341872,tensor(0.1437),tensor(0.8607),COMPLETE
50,0.24428388476371765,2023-10-31 18:04:43.724676,2023-10-31 18:04:44.970168,0 days 00:00:01.245492,ReLU,ReLU,,66,16,18.0,,0.00024575781217919275,2,498,0.24670018833004098,6.932032998490268e-05,356.58093433303526,tensor(0.2443),tensor(0.7560),COMPLETE
51,0.15239092707633972,2023-10-31 18:04:44.970517,2023-10-31 18:04:47.105986,0 days 00:00:02.135469,ReLU,ReLU,,75,14,24.0,,0.001201273251535858,2,472,0.5405145062655736,5.057952672245264e-05,81.7083832045733,tensor(0.1524),tensor(0.8511),COMPLETE
