number,value,params_activation_1,params_activation_2,params_activation_3,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_layer_3,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
288,0.6496272683143616,Leaky,Tanh,,74,286,7,20.0,,0.044581297051599356,2,0.7262929419925946,0.03696595377739935,1.0663782358169556,0.6496272683143616,0.5465635657310486,COMPLETE
289,0.6888954639434814,Leaky,Tanh,,84,260,8,23.0,,0.012643993039569677,2,0.703975082937028,0.022408295394477674,0.9926335215568542,0.6888954639434814,0.5025606751441956,COMPLETE
290,0.6621067523956299,Leaky,ReLU,,77,292,9,22.0,,0.023574751214129882,2,0.768451208362591,0.00011420333515762437,2.4593327045440674,0.6621067523956299,0.06904208660125732,COMPLETE
291,0.25060760974884033,Leaky,Leaky,,92,266,10,20.0,,0.015605386356079737,2,0.7432454223427676,0.03315465911319279,2.309422254562378,0.25060760974884033,0.7077767252922058,COMPLETE
292,0.3362995684146881,Leaky,Tanh,,81,326,7,21.0,,0.0008164746088002645,2,0.7718735789261072,0.04580541946178275,1.4047929048538208,0.3362995684146881,0.45356395840644836,COMPLETE
293,0.32028907537460327,Sigmoid,ReLU,,90,442,6,19.0,,0.009654293314032936,2,0.7996263585811318,0.026982775160524237,1.5107091665267944,0.32028907537460327,0.501654326915741,COMPLETE
294,0.7010163068771362,Leaky,ReLU,,86,277,11,20.0,,0.036211808018501414,2,0.6939373490402773,0.020193497531578595,1.0186511278152466,0.7010163068771362,0.41160663962364197,COMPLETE
295,0.24659398198127747,Leaky,Tanh,,72,392,8,21.0,,0.027093092291306332,2,0.7418592510738437,0.02858064601400082,2.2343711853027344,0.24659398198127747,0.682776153087616,COMPLETE
296,0.23352505266666412,Leaky,Leaky,,76,300,7,22.0,,0.018615566634795303,2,0.771591877520924,0.03946098333912473,1.1370381116867065,0.23352505266666412,0.6194159388542175,COMPLETE
297,0.2773163616657257,Leaky,ReLU,,94,317,12,23.0,,0.03141810700706824,2,0.7990755395680819,0.016956439568966142,1.340651273727417,0.2773163616657257,0.5727232098579407,COMPLETE
298,1.5471028089523315,Leaky,ReLU,,79,380,11,24.0,,0.06122372461146149,2,0.43313947510614476,0.004085515908943635,52.08358383178711,1.5471028089523315,0.0890459194779396,COMPLETE
299,0.2508510649204254,Leaky,Tanh,,88,408,10,21.0,,0.0018355698518550353,2,0.735232368559162,0.023913220324884164,1.9232094287872314,0.2508510649204254,0.6784593462944031,COMPLETE
300,0.23199638724327087,Leaky,ReLU,,57,270,9,20.0,,0.021537173089376162,2,0.7999172481793414,0.030572103940550176,1.1594523191452026,0.23199638724327087,0.6466054320335388,COMPLETE
301,1.0866984128952026,Leaky,Tanh,,75,290,7,22.0,,0.013388494379751576,2,0.3566715914730746,0.08760340853823803,1.4027681350708008,1.0866984128952026,0.3388938903808594,COMPLETE
302,1.6001973152160645,Leaky,Leaky,,83,256,6,23.0,,0.043709644403127294,2,0.5157615417020966,0.03507768715441502,2.0090420246124268,1.6001973152160645,0.10786926746368408,COMPLETE
303,0.9236679077148438,Leaky,ReLU,,78,307,8,19.0,,0.026658101209049934,2,0.7118821063600392,0.0013031793393390393,1.5921149253845215,0.9236679077148438,0.01706516742706299,COMPLETE
304,1.1834005117416382,ReLU,Tanh,,97,333,7,21.0,,0.016527832376315412,2,0.6370015974564446,0.014350214679667338,1.8162963390350342,1.1834005117416382,-0.2669917047023773,COMPLETE
305,1.167120099067688,Leaky,ReLU,,71,279,12,20.0,,0.011085517633484528,2,0.2615437252690221,0.060392950213897664,2.3471968173980713,1.167120099067688,0.02610846422612667,COMPLETE
306,0.3368701636791229,Leaky,Sigmoid,,81,417,9,20.0,,0.0052534087323384245,2,0.755781767134141,0.020783678899817123,1.6816136837005615,0.3368701636791229,0.5683164000511169,COMPLETE
307,1.2193875312805176,Leaky,ReLU,,85,257,8,23.0,,0.006990367549275506,2,0.5316916078038822,0.05069821349333996,1.3894286155700684,1.2193875312805176,0.27494990825653076,COMPLETE
308,0.758065402507782,Leaky,Tanh,,91,266,11,22.0,,4.398603627680033e-05,2,0.7689739572173859,0.003215479069984302,1.0766842365264893,0.758065402507782,-0.028909841552376747,COMPLETE
309,0.26561418175697327,Leaky,Leaky,,60,348,7,21.0,,0.021739510751401517,2,0.7378968677867228,0.025360178284046325,1.5187979936599731,0.26561418175697327,0.6514770984649658,COMPLETE
310,0.7141919136047363,Leaky,ReLU,,79,286,5,24.0,,0.0355525988806262,2,0.6934298572815925,0.042011680210273496,1.1246953010559082,0.7141919136047363,0.46504083275794983,COMPLETE
311,1.0921605825424194,Leaky,Tanh,,74,296,12,19.0,,0.04923994069111515,2,0.6222711464648905,0.031433437202819305,1.9341005086898804,1.0921605825424194,0.0529484748840332,COMPLETE
312,0.2629501223564148,Leaky,ReLU,,51,273,4,21.0,,0.02818803283113887,2,0.7713645269072885,0.01870182314011082,1.2513985633850098,0.2629501223564148,0.6683886051177979,COMPLETE
313,0.22923938930034637,Leaky,Tanh,,77,324,8,20.0,,0.018035906322896186,2,0.7429944060138871,0.025134626818241735,2.200047492980957,0.22923938930034637,0.7376677393913269,COMPLETE
314,0.1962643265724182,Leaky,Leaky,,87,459,6,22.0,,0.013569390698137701,2,0.798580382155341,0.03360671795422947,1.074858546257019,0.1962643265724182,0.7012456059455872,COMPLETE
315,1.4100672006607056,Leaky,Leaky,,89,486,6,22.0,,0.014674645040796462,2,0.39577418154407673,0.028611837651783434,1.3434659242630005,1.4100672006607056,0.20997251570224762,COMPLETE
316,0.24532324075698853,Leaky,Leaky,,86,454,6,22.0,,0.0011870820901000007,2,0.7988387290001677,0.010447146041765748,1.1461470127105713,0.24532324075698853,0.6285232901573181,COMPLETE
317,0.7009261250495911,Sigmoid,Leaky,,87,470,5,23.0,,0.02369699918934488,2,0.7257489705572088,0.005639787877504537,1.280409336090088,0.7009261250495911,0.4443998634815216,COMPLETE
318,0.237671360373497,Leaky,Leaky,,84,242,7,24.0,,0.03925575260336679,2,0.7654689267852314,0.02198710859733087,1.0676053762435913,0.237671360373497,0.7113894820213318,COMPLETE
319,1.1451058387756348,Leaky,Leaky,,81,475,6,23.0,,0.020244509848251935,2,0.6702259796251774,0.00155075916213769,1.7631009817123413,1.1451058387756348,-0.23011605441570282,COMPLETE
320,0.30473607778549194,Leaky,Leaky,,88,433,8,22.0,,0.030347136475229495,2,0.7747141117402293,0.007776266148781614,1.0817128419876099,0.30473607778549194,0.5082628130912781,COMPLETE
321,0.7178090810775757,Leaky,Tanh,,91,342,7,19.0,,0.0036106697600807895,2,0.7150472351093027,0.037432877584331725,1.3011155128479004,0.7178090810775757,0.44378241896629333,COMPLETE
322,1.5627250671386719,Leaky,Leaky,,83,377,6,20.0,,0.07533665996730425,2,0.42211194816266356,0.013450980622039413,2.0175695419311523,1.5627250671386719,0.14571480453014374,COMPLETE
323,1.8716319799423218,Leaky,Tanh,,76,312,8,1.0,,0.0005420968797371724,2,0.4475281818335488,0.03256786051582695,1.3362966775894165,1.8716319799423218,-0.2494465708732605,COMPLETE
324,0.6194689869880676,Leaky,Tanh,,89,251,7,18.0,,0.016217821640507238,2,0.798659307369468,0.006910330905263569,2.0070722103118896,0.6194689869880676,0.035925865173339844,COMPLETE
325,0.2959310710430145,Leaky,Leaky,,79,302,9,23.0,,0.012700844822265939,2,0.7471212818663175,0.016504734636115157,2.523622751235962,0.2959310710430145,0.6047949194908142,COMPLETE
326,1.2258070707321167,ReLU,Tanh,,95,443,7,21.0,,0.02494031246847388,2,0.40151293445848396,0.048118288004863334,1.579917311668396,1.2258070707321167,0.338541716337204,COMPLETE
327,0.2200150191783905,Leaky,ReLU,,86,460,10,22.0,,0.004637796218793292,2,0.7673338473632005,0.02613722264563917,0.7745745778083801,0.2200150191783905,0.7361456751823425,COMPLETE
328,0.24029430747032166,Leaky,Tanh,,73,257,8,20.0,,0.03281498551974554,2,0.79970692487608,0.022358949951031385,1.159211277961731,0.24029430747032166,0.6294267773628235,COMPLETE
329,2.243257761001587,Leaky,Leaky,,81,315,6,21.0,,0.01932400436421512,2,0.4900496571627342,0.00048656159690270586,3.1423583030700684,2.243257761001587,-2.5491645336151123,COMPLETE
330,0.27420368790626526,Leaky,ReLU,,93,370,7,24.0,,0.008752035393148136,2,0.7467915694313436,0.03892359946293558,2.685608148574829,0.27420368790626526,0.6701260209083557,COMPLETE
331,0.909899890422821,Leaky,Tanh,,77,394,12,23.0,,0.002972489938839373,2,0.574355303372309,0.029873915156989422,1.427553415298462,0.909899890422821,0.17147447168827057,COMPLETE
332,1.068393349647522,Leaky,Sigmoid,,53,325,9,20.0,,0.02599436037443773,2,0.48271948685506544,0.01936563950699941,2.026639461517334,1.068393349647522,0.3840787708759308,COMPLETE
333,0.6883080005645752,Leaky,ReLU,,87,423,8,19.0,,0.014783897316195348,2,0.6956429318796232,0.02585969354877947,0.9948736429214478,0.6883080005645752,0.47328653931617737,COMPLETE
334,1.2898187637329102,Leaky,ReLU,,90,240,7,21.0,,0.038929839926627824,2,0.4644867272182289,0.03430364872908905,1.3994779586791992,1.2898187637329102,0.11828923225402832,COMPLETE
335,0.25719112157821655,Leaky,Tanh,,75,264,6,22.0,,0.010837666932773464,2,0.7670173914410109,0.021404720373318538,1.2479170560836792,0.25719112157821655,0.6789531111717224,COMPLETE
336,0.7040470838546753,Leaky,Leaky,,83,354,9,20.0,,0.0217168261940064,2,0.7194128259723758,0.01585328191851898,1.3290866613388062,0.7040470838546753,0.40238165855407715,COMPLETE
337,0.8030334115028381,Leaky,ReLU,Leaky,80,282,8,21.0,18.0,0.053598091126189955,3,0.7698762995290955,0.044450433765540795,1.0,0.8030334115028381,-0.09874705225229263,COMPLETE
338,0.2484111487865448,Leaky,Tanh,,85,292,7,23.0,,0.03227258974333526,2,0.7397189743076605,0.028093360155471453,1.7974927425384521,0.2484111487865448,0.6812933087348938,COMPLETE
339,0.3074602484703064,Leaky,ReLU,,78,253,11,22.0,,0.0022645214434683443,2,0.7991489171997627,0.05771628617409086,1.5197014808654785,0.3074602484703064,0.5236425399780273,COMPLETE
340,0.862211287021637,Sigmoid,Leaky,,82,333,5,20.0,,0.01688952922100896,2,0.6700522355265592,0.03490196814348161,1.5994731187820435,0.862211287021637,0.2822258472442627,COMPLETE
341,0.24840694665908813,Leaky,Tanh,,74,274,13,21.0,,0.027034499561909564,2,0.7701781136146324,0.02424205840748731,1.015044093132019,0.24840694665908813,0.6992871761322021,COMPLETE
342,1.7591445446014404,Leaky,ReLU,,88,405,12,20.0,,0.021000493937567737,2,0.5276781908543137,0.01853772387688694,2.338603973388672,1.7591445446014404,-0.19528168439865112,COMPLETE
343,1.0639678239822388,Leaky,Tanh,,55,308,10,19.0,,0.06407130630796107,2,0.32649556641415517,0.06820292402542517,2.2913148403167725,1.0639678239822388,0.35758090019226074,COMPLETE
344,0.7062673568725586,Leaky,ReLU,,76,234,7,22.0,,0.005793295935496541,2,0.7149867361495875,0.004654618264043662,1.6068545579910278,0.7062673568725586,0.40872690081596375,COMPLETE
345,0.2671513557434082,Leaky,Leaky,,91,463,8,24.0,,0.01304749640320122,2,0.7450967435867889,0.04041596054283872,3.220155954360962,0.2671513557434082,0.6786952018737793,COMPLETE
346,0.24814341962337494,Leaky,ReLU,,78,260,6,20.0,,0.04579693984358697,2,0.771124153297243,0.030167369236982166,0.9541170597076416,0.24814341962337494,0.6906850337982178,COMPLETE
347,1.163637638092041,Leaky,Tanh,,85,242,12,23.0,,0.009884222456384283,2,0.604031249983608,0.02203618726359896,3.1655545234680176,1.163637638092041,-0.3156338334083557,COMPLETE
348,1.551782250404358,Leaky,ReLU,,80,300,8,19.0,,0.018189261042784396,2,0.3772058459806693,0.01118242431032464,1.5341752767562866,1.551782250404358,-0.021626094356179237,COMPLETE
349,0.3171209692955017,ReLU,Tanh,,70,286,7,21.0,,0.007630618362471922,2,0.7983883429605811,0.0752300839216757,1.4851021766662598,0.3171209692955017,0.5085034370422363,COMPLETE
350,1.2609913349151611,Leaky,Leaky,,89,268,9,21.0,,0.0016419830051385522,2,0.3127121445854553,0.026544431999019635,4.90736722946167,1.2609913349151611,0.20258517563343048,COMPLETE
351,3.671924591064453,Leaky,ReLU,,93,318,11,22.0,,0.033026579090756555,2,0.24484557294529877,0.04951038269278088,2.229442834854126,3.671924591064453,-0.6830188632011414,COMPLETE
352,0.24585582315921783,Leaky,Tanh,,87,254,7,20.0,,0.022504725065635597,2,0.7383564150169684,0.032862215645154125,2.068391799926758,0.24585582315921783,0.6832037568092346,COMPLETE
353,0.62957763671875,Leaky,ReLU,,73,335,4,23.0,,0.015193889919222365,2,0.6973356586191154,0.0020564549849959794,1.4327179193496704,0.62957763671875,0.43400540947914124,COMPLETE
354,1.4986077547073364,Leaky,Leaky,,82,279,8,21.0,,0.02525723770943277,2,0.3384227588024027,6.566311913536508e-05,1.5521959066390991,1.4986077547073364,-0.06250055879354477,COMPLETE
