number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_batch_size,params_l_1,params_l_2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mse,state
57,0.7107517719268799,2023-10-30 13:45:52.298140,2023-10-30 13:45:53.936139,0 days 00:00:01.637999,ReLU,Sigmoid,88,1,15.0,0.0026050571574161396,2,252,0.6290652494612768,0.00026843366866799624,"tensor(0.7108, device='cuda:0')",COMPLETE
58,0.3641941547393799,2023-10-30 13:45:53.936529,2023-10-30 13:45:55.568211,0 days 00:00:01.631682,Sigmoid,,92,9,,0.021368339967228388,1,352,0.5064368911400544,9.14106554273642e-05,"tensor(0.3642, device='cuda:0')",COMPLETE
59,0.29976892471313477,2023-10-30 13:45:55.568660,2023-10-30 13:45:56.153649,0 days 00:00:00.584989,ReLU,Leaky,66,21,6.0,0.013714458377955397,2,67,0.6752991202974875,5.924760429781788e-05,"tensor(0.2998, device='cuda:0')",COMPLETE
60,0.35844117403030396,2023-10-30 13:45:56.154033,2023-10-30 13:45:56.784619,0 days 00:00:00.630586,ReLU,Tanh,72,20,10.0,0.0073436675725877,2,456,0.5823337188515956,3.1040963258802584e-05,"tensor(0.3584, device='cuda:0')",COMPLETE
61,0.43548163771629333,2023-10-30 13:45:56.785028,2023-10-30 13:45:57.202211,0 days 00:00:00.417183,ReLU,Tanh,13,17,8.0,0.031238791803520086,2,475,0.46770095875731027,0.0002322115908362861,"tensor(0.4355, device='cuda:0')",COMPLETE
62,0.32028841972351074,2023-10-30 13:45:57.202619,2023-10-30 13:45:58.390428,0 days 00:00:01.187809,ReLU,Tanh,57,15,7.0,0.01758560416519762,2,483,0.7320321658421443,0.0003414288253710492,"tensor(0.3203, device='cuda:0')",COMPLETE
63,0.32930395007133484,2023-10-30 13:45:58.390830,2023-10-30 13:45:59.711657,0 days 00:00:01.320827,ReLU,Tanh,32,17,10.0,0.00972178869477174,2,500,0.44129213260701133,0.00017977827273927,"tensor(0.3293, device='cuda:0')",COMPLETE
64,0.30183255672454834,2023-10-30 13:45:59.712073,2023-10-30 13:46:00.299647,0 days 00:00:00.587574,ReLU,Tanh,85,18,4.0,0.004970520958251358,2,460,0.4206188976518605,8.850380464086432e-05,"tensor(0.3018, device='cuda:0')",COMPLETE
65,0.3844686448574066,2023-10-30 13:46:00.300031,2023-10-30 13:46:03.370233,0 days 00:00:03.070202,ReLU,Tanh,27,22,20.0,0.0015560895304870045,2,435,0.39818438752378466,0.00012777430830801027,"tensor(0.3845, device='cuda:0')",COMPLETE
66,0.3656332492828369,2023-10-30 13:46:03.370608,2023-10-30 13:46:03.916522,0 days 00:00:00.545914,ReLU,Tanh,79,14,9.0,0.014283331257443183,2,97,0.5319977960763623,0.0005396245186585022,"tensor(0.3656, device='cuda:0')",COMPLETE
