number,value,params_activation_1,params_activation_2,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
127,0.22127097845077515,Leaky,Tanh,83,404,14,22.0,0.056001546810746726,2,0.7086352113405959,0.0004858458449292451,74.62120819091797,0.22127097845077515,0.7567126750946045,COMPLETE
128,0.21958179771900177,ReLU,Tanh,61,423,15,23.0,0.04610416255124583,2,0.7371652411469711,0.0008878102401060174,1.0041273832321167,0.21958179771900177,0.774389386177063,COMPLETE
129,0.23943115770816803,ReLU,Tanh,59,418,13,23.0,0.07397208231430238,2,0.6533989951512466,0.0011021292808069542,3.503077983856201,0.23943115770816803,0.6957306265830994,COMPLETE
130,0.20574520528316498,ReLU,Tanh,62,425,15,23.0,0.04463556719471678,2,0.6918033047594057,0.0008205580121016179,0.7031131982803345,0.20574520528316498,0.7576366662979126,COMPLETE
131,0.20890912413597107,ReLU,Tanh,64,395,15,23.0,0.04888761902405846,2,0.6871524418509706,0.0007918963326736582,0.625842809677124,0.20890912413597107,0.7675802707672119,COMPLETE
132,0.23537519574165344,ReLU,Tanh,63,395,15,23.0,0.04488258230560452,2,0.6189038475623089,0.0008397582604650468,0.5296059250831604,0.23537519574165344,0.7592324018478394,COMPLETE
133,0.21705074608325958,ReLU,Tanh,55,412,17,23.0,0.04868632429601816,2,0.7512949069118091,0.0006937211220595325,0.6658583283424377,0.21705074608325958,0.7758600115776062,COMPLETE
134,0.19431379437446594,ReLU,Tanh,59,411,18,22.0,0.026609334493271172,2,0.6908920509263203,0.000628213754924756,0.5925851464271545,0.19431379437446594,0.7675265073776245,COMPLETE
135,0.20472556352615356,ReLU,Tanh,56,413,19,22.0,0.04037860834227471,2,0.6883854264471881,0.0006786195509712546,0.6966225504875183,0.20472556352615356,0.7638469934463501,COMPLETE
136,0.22284018993377686,ReLU,Tanh,55,414,19,22.0,0.07899722828644877,2,0.6731717013796839,0.00036792841561054674,0.6442128419876099,0.22284018993377686,0.7394900321960449,COMPLETE
137,0.21820111572742462,ReLU,Tanh,47,429,19,22.0,0.06098501451196998,2,0.7710475842378799,0.0004440468440981476,0.4483369290828705,0.21820111572742462,0.7724466323852539,COMPLETE
138,0.2140863835811615,ReLU,Tanh,55,403,17,24.0,0.038941088454888736,2,0.6388898957439946,0.0005858192810156308,0.5242189764976501,0.2140863835811615,0.7775977253913879,COMPLETE
139,0.2352713644504547,ReLU,Tanh,58,401,18,24.0,0.03875424775477612,2,0.6368542643077005,0.0005577479420642671,0.43096214532852173,0.2352713644504547,0.749306321144104,COMPLETE
140,0.24444580078125,ReLU,Tanh,61,439,20,24.0,0.02871271740576256,2,0.592646981161962,0.0004892597882809864,0.49023935198783875,0.24444580078125,0.7304506301879883,COMPLETE
141,0.20604783296585083,ReLU,Tanh,54,407,17,24.0,0.04574119022036453,2,0.6917065974654333,0.00041145878172178297,0.6390095949172974,0.20604783296585083,0.7147678136825562,COMPLETE
142,0.22781918942928314,ReLU,Tanh,51,404,17,24.0,0.06015826244264649,2,0.6553172361930238,0.0003243735468673568,0.79354327917099,0.22781918942928314,0.7084243297576904,COMPLETE
143,0.20997092127799988,ReLU,Tanh,53,426,18,22.0,0.04210751892066595,2,0.6930229847585048,0.00060799946528346,0.48682013154029846,0.20997092127799988,0.784672737121582,COMPLETE
144,0.20284032821655273,ReLU,Tanh,53,468,18,22.0,0.05134748977713205,2,0.6848286761483664,0.00042782038049918054,0.6122360229492188,0.20284032821655273,0.7598613500595093,COMPLETE
145,0.20898672938346863,ReLU,Tanh,53,381,18,22.0,0.08083139046561329,2,0.6911286303137493,0.0002722663418469149,0.5596112608909607,0.20898672938346863,0.7612766027450562,COMPLETE
146,0.26409250497817993,ReLU,Tanh,49,470,20,21.0,0.08757243492501894,2,0.5663048620308574,0.0002849748800303611,1.6460171937942505,0.26409250497817993,0.733272910118103,COMPLETE
147,0.25204038619995117,ReLU,,53,364,18,,0.06966800860252431,1,0.6849858141037102,0.0004073779840200618,0.5169479846954346,0.25204038619995117,0.740015983581543,COMPLETE
148,0.2458265721797943,ReLU,Tanh,53,380,18,20.0,0.05180626014331764,2,0.6233416659785612,0.00033572661151232835,0.47200703620910645,0.2458265721797943,0.7439345717430115,COMPLETE
149,0.23455750942230225,ReLU,Tanh,47,394,18,22.0,0.04266457111977068,2,0.6493139892896627,0.00024527259140845286,1.1504626274108887,0.23455750942230225,0.7288517951965332,COMPLETE
150,0.2130330502986908,ReLU,Tanh,57,494,19,21.0,0.060580597258654875,2,0.693091642011528,0.0005892804541162492,0.5402199029922485,0.2130330502986908,0.7679728269577026,COMPLETE
151,0.22738127410411835,ReLU,Tanh,56,500,19,21.0,0.07720075057775608,2,0.6912759048129717,0.0005921419833380616,0.4582052230834961,0.22738127410411835,0.7745216488838196,COMPLETE
152,0.23933129012584686,ReLU,Tanh,59,487,19,22.0,0.05821180722581321,2,0.6085885612849439,0.0004513263342872617,0.4988340437412262,0.23933129012584686,0.7285177111625671,COMPLETE
153,0.24030527472496033,ReLU,Tanh,54,467,17,22.0,0.0925812606379481,2,0.6658168094670219,0.0005950755015059809,0.8994518518447876,0.24030527472496033,0.7594104409217834,COMPLETE
154,0.20154334604740143,ReLU,Tanh,51,487,19,22.0,0.05196164086878438,2,0.6922583023722692,0.0003816306710685803,0.5057473182678223,0.20154334604740143,0.7674649953842163,COMPLETE
155,0.18518373370170593,ReLU,Tanh,57,491,20,20.0,0.05127905193871909,2,0.696886690790866,0.0003808096902757201,0.6388780474662781,0.18518373370170593,0.7833693623542786,COMPLETE
156,0.24183674156665802,ReLU,Leaky,43,486,21,21.0,0.06712113017160756,2,0.697506389975792,0.0003713983357288426,0.5609895586967468,0.24183674156665802,0.7216438055038452,COMPLETE
157,0.2014637440443039,ReLU,Tanh,50,480,19,20.0,0.05440696193214633,2,0.6773869956752895,0.0003066089223078769,0.868685781955719,0.2014637440443039,0.7622833251953125,COMPLETE
158,0.28276094794273376,ReLU,Tanh,50,481,20,21.0,0.052769035459344374,2,0.4047895492481292,0.000287489856767706,0.46734076738357544,0.28276094794273376,0.6822930574417114,COMPLETE
159,0.25902125239372253,ReLU,Tanh,52,492,19,19.0,0.07790278386929415,2,0.5880863803913767,0.00021964938099041655,0.506145179271698,0.25902125239372253,0.7056272029876709,COMPLETE
160,0.21620039641857147,ReLU,Tanh,64,477,21,20.0,0.05914613618450897,2,0.6768795899499971,0.0004407237737949113,0.48191210627555847,0.21620039641857147,0.7792301774024963,COMPLETE
161,0.20822134613990784,ReLU,Tanh,57,467,20,20.0,0.04608247704033654,2,0.701553678175262,0.0003386919144947635,0.8796537518501282,0.20822134613990784,0.7581956386566162,COMPLETE
162,0.20561206340789795,ReLU,Tanh,61,458,20,21.0,0.045376322781030126,2,0.6969417218356881,0.0003171108579590293,0.6667706966400146,0.20561206340789795,0.7888352870941162,COMPLETE
163,0.22576285898685455,ReLU,Tanh,60,467,20,20.0,0.046392262212068366,2,0.6575008844236487,0.0001811316855392664,0.6041533946990967,0.22576285898685455,0.7804058194160461,COMPLETE
164,0.23492179811000824,ReLU,Sigmoid,45,461,22,18.0,0.03192689391278627,2,0.6193563096944313,0.0003104659944326673,0.5495606660842896,0.23492179811000824,0.7366974949836731,COMPLETE
165,0.26942506432533264,ReLU,Tanh,57,442,20,20.0,0.04253018207908956,2,0.42845395035685757,0.0003376195250570072,0.4915830194950104,0.26942506432533264,0.7037259936332703,COMPLETE
166,0.21201612055301666,ReLU,Tanh,51,430,20,19.0,0.05348711051824001,2,0.7142141755883256,0.0002645177626631543,0.477576345205307,0.21201612055301666,0.7581759095191956,COMPLETE
167,0.21083712577819824,ReLU,Tanh,50,448,19,19.0,0.051705013422040584,2,0.705331932375688,0.00023463389105791727,1.459089756011963,0.21083712577819824,0.7623289823532104,COMPLETE
168,0.3060295581817627,ReLU,Tanh,62,455,19,20.0,0.09967811371023932,2,0.31053205009284,0.00022029272382907496,0.5353584885597229,0.3060295581817627,0.6076005697250366,COMPLETE
169,0.23629754781723022,ReLU,Tanh,49,448,18,19.0,0.0680378045629551,2,0.6962745384780291,0.000396506324586793,0.5354849696159363,0.23629754781723022,0.7262306213378906,COMPLETE
170,0.2214382141828537,ReLU,Tanh,53,482,19,21.0,0.04738261830096487,2,0.7395261482057486,0.00026103506971124937,1.3011131286621094,0.2214382141828537,0.7619773149490356,COMPLETE
171,0.2212139070034027,ReLU,Tanh,51,429,20,19.0,0.051559382429590635,2,0.7107711138279178,0.0002721525301499645,0.7888873815536499,0.2212139070034027,0.7450448274612427,COMPLETE
172,0.2042388916015625,ReLU,Tanh,58,465,22,20.0,0.04151859304828782,2,0.6759521950534187,0.0001807101889416183,0.4872048497200012,0.2042388916015625,0.7721251249313354,COMPLETE
173,0.3354240655899048,ReLU,Tanh,58,464,21,20.0,0.03737675709145198,2,0.2566121857743807,0.00047676958941637995,0.5993121862411499,0.3354240655899048,0.6157084703445435,COMPLETE
174,0.22244180738925934,ReLU,Tanh,56,460,22,18.0,0.04058255019513719,2,0.6700637316424,0.00034870218570833976,0.6606649160385132,0.22244180738925934,0.7804251313209534,COMPLETE
175,0.23213264346122742,ReLU,Tanh,60,471,23,21.0,0.028143587690761696,2,0.6345424086827881,0.0004013515077468862,0.5329865217208862,0.23213264346122742,0.7493981122970581,COMPLETE
176,0.20347698032855988,ReLU,Tanh,67,450,18,22.0,0.07268680003773204,2,0.6803766441648342,0.00019508424238626583,0.42588508129119873,0.20347698032855988,0.7667102813720703,COMPLETE
177,0.21702095866203308,ReLU,Tanh,63,476,18,22.0,0.08340445983804504,2,0.6822637966668058,0.0001670097448412065,0.844624400138855,0.21702095866203308,0.701242983341217,COMPLETE
178,0.307289183139801,ReLU,Tanh,67,452,18,20.0,0.06981530184798772,2,0.3761542891073236,0.00018845038589657321,0.5484092235565186,0.307289183139801,0.6767452955245972,COMPLETE
179,0.24566678702831268,ReLU,Tanh,65,440,21,22.0,0.06445868352521776,2,0.6147041182495698,0.00020285032861764294,0.4590495228767395,0.24566678702831268,0.716278076171875,COMPLETE
180,0.22139176726341248,ReLU,Tanh,54,485,18,21.0,0.05130002979138292,2,0.6558686757831863,0.00014847597821956228,0.5267814993858337,0.22139176726341248,0.7704976201057434,COMPLETE
181,0.29469212889671326,ReLU,Tanh,59,446,19,22.0,0.03354953752346778,2,0.3353604781200711,0.0002257370973163125,0.5013232827186584,0.29469212889671326,0.6374646425247192,COMPLETE
182,0.20914123952388763,ReLU,Tanh,48,425,22,22.0,0.04340156690216855,2,0.7145832184249518,0.00012909159645239874,0.6639165878295898,0.20914123952388763,0.7684552073478699,COMPLETE
183,0.2309694141149521,ReLU,Tanh,48,431,23,22.0,0.04268210414174454,2,0.7358153311599519,0.00013380868460718503,1.1440802812576294,0.2309694141149521,0.7206816673278809,COMPLETE
184,0.2179117053747177,ReLU,Tanh,46,458,19,21.0,0.05932440261947715,2,0.6873177939045169,0.00029570902597595463,0.5736416578292847,0.2179117053747177,0.7485449314117432,COMPLETE
185,0.249963641166687,ReLU,Leaky,56,425,20,22.0,0.07860121231304004,2,0.7512327318309082,0.0005136847892651422,1.1516590118408203,0.249963641166687,0.7362432479858398,COMPLETE
186,0.20826826989650726,ReLU,Tanh,42,474,22,20.0,0.046515209570734566,2,0.7126993064811467,0.00011494733805194735,2.063161849975586,0.20826826989650726,0.7399383783340454,COMPLETE
