number,value,params_activation_1,params_activation_2,params_activation_3,params_batch_size,params_epochs,params_layer_1,params_layer_2,params_layer_3,params_learning_rate,params_num_layers,params_train_size,params_weight_decay,user_attrs_mape,user_attrs_mse,user_attrs_r2,state
676,0.273830771446228,Leaky,Tanh,,91,287,13,18.0,,0.05579045034723147,2,0.310762133285895,0.0006280805019209278,1.0883854627609253,0.273830771446228,0.7545629739761353,COMPLETE
677,0.18209077417850494,Sigmoid,Tanh,,96,278,14,17.0,,0.07139833733198021,2,0.6482253694319603,0.00037105469750197545,0.6241059303283691,0.18209077417850494,0.8327239155769348,COMPLETE
678,0.1624213010072708,Sigmoid,Tanh,,92,288,12,19.0,,0.06739906882662472,2,0.6923003566964862,0.0002973866519347959,0.6953529715538025,0.1624213010072708,0.8501074314117432,COMPLETE
679,0.20967750251293182,Sigmoid,Tanh,,92,287,13,20.0,,0.06890548291328341,2,0.618571561194891,0.00027862165387404877,1.092254638671875,0.20967750251293182,0.8126378059387207,COMPLETE
680,0.32489725947380066,Sigmoid,Tanh,,90,274,14,19.0,,0.07995296635429669,2,0.3647292534122279,0.00045887925126471637,1.1544854640960693,0.32489725947380066,0.73459792137146,COMPLETE
681,0.27037355303764343,Sigmoid,Tanh,,93,291,12,18.0,,0.058458577388525335,2,0.35391137474853973,0.0003098687641552153,1.0173752307891846,0.27037355303764343,0.7733739614486694,COMPLETE
682,0.1780277043581009,Sigmoid,Tanh,,94,267,13,18.0,,0.08564469813199728,2,0.6525477362614586,0.00036254807784542523,0.715835690498352,0.1780277043581009,0.8365857601165771,COMPLETE
683,0.17117278277873993,Sigmoid,Tanh,,92,282,12,19.0,,0.06746698015279134,2,0.6957263904649129,0.00026617217753188157,0.6595332622528076,0.17117278277873993,0.8434460759162903,COMPLETE
684,0.15949273109436035,Sigmoid,Tanh,,90,293,13,20.0,,0.05352586704735467,2,0.6935833522382487,0.0004763878819673867,0.5401660799980164,0.15949273109436035,0.8531343340873718,COMPLETE
685,0.20784641802310944,Sigmoid,Tanh,,90,295,13,20.0,,0.09803145574903686,2,0.628289453475165,0.000597174309853599,1.166085124015808,0.20784641802310944,0.8088050484657288,COMPLETE
686,0.22141963243484497,Sigmoid,Tanh,,95,284,14,17.0,,0.07140701356692344,2,0.4972293272658214,0.000491302329448987,0.9557662010192871,0.22141963243484497,0.8053812384605408,COMPLETE
687,0.31923940777778625,Sigmoid,Tanh,,90,289,13,21.0,,0.0805879191602173,2,0.26340433220597514,0.000669850541165732,1.3206158876419067,0.31923940777778625,0.7043752670288086,COMPLETE
688,0.19533030688762665,Sigmoid,Tanh,,94,297,14,19.0,,0.052946399197083716,2,0.5514470810799942,0.00046741212515287337,1.3063589334487915,0.19533030688762665,0.8313820362091064,COMPLETE
689,0.20083296298980713,Sigmoid,Tanh,,96,277,12,20.0,,0.066198111406462,2,0.5899139139887372,0.0006150395745685782,1.1132293939590454,0.20083296298980713,0.8233146071434021,COMPLETE
690,0.18778644502162933,Sigmoid,Tanh,,90,273,13,18.0,,0.08488578244319575,2,0.6581357656571495,0.00041661849497749747,0.5700063109397888,0.18778644502162933,0.8290736675262451,COMPLETE
691,0.2414688766002655,Sigmoid,Tanh,,93,298,12,17.0,,0.06163296552255532,2,0.39674555251559174,0.0005135825280966287,72.72956848144531,0.2414688766002655,0.7951469421386719,COMPLETE
692,0.2331591099500656,Sigmoid,Tanh,,92,283,13,19.0,,0.07777438479496226,2,0.417420875565834,0.0002316725580044866,1.4112123250961304,0.2331591099500656,0.7950253486633301,COMPLETE
693,0.15196967124938965,Sigmoid,Tanh,,95,290,13,20.0,,0.053205092931348924,2,0.6944008579436094,0.00033871402137969207,0.588362991809845,0.15196967124938965,0.8601858615875244,COMPLETE
694,0.16102507710456848,Sigmoid,Tanh,,96,293,14,20.0,,0.05237662139640947,2,0.6600898704645093,0.0003423001103693226,0.673919677734375,0.16102507710456848,0.8539586663246155,COMPLETE
695,0.2208123505115509,Sigmoid,Tanh,,96,291,14,21.0,,0.05197718611890104,2,0.5809307934408046,0.0003124843338041628,1.0701451301574707,0.2208123505115509,0.8052805066108704,COMPLETE
696,0.2248886525630951,Sigmoid,Tanh,,96,269,13,20.0,,0.05304364463425469,2,0.46686460150098097,0.00023435516087300735,0.8272458910942078,0.2248886525630951,0.8045430779457092,COMPLETE
697,0.21535159647464752,Sigmoid,Tanh,,94,306,14,20.0,,0.06003589181118546,2,0.624355403884191,0.0003594166028457975,0.7210047841072083,0.21535159647464752,0.8065580725669861,COMPLETE
698,0.16517764329910278,Sigmoid,Tanh,,96,289,14,19.0,,0.06567855127819498,2,0.6546558485963629,0.00037653682430920083,0.5827437043190002,0.16517764329910278,0.8487049341201782,COMPLETE
699,0.16127759218215942,Sigmoid,Tanh,,96,288,14,19.0,,0.09818908023074627,2,0.6606237652515492,0.000288529534179667,0.9233779907226562,0.16127759218215942,0.8522843718528748,COMPLETE
700,0.18708375096321106,Sigmoid,Tanh,,93,288,14,21.0,,0.09804450965451393,2,0.6553940461994439,0.00026194736265788084,0.9663182497024536,0.18708375096321106,0.8288354277610779,COMPLETE
701,0.21139900386333466,Sigmoid,Tanh,,96,264,14,19.0,,0.06800073516506505,2,0.6149749972542896,0.0002763343558592282,0.8454952836036682,0.21139900386333466,0.8137666583061218,COMPLETE
702,0.19246181845664978,Sigmoid,Tanh,,94,281,14,20.0,,0.09830939085725837,2,0.6358861678794033,0.0003346415619233838,0.646070659160614,0.19246181845664978,0.8267267346382141,COMPLETE
703,0.1620292365550995,Sigmoid,Tanh,,92,291,14,19.0,,0.05142500897598127,2,0.6583097456987026,0.00038667672703755366,0.6138702034950256,0.1620292365550995,0.8526883125305176,COMPLETE
704,0.1683572381734848,Sigmoid,Tanh,,92,292,14,19.0,,0.05088067914643948,2,0.6626396194426563,0.00039624850587180026,0.6368608474731445,0.1683572381734848,0.8468290567398071,COMPLETE
705,0.2308863252401352,Sigmoid,Tanh,,90,275,15,19.0,,0.06477768231680074,2,0.611298967565299,0.00030030374548083513,0.9406993389129639,0.2308863252401352,0.7990580797195435,COMPLETE
706,0.1813713014125824,Sigmoid,Tanh,,92,285,14,20.0,,0.07544893308097363,2,0.6592860412668389,0.00022318339547475397,0.7532482743263245,0.1813713014125824,0.8354084491729736,COMPLETE
707,0.1728348731994629,Sigmoid,Tanh,,93,297,14,19.0,,0.09952203094017628,2,0.6832503629350759,0.0003735427124382089,0.7902493476867676,0.1728348731994629,0.8445519208908081,COMPLETE
708,0.19701924920082092,Sigmoid,Tanh,,90,269,14,18.0,,0.058209997996777965,2,0.5898296444422739,0.00018744098375230147,0.7552934885025024,0.19701924920082092,0.828011155128479,COMPLETE
709,0.1820400208234787,Sigmoid,Tanh,,94,289,13,19.0,,0.07560956190924642,2,0.6299073626217324,0.0003316488257178391,0.6792795062065125,0.1820400208234787,0.8329450488090515,COMPLETE
710,0.20050065219402313,Sigmoid,Tanh,,96,281,13,20.0,,0.05338464125398945,2,0.6586944211923559,0.000413784675675719,1.2171841859817505,0.20050065219402313,0.817711353302002,COMPLETE
711,0.18530596792697906,Sigmoid,Tanh,,90,300,13,18.0,,0.0855248412846111,2,0.6895649026214684,0.0005033795827974483,0.8020166158676147,0.18530596792697906,0.8296347856521606,COMPLETE
