number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_a_3,params_batch_size,params_l_1,params_l_2,params_l_3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,user_attrs_mse,user_attrs_r2,state
31,0.2426680028438568,2023-10-31 17:46:59.268919,2023-10-31 17:46:59.562057,0 days 00:00:00.293138,Tanh,Leaky,Leaky,36,1,24.0,24.0,0.01654919166792455,3,211,0.6528686669629363,4.093284282609513e-05,96.4770736694336,tensor(0.2427),tensor(0.7766),COMPLETE
32,0.14124932885169983,2023-10-31 17:46:59.562466,2023-10-31 17:47:00.357735,0 days 00:00:00.795269,Tanh,Leaky,Tanh,41,17,21.0,17.0,0.012083156099514717,3,221,0.6633368472687791,9.984625434453433e-05,74.49778211569485,tensor(0.1412),tensor(0.8622),COMPLETE
33,0.14377766847610474,2023-10-31 17:47:00.358101,2023-10-31 17:47:00.898865,0 days 00:00:00.540764,Tanh,Leaky,Tanh,37,22,21.0,17.0,0.011585302980674572,3,236,0.6948675669326269,0.0003448084487725576,74.46670378015396,tensor(0.1438),tensor(0.8617),COMPLETE
34,0.1616186648607254,2023-10-31 17:47:00.899225,2023-10-31 17:47:01.785834,0 days 00:00:00.886609,Tanh,Leaky,Tanh,37,24,21.0,16.0,0.009062861641277953,3,247,0.7725930728432239,0.0003067494791981188,100.16053960021112,tensor(0.1616),tensor(0.8562),COMPLETE
35,0.15487714111804962,2023-10-31 17:47:01.786213,2023-10-31 17:47:03.262708,0 days 00:00:01.476495,Tanh,Leaky,Tanh,31,17,21.0,18.0,0.005504015637933912,3,238,0.6490805161623612,0.00011098871526657679,63.50885896760274,tensor(0.1549),tensor(0.8547),COMPLETE
36,0.18181876838207245,2023-10-31 17:47:03.263079,2023-10-31 17:47:03.787070,0 days 00:00:00.523991,Tanh,Leaky,Tanh,32,17,20.0,16.0,0.005461386657030093,3,238,0.5094351504908776,0.00012565682664018608,126.4960418983742,tensor(0.1818),tensor(0.8365),COMPLETE
37,0.268915593624115,2023-10-31 17:47:03.787434,2023-10-31 17:47:04.160212,0 days 00:00:00.372778,Tanh,Leaky,Tanh,18,14,15.0,18.0,0.003293137674083598,3,232,0.3352884632959368,0.00035952629241399106,1757.0288016183035,tensor(0.2689),tensor(0.7676),COMPLETE
38,0.19816653430461884,2023-10-31 17:47:04.160601,2023-10-31 17:47:04.917578,0 days 00:00:00.756977,Tanh,Leaky,Tanh,51,19,21.0,12.0,0.002025227482980446,3,314,0.6067380304276698,0.0005795225194709637,200.50797596383603,tensor(0.1982),tensor(0.8249),COMPLETE
39,0.16904331743717194,2023-10-31 17:47:04.917931,2023-10-31 17:47:05.398219,0 days 00:00:00.480288,Tanh,Leaky,Tanh,29,17,16.0,19.0,0.011579983352557296,3,259,0.6480094379081293,0.0002311762532990331,70.79831420050726,tensor(0.1690),tensor(0.8377),COMPLETE
40,0.22631338238716125,2023-10-31 17:47:05.398609,2023-10-31 17:47:06.815580,0 days 00:00:01.416971,Tanh,Tanh,,37,23,13.0,,0.0006942276528375604,2,194,0.5181245040221534,4.850986187553169e-05,137.8792275104326,tensor(0.2263),tensor(0.8019),COMPLETE
