number,value,datetime_start,datetime_complete,duration,params_a_1,params_a_2,params_batch_size,params_l_1,params_l_2,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mse,state
76,0.2851622998714447,2023-10-30 14:28:50.273469,2023-10-30 14:28:52.035850,0 days 00:00:01.762381,Tanh,Tanh,80,17,14.0,0.01,2,200,0.8,0.001,"tensor(0.2852, device='cuda:0')",COMPLETE
77,0.3224506080150604,2023-10-30 14:28:52.036280,2023-10-30 14:28:53.766100,0 days 00:00:01.729820,Tanh,Tanh,80,20,14.0,0.1,2,200,0.8,0.001,"tensor(0.3225, device='cuda:0')",COMPLETE
78,0.5781130194664001,2023-10-30 14:28:53.766495,2023-10-30 14:28:57.685706,0 days 00:00:03.919211,Tanh,Tanh,80,19,12.0,0.01,2,450,0.8,0.01,"tensor(0.5781, device='cuda:0')",COMPLETE
79,0.981558084487915,2023-10-30 14:28:57.686114,2023-10-30 14:28:58.207882,0 days 00:00:00.521768,Tanh,Leaky,80,17,16.0,1e-05,2,200,0.2,0.001,"tensor(0.9816, device='cuda:0')",COMPLETE
80,0.2922513782978058,2023-10-30 14:28:58.208294,2023-10-30 14:29:00.869816,0 days 00:00:02.661522,Tanh,Tanh,100,18,13.0,0.01,2,350,0.8,0.001,"tensor(0.2923, device='cuda:0')",COMPLETE
81,0.26353538036346436,2023-10-30 14:29:00.870235,2023-10-30 14:29:02.772101,0 days 00:00:01.901866,Tanh,Tanh,70,17,16.0,0.01,2,200,0.8,0.001,"tensor(0.2635, device='cuda:0')",COMPLETE
82,0.2891426682472229,2023-10-30 14:29:02.772527,2023-10-30 14:29:04.438441,0 days 00:00:01.665914,Tanh,Tanh,90,16,17.0,0.01,2,200,0.8,0.001,"tensor(0.2891, device='cuda:0')",COMPLETE
83,0.3359563946723938,2023-10-30 14:29:04.438866,2023-10-30 14:29:05.946923,0 days 00:00:01.508057,Tanh,Tanh,100,17,11.0,0.01,2,200,0.8,0.001,"tensor(0.3360, device='cuda:0')",COMPLETE
84,0.33499571681022644,2023-10-30 14:29:05.947321,2023-10-30 14:29:06.397662,0 days 00:00:00.450341,Tanh,Tanh,80,20,14.0,0.01,2,50,0.8,0.001,"tensor(0.3350, device='cuda:0')",COMPLETE
85,0.39020222425460815,2023-10-30 14:29:06.398077,2023-10-30 14:29:11.558423,0 days 00:00:05.160346,Tanh,ReLU,20,19,18.0,0.01,2,200,0.8,0.001,"tensor(0.3902, device='cuda:0')",COMPLETE
86,0.3297814428806305,2023-10-30 14:29:11.558842,2023-10-30 14:29:15.442219,0 days 00:00:03.883377,Tanh,Tanh,50,18,15.0,0.001,2,500,0.5,1e-05,"tensor(0.3298, device='cuda:0')",COMPLETE
87,0.4999501705169678,2023-10-30 14:29:15.442616,2023-10-30 14:29:15.962259,0 days 00:00:00.519643,Tanh,Tanh,100,17,16.0,0.0001,2,400,0.1,0.0001,"tensor(0.5000, device='cuda:0')",COMPLETE
88,0.412588506937027,2023-10-30 14:29:15.962650,2023-10-30 14:29:17.412641,0 days 00:00:01.449991,Sigmoid,Sigmoid,30,16,13.0,0.01,2,200,0.3,0.001,"tensor(0.4126, device='cuda:0')",COMPLETE
89,0.390635222196579,2023-10-30 14:29:17.413038,2023-10-30 14:29:18.399957,0 days 00:00:00.986919,Tanh,Tanh,70,15,14.0,0.01,2,200,0.4,0.001,"tensor(0.3906, device='cuda:0')",COMPLETE
90,0.6420858502388,2023-10-30 14:29:18.400393,2023-10-30 14:29:32.882015,0 days 00:00:14.481622,Tanh,Tanh,10,17,9.0,0.01,2,300,0.8,0.1,"tensor(0.6421, device='cuda:0')",COMPLETE
91,0.27358031272888184,2023-10-30 14:29:32.882454,2023-10-30 14:29:34.771610,0 days 00:00:01.889156,ReLU,Tanh,70,13,3.0,0.01,2,200,0.8,0.001,"tensor(0.2736, device='cuda:0')",COMPLETE
