Id, Name, Cites, Documents
57217488721,  Al-Hatim Raqad R., 2, 1
57213160243,  Al-Ali Rawdah M., 20, 2
57219704234,  Maslekar Namrata, 2, 1
57193345612,  Yao Yin, 2, 1
53981137700,  Agarwal Vipul, 2, 1
58123572300, Stefanowska Karolina, 1, 1
55957426700,  Woźniak Magdalena, 7, 2
25622456600,  Majka Jerzy, 7, 2
35759662700,  Sip Anna, 7, 2
6506340329,  Mrówczyńska Lucyna, 1, 1
24072454800,  Waśkiewicz Agnieszka, 1, 1
23108979000,  Kozak Wojciech, 7, 2
55886435400,  Dobrucka Renata, 7, 2
6507771358,  Ratajczak Izabela, 7, 2
58138422300, Pan Xiaxi, 0, 1
57695701400,  Chen Guixin, 0, 1
58030235000,  Xu Ting, 0, 1
58137297000,  Kong Lingyue, 0, 1
54386925600,  Li Xinying, 764, 10
57194614861,  Li Defu, 764, 10
7005915405,  Mu Changdao, 764, 10
57223361831,  Xu Zhilang, 27, 2
56031197600,  Ge Liming, 424, 7
57211398275, Said N.S., 19, 1
7103262006,  Howell Nazlin K., 19, 1
56426583500,  Sarbon N.M., 268, 6
55757781722, Singh Avtar, 15, 1
57213507131,  Mittal Ajay, 15, 1
35588706600,  Benjakul Soottawat, 456, 4
58044419000, Wang Yuyu, 3, 1
57131644300,  Chen Shuping, 3, 1
56549273200,  Yao Yao, 3, 1
55796030100,  Wu Na, 3, 1
56549256400,  Xu Mingsheng, 3, 1
53664862900,  Yin Zhongping, 3, 1
55342271700,  Zhao Yan, 3, 1
55342093100,  Tu Yonggang, 3, 1
57072279900, Hu Qiaobin, 3, 1
57210561883,  Zhou Fang, 3, 1
58222118300,  Ly Ngoc Kim, 3, 1
58223063400,  Ordyna Jerryck, 3, 1
58221921700,  Peterson Tiffany, 3, 1
26655396700,  Fan Zhaoyang, 3, 1
58075892500,  Wang Shu, 3, 1
55648773200,  Jawad Muhammad, 2, 2
58134446100,  Shah Yasir Abbas, 2, 1
58135041800,  Koca Esra, 2, 2
53879441600,  Aydemir Levent Yurdaer, 2, 2
57211752752, Ali Liela Mohamed, 0, 1
57211315670,  Ahmed Abd El-Rahman Abd El-Raouf, 0, 1
57218630725,  Hasan Helmy El-Sayed, 0, 1
57215671109,  Suliman Ahmed El-Raie Emam, 0, 1
57213594164,  Saleh Sherif Saied, 0, 1
58179556100, Ayoub Amal W., 0, 1
58179683700,  Sayed Sherief M., 0, 1
58180086300,  Ammar Mahmoud A., 0, 1
58180361100,  Hefnawy Yehia A., 0, 1
55619673300,  Youssef Ahmed M., 60, 2
58034171900, Canché-López Kenia C., 0, 1
8300416400,  Toledo-López Víctor M., 13, 2
57210640266,  Vargas y Vargas María de Lourdes, 0, 1
57225930715,  Chan-Matú Daniel I., 13, 2
56013535700,  Madera-Santana Tomás J., 13, 3
57793820400,  Shah Yasir Abbas, 0, 1
34868649900, Rodríguez-Núñez Jesús Rubén, 1, 2
57960353600,  Montoya-Anaya Diana Gabriela, 0, 1
23992212000,  Fortiz-Hernández Judith, 0, 1
6603140569,  Freile-Pelegrin Yolanda, 0, 1
57609793400, Kaur Jaspreet, 1, 1
7404421556,  Singh Jyoti, 1, 1
55702085300,  Rasane Prasad, 1, 1
57209615374,  Gupta Prerna, 1, 1
56511122600,  Kaur Sawinder, 1, 1
57201952212,  Sharma Nitya, 1, 1
58037940900,  Sowdhanya D., 1, 1
56010510500, Solanilla-Duque Jose Fernando, 119, 2
55579905600,  Roa-Acosta Diego Fernando, 0, 1
56919408800,  Daza Luis Daniel, 123, 3
57222571564,  Carranza-Saavedra Darwin, 0, 1
23981645200,  Váquiro Henry Alexander, 123, 3
36859472100,  Quintero-Cerón Juan Pablo, 0, 1
55102294500,  Spotti Maria Julia, 0, 1
57195450868,  Carrara Carlos, 0, 1
56598080100, Peñarubia Omar, 1, 1
12783536900,  Toppe Jogeir, 1, 1
57216830650,  Ahern Molly, 1, 1
57198614231,  Ward Ansen, 1, 1
58003217400,  Griffin Michael, 1, 1
55543939800, Zhu Jianfei, 0, 1
57896845600,  Chen Xiaomei, 0, 1
57897323100,  Huang Tingting, 0, 1
57896845700,  Tian Dongling, 0, 1
53866250300,  Gao Ruiping, 0, 1
56542878800, dos Santos Vanessa Solfa, 0, 1
36998799200,  Lorevice Marcos Vinicius, 147, 5
57400452700,  Baccarin Graziela Solferini, 0, 1
57215855180,  da Costa Fabíola Medeiros, 0, 1
57202423841,  da Silva Fernandes Renan, 0, 1
8525890000,  Aouada Fauze A., 395, 7
8873063200,  de Moura Márcia Regina, 588, 10
58458457700,  Singh Vipin Kumar, 0, 1
58175622200, Tran Thi Tuong Vi, 0, 1
57219938352, Cheng Yue, 69, 3
57211023687,  Zhai Xiaosong, 41, 2
57222542259,  Wu Yuhao, 13, 1
56537554900,  Li Cheng, 13, 1
57013704000,  Zhang Rui, 41, 2
56701304900,  Sun Chanchan, 41, 2
57206568700,  Wang Wentao, 69, 3
24074069200,  Hou Hanxue, 69, 3
57331054700, Reis Camily Aparecida, 1, 1
55650158200,  Júnior Mário Guimarães, 1, 1
54388071000,  Moreira Francys Kley Vieira, 1, 1
16230651600,  Marconcini José Manoel, 28, 2
