number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,user_attrs_mre,state
36,0.2867480218410492,2023-09-05 14:17:05.326274,2023-09-05 14:17:10.213152,0 days 00:00:04.886878,ReLU,ReLU,Tanh,,76,21,14.0,16.0,,0.0004427892891885483,3,263,0.5966735595450896,0.00041183844986616617,101.43991512400116,COMPLETE
37,0.3016414940357208,2023-09-05 14:17:10.213413,2023-09-05 14:17:13.373377,0 days 00:00:03.159964,Tanh,ReLU,Tanh,,86,23,11.0,17.0,,0.0012513742909407452,3,263,0.43472654642452196,0.0005024965736583594,116.55228151150835,COMPLETE
38,0.31528615951538086,2023-09-05 14:17:13.373639,2023-09-05 14:17:15.752258,0 days 00:00:02.378619,Leaky,ReLU,Tanh,,76,21,6.0,20.0,,0.0006467390504805362,3,127,0.5967185397042177,0.00034785541106118476,224.50048287459245,COMPLETE
39,0.321660578250885,2023-09-05 14:17:15.752530,2023-09-05 14:17:16.804298,0 days 00:00:01.051768,ReLU,ReLU,,,68,23,13.0,,,0.0036676225553880087,2,272,0.3621149341423724,0.0011029442050957785,106.89697905261107,COMPLETE
40,0.3259708881378174,2023-09-05 14:17:16.804554,2023-09-05 14:17:17.274331,0 days 00:00:00.469777,Tanh,ReLU,Tanh,,85,22,9.0,16.0,,0.010478427336721064,3,196,0.4904793931108788,0.00036383840804079154,184.32415328487272,COMPLETE
41,0.2832241356372833,2023-09-05 14:17:17.274589,2023-09-05 14:17:27.231415,0 days 00:00:09.956826,ReLU,Tanh,Tanh,,41,19,15.0,13.0,,0.00037311378375267024,3,371,0.6959197882626188,7.151255326946934e-05,130.44392949181633,COMPLETE
42,0.30111753940582275,2023-09-05 14:17:27.231683,2023-09-05 14:17:35.972766,0 days 00:00:08.741083,ReLU,Tanh,Tanh,,28,19,15.0,20.0,,0.00040757761062920557,3,372,0.6816505635780535,0.00016460054458015724,118.58881386039184,COMPLETE
43,0.2753894329071045,2023-09-05 14:17:35.973031,2023-09-05 14:17:40.204206,0 days 00:00:04.231175,ReLU,Tanh,Tanh,,39,21,17.0,12.0,,0.0007455910466119599,3,324,0.5805351963090647,7.361286626255183e-05,108.6362738079495,COMPLETE
44,0.2789478600025177,2023-09-05 14:17:40.204477,2023-09-05 14:17:43.561915,0 days 00:00:03.357438,ReLU,Tanh,ReLU,,42,18,17.0,11.0,,0.0008952958880384914,3,312,0.5316320356307848,7.478416458331386e-05,105.91434316924123,COMPLETE
45,0.2581727206707001,2023-09-05 14:17:43.562191,2023-09-05 14:17:49.588271,0 days 00:00:06.026080,ReLU,Tanh,ReLU,,39,18,21.0,11.0,,0.0007262798218623307,3,382,0.5370953113097588,7.866124368136241e-05,90.81088260451764,COMPLETE
46,0.3218364715576172,2023-09-05 14:17:49.588535,2023-09-05 14:17:53.560453,0 days 00:00:03.971918,ReLU,Tanh,ReLU,,38,17,23.0,11.0,,0.000953173659838396,3,406,0.5666259257152866,0.00010469345795350291,104.70597014707677,COMPLETE
47,0.30353444814682007,2023-09-05 14:17:53.560710,2023-09-05 14:17:58.378970,0 days 00:00:04.818260,ReLU,Tanh,ReLU,,25,12,21.0,9.0,,0.0005910903416828679,3,317,0.5311965142971178,0.00019818404918942037,6945.865379271469,COMPLETE
48,0.3554695248603821,2023-09-05 14:17:58.379233,2023-09-05 14:18:03.491150,0 days 00:00:05.111917,Tanh,,,,45,18,,,,0.0006177083663930472,1,343,0.4797105030055157,3.0485309565428677e-05,202.2827410016741,COMPLETE
49,0.2918301820755005,2023-09-05 14:18:03.491409,2023-09-05 14:18:05.911223,0 days 00:00:02.419814,Leaky,Tanh,,,39,15,22.0,,,0.001550839252643473,2,436,0.4284563092156133,0.00016299085813324094,105.66938042273888,COMPLETE
50,0.6661831736564636,2023-09-05 14:18:05.911476,2023-09-05 14:18:25.155666,0 days 00:00:19.244190,ReLU,Tanh,ReLU,,21,16,17.0,1.0,,0.00015368372268403176,3,389,0.6143856817969297,8.668134881328355e-05,273.6363874566618,COMPLETE
51,0.3028135299682617,2023-09-05 14:18:25.155937,2023-09-05 14:18:37.775844,0 days 00:00:12.619907,ReLU,Tanh,ReLU,,41,19,18.0,12.0,,0.00030934001153776734,3,373,0.7346077135014616,6.601280797236999e-05,123.47766669321868,COMPLETE
52,0.2897016406059265,2023-09-05 14:18:37.776134,2023-09-05 14:18:50.335484,0 days 00:00:12.559350,ReLU,Tanh,ReLU,,36,20,16.0,13.0,,0.00021483588353296557,3,362,0.6996884167927784,3.430550928150016e-05,401.8546337854294,COMPLETE
53,0.28929463028907776,2023-09-05 14:18:50.335752,2023-09-05 14:18:59.835791,0 days 00:00:09.500039,ReLU,Tanh,ReLU,,42,18,18.0,10.0,,0.0003146136625187429,3,414,0.6285709366098827,7.627242084561329e-05,103.2844423463073,COMPLETE
54,0.31211721897125244,2023-09-05 14:18:59.836062,2023-09-05 14:19:04.155605,0 days 00:00:04.319543,ReLU,Tanh,Leaky,,31,10,20.0,11.0,,0.0007391718239846046,3,319,0.5387410550266153,0.00010591799059047443,124.82379005894516,COMPLETE
55,0.5431751608848572,2023-09-05 14:19:04.155874,2023-09-05 14:19:12.634835,0 days 00:00:08.478961,ReLU,Tanh,Sigmoid,,47,3,14.0,14.0,,8.291380655158291e-05,3,342,0.5763265622039909,3.9101627641900655e-05,163.51852100216158,COMPLETE
56,0.3310542106628418,2023-09-05 14:19:12.635108,2023-09-05 14:19:23.925968,0 days 00:00:11.290860,Sigmoid,Tanh,ReLU,,48,23,16.0,7.0,,0.0004372524519472162,3,383,0.6454025809946515,7.083701160878179e-05,136.56653758315443,COMPLETE
57,0.3355415165424347,2023-09-05 14:19:23.926254,2023-09-05 14:19:32.293198,0 days 00:00:08.366944,ReLU,Tanh,ReLU,Sigmoid,14,17,19.0,3.0,14.0,0.0009106121403708519,4,308,0.7144447560786933,0.0002643913631654032,117.07230670635516,COMPLETE
58,0.28899720311164856,2023-09-05 14:19:32.293659,2023-09-05 14:19:39.233662,0 days 00:00:06.940003,Leaky,Tanh,Tanh,,44,21,24.0,10.0,,0.0005052588347645968,3,412,0.46831486371548237,0.00014134247876427207,314.88829872361,COMPLETE
59,0.2904823124408722,2023-09-05 14:19:39.233923,2023-09-05 14:19:54.997499,0 days 00:00:15.763576,ReLU,Sigmoid,Sigmoid,,29,19,11.0,12.0,,0.00030576138476531834,3,287,0.749512934206346,0.00023140935307346225,115.94182522870106,COMPLETE
60,0.2982099652290344,2023-09-05 14:19:54.997769,2023-09-05 14:19:57.974824,0 days 00:00:02.977055,ReLU,Tanh,,,54,16,14.0,,,0.001593669076186397,2,243,0.5248922889471254,0.00011236917972674322,97.29245562553406,COMPLETE
61,0.2893133759498596,2023-09-05 14:19:57.975087,2023-09-05 14:20:02.240600,0 days 00:00:04.265513,ReLU,Tanh,Tanh,,54,22,21.0,14.0,,0.0012669956695377114,3,299,0.5738064314282942,5.072310808089698e-05,118.08132733154297,COMPLETE
62,0.3173602223396301,2023-09-05 14:20:02.240881,2023-09-05 14:20:06.136213,0 days 00:00:03.895332,ReLU,Leaky,Tanh,,62,24,4.0,8.0,,0.0007783772191715186,3,324,0.5068536280005093,5.94704345602835e-05,159.53810775344436,COMPLETE
63,0.2990245819091797,2023-09-05 14:20:06.136688,2023-09-05 14:20:14.206569,0 days 00:00:08.069881,ReLU,Tanh,Tanh,,38,20,15.0,9.0,,0.001166056763364618,3,360,0.6339803718501928,4.2015238222771537e-05,113.71226513479638,COMPLETE
