number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_batch_size,params_fl1,params_fl2,params_fl3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
38,0.17761650681495667,2023-09-03 09:43:30.690128,2023-09-03 09:43:34.552813,0 days 00:00:03.862685,Tanh,ReLU,Tanh,16,6,20.0,15.0,0.0005582555263768303,3,100,0.6725337382773009,0.00015538578162111868,COMPLETE
39,0.22294437885284424,2023-09-03 09:43:34.553090,2023-09-03 09:43:37.383432,0 days 00:00:02.830342,Leaky,ReLU,Tanh,16,4,21.0,15.0,0.001132606406023438,3,100,0.487629327217324,2.380682385113597e-05,COMPLETE
40,0.23806722462177277,2023-09-03 09:43:37.383720,2023-09-03 09:43:41.288334,0 days 00:00:03.904614,Tanh,ReLU,Tanh,16,6,21.0,8.0,0.0005941422927425903,3,100,0.6863693895590982,0.00021143437776157415,COMPLETE
41,0.266312837600708,2023-09-03 09:43:41.288609,2023-09-03 09:43:44.664563,0 days 00:00:03.375954,Tanh,ReLU,,16,3,16.0,,0.00032641606086572083,2,100,0.7227957610390201,0.00035591903239839506,COMPLETE
42,0.2473888248205185,2023-09-03 09:43:44.664833,2023-09-03 09:43:49.449076,0 days 00:00:04.784243,Tanh,ReLU,Tanh,12,6,14.0,18.0,0.00016366247366533907,3,100,0.6517402225917646,0.0009109713721631516,COMPLETE
43,0.20111872255802155,2023-09-03 09:43:49.449348,2023-09-03 09:43:51.502875,0 days 00:00:02.053527,Tanh,ReLU,,16,13,20.0,,0.00046081557089669043,2,60,0.7287653135587308,9.283670902541972e-05,COMPLETE
44,0.21537116169929504,2023-09-03 09:43:51.503151,2023-09-03 09:43:53.128605,0 days 00:00:01.625454,Tanh,ReLU,,16,14,20.0,,0.0005336878271044697,2,60,0.5694238746166309,8.050289138041509e-05,COMPLETE
45,0.22504854202270508,2023-09-03 09:43:53.128889,2023-09-03 09:43:55.173897,0 days 00:00:02.045008,Tanh,ReLU,,16,11,23.0,,0.0009544224023019656,2,60,0.7218955323586871,0.00014304868948064662,COMPLETE
46,0.22041282057762146,2023-09-03 09:43:55.174168,2023-09-03 09:43:56.948197,0 days 00:00:01.774029,ReLU,ReLU,,16,13,24.0,,0.0004027087564130793,2,60,0.6346177065317037,4.450563060549727e-05,COMPLETE
47,0.3219678997993469,2023-09-03 09:43:56.948470,2023-09-03 09:43:57.896911,0 days 00:00:00.948441,Sigmoid,Leaky,,30,12,17.0,,0.00011439822229135165,2,60,0.561088043939657,1.5517356696781443e-05,COMPLETE
48,0.27903181314468384,2023-09-03 09:43:57.897176,2023-09-03 09:44:00.045943,0 days 00:00:02.148767,Leaky,ReLU,,10,9,22.0,,6.368064333014655e-05,2,40,0.7508268680736891,2.803340226328704e-05,COMPLETE
49,0.19105620682239532,2023-09-03 09:44:00.046213,2023-09-03 09:44:02.077940,0 days 00:00:02.031727,Tanh,Leaky,,16,14,18.0,,0.0015456304872475595,2,60,0.7287736575479282,1.016029581673412e-05,COMPLETE
50,0.4855492413043976,2023-09-03 09:44:02.078210,2023-09-03 09:44:04.151275,0 days 00:00:02.073065,Tanh,Leaky,,16,14,1.0,,0.0016019256184092718,2,60,0.7486875319146276,1.0726573510193976e-05,COMPLETE
51,0.21410155296325684,2023-09-03 09:44:04.151545,2023-09-03 09:44:05.968789,0 days 00:00:01.817244,Tanh,Leaky,,16,16,16.0,,0.0002659980131159791,2,60,0.6479135234987541,1.8037049799376537e-05,COMPLETE
52,0.22699230909347534,2023-09-03 09:44:05.969063,2023-09-03 09:44:08.194110,0 days 00:00:02.225047,Tanh,Leaky,,16,9,18.0,,0.0007722281668199007,2,60,0.7959081504281328,3.803533012103079e-05,COMPLETE
53,0.21710719168186188,2023-09-03 09:44:08.194392,2023-09-03 09:44:09.386960,0 days 00:00:01.192568,Tanh,Leaky,,30,7,20.0,,0.003125718285367766,2,60,0.7159716659385891,1.0077536969061928e-05,COMPLETE
54,0.2342037558555603,2023-09-03 09:44:09.387240,2023-09-03 09:44:14.613144,0 days 00:00:05.225904,Tanh,Sigmoid,,8,11,15.0,,0.00035595480571149873,2,100,0.6008910604749836,5.3641993558690436e-05,COMPLETE
55,0.22355303168296814,2023-09-03 09:44:14.613421,2023-09-03 09:44:16.142601,0 days 00:00:01.529180,Leaky,Leaky,,16,13,18.0,,0.0004742050982355634,2,60,0.5454309213388386,2.8771434645881803e-05,COMPLETE
56,0.2518184185028076,2023-09-03 09:44:16.142878,2023-09-03 09:44:16.885028,0 days 00:00:00.742150,ReLU,Tanh,,30,12,20.0,,0.00019222638388497048,2,40,0.6571612568895907,1.8248499576800273e-05,COMPLETE
57,0.20100568234920502,2023-09-03 09:44:16.885306,2023-09-03 09:44:20.355426,0 days 00:00:03.470120,Leaky,ReLU,,12,10,3.0,,0.0005989540590544574,2,80,0.7296780875218735,1.3358433924551166e-05,COMPLETE
58,0.18732477724552155,2023-09-03 09:44:20.355694,2023-09-03 09:44:24.623180,0 days 00:00:04.267486,Tanh,ReLU,,12,10,3.0,,0.00149438774142318,2,100,0.7185843721480439,1.5317057269630538e-05,COMPLETE
59,0.23024882376194,2023-09-03 09:44:24.623453,2023-09-03 09:44:29.080304,0 days 00:00:04.456851,Leaky,ReLU,,12,10,3.0,,0.0013504172380011652,2,100,0.7480107973115813,1.4796197421888874e-05,COMPLETE
60,0.2316192388534546,2023-09-03 09:44:29.080567,2023-09-03 09:44:32.969976,0 days 00:00:03.889409,Sigmoid,ReLU,Tanh,12,7,5.0,12.0,0.0010351353890567432,3,100,0.52906125054477,2.03093374120627e-05,COMPLETE
61,0.22799742221832275,2023-09-03 09:44:32.970265,2023-09-03 09:44:37.266648,0 days 00:00:04.296383,Tanh,ReLU,,12,10,2.0,,0.0006447115775147596,2,100,0.7258457203446086,1.3735485067983815e-05,COMPLETE
62,0.2016059160232544,2023-09-03 09:44:37.266914,2023-09-03 09:44:40.820534,0 days 00:00:03.553620,Tanh,ReLU,,12,8,7.0,,0.002129496043324497,2,100,0.5967094386208199,3.40834365569851e-05,COMPLETE
63,0.2106347382068634,2023-09-03 09:44:40.820813,2023-09-03 09:44:44.638045,0 days 00:00:03.817232,Tanh,ReLU,,12,14,4.0,,0.0009431508217994819,2,80,0.7977761364031609,1.2638534216820006e-05,COMPLETE
64,0.20012255012989044,2023-09-03 09:44:44.638336,2023-09-03 09:44:48.707962,0 days 00:00:04.069626,Tanh,ReLU,,12,9,5.0,,0.0006838341107966968,2,100,0.6826930621407095,2.0733774349104172e-05,COMPLETE
65,0.22544676065444946,2023-09-03 09:44:48.708237,2023-09-03 09:44:52.773290,0 days 00:00:04.065053,Leaky,ReLU,,12,9,6.0,,0.0006772007625789301,2,100,0.6859665647911745,2.2351457891418666e-05,COMPLETE
66,0.22751998901367188,2023-09-03 09:44:52.773563,2023-09-03 09:44:56.377999,0 days 00:00:03.604436,Tanh,Sigmoid,,12,8,3.0,,0.0013611854701301856,2,100,0.6092308164733256,1.0462798336936622e-05,COMPLETE
67,0.30393657088279724,2023-09-03 09:44:56.378267,2023-09-03 09:44:59.748387,0 days 00:00:03.370120,Leaky,ReLU,,12,5,1.0,,0.00030022381117341936,2,100,0.5722627017119274,1.8232782647090834e-05,COMPLETE
68,0.17451699078083038,2023-09-03 09:44:59.748659,2023-09-03 09:45:02.935443,0 days 00:00:03.186784,ReLU,Leaky,,12,11,4.0,,0.00443989458275473,2,80,0.6702351432073986,3.206495059568757e-05,COMPLETE
69,0.2004726082086563,2023-09-03 09:45:02.935700,2023-09-03 09:45:24.878950,0 days 00:00:21.943250,ReLU,Leaky,,2,11,4.0,,0.004595444876433421,2,100,0.6794003482149525,3.1457870650544194e-05,COMPLETE
70,0.2069675326347351,2023-09-03 09:45:24.879218,2023-09-03 09:45:27.884557,0 days 00:00:03.005339,ReLU,Leaky,,12,7,10.0,,0.006586053418485473,2,80,0.6311361721594584,5.586536877127757e-05,COMPLETE
71,0.20156311988830566,2023-09-03 09:45:27.884817,2023-09-03 09:45:49.909842,0 days 00:00:22.025025,ReLU,Leaky,,2,11,6.0,,0.005281126423467049,2,100,0.6801724721044182,3.1686999016078495e-05,COMPLETE
72,0.17194293439388275,2023-09-03 09:45:49.910110,2023-09-03 09:46:12.386515,0 days 00:00:22.476405,ReLU,Leaky,,2,11,7.0,,0.003872960061842258,2,100,0.689432926484805,2.4334206507497352e-05,COMPLETE
73,0.1994817703962326,2023-09-03 09:46:12.386776,2023-09-03 09:46:37.909638,0 days 00:00:25.522862,ReLU,Leaky,,2,9,5.0,,0.010772364753091622,2,100,0.7934617577923291,4.080107873488107e-05,COMPLETE
