number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_batch_size,params_fl1,params_fl2,params_fl3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
47,0.46619418263435364,2023-09-03 09:44:53.433370,2023-09-03 09:45:00.154126,0 days 00:00:06.720756,ReLU,ReLU,Sigmoid,8,16,1.0,22.0,0.0012076988022582955,3,100,0.6160716556284019,1.7079370054890092e-05,COMPLETE
48,0.25490227341651917,2023-09-03 09:45:00.154405,2023-09-03 09:45:05.107908,0 days 00:00:04.953503,ReLU,Sigmoid,ReLU,8,8,5.0,24.0,0.0017948896755024676,3,80,0.5608332229842358,1.6208849713066207e-05,COMPLETE
49,0.22704264521598816,2023-09-03 09:45:05.108184,2023-09-03 09:45:09.906456,0 days 00:00:04.798272,ReLU,ReLU,ReLU,8,11,7.0,22.0,0.009275384993876317,3,100,0.43059640910643376,6.170921850992676e-05,COMPLETE
50,0.30492597818374634,2023-09-03 09:45:09.906740,2023-09-03 09:45:10.889294,0 days 00:00:00.982554,ReLU,,,30,11,,,0.008789160395061179,1,100,0.4338654219731304,3.523716425900998e-05,COMPLETE
51,0.21767568588256836,2023-09-03 09:45:10.889548,2023-09-03 09:45:16.229912,0 days 00:00:05.340364,ReLU,ReLU,ReLU,8,10,7.0,22.0,0.0024681607468741143,3,100,0.4955138822150254,6.346458007507207e-05,COMPLETE
52,0.25719311833381653,2023-09-03 09:45:16.230189,2023-09-03 09:45:23.055359,0 days 00:00:06.825170,ReLU,ReLU,ReLU,8,9,8.0,23.0,0.01226670374430756,3,100,0.63372330837946,0.00012543512685275402,COMPLETE
53,0.24476133286952972,2023-09-03 09:45:23.055634,2023-09-03 09:45:29.214769,0 days 00:00:06.159135,ReLU,ReLU,ReLU,8,10,7.0,22.0,0.003233849727070491,3,100,0.5695644768138348,7.140322412165371e-05,COMPLETE
54,0.2659038007259369,2023-09-03 09:45:29.215052,2023-09-03 09:45:35.511222,0 days 00:00:06.296170,ReLU,ReLU,ReLU,10,7,9.0,17.0,0.006069105441387113,3,100,0.7183572357853358,2.9632906946822524e-05,COMPLETE
55,0.24242664873600006,2023-09-03 09:45:35.511511,2023-09-03 09:45:51.701065,0 days 00:00:16.189554,Sigmoid,ReLU,ReLU,2,12,7.0,20.0,0.0084769340127788,3,80,0.48895426181952845,8.86554212162584e-05,COMPLETE
56,0.23413822054862976,2023-09-03 09:45:51.701356,2023-09-03 09:45:56.365739,0 days 00:00:04.664383,ReLU,ReLU,Sigmoid,8,11,11.0,17.0,0.002736062008283123,3,100,0.4262529443479039,1.6372226264609068e-05,COMPLETE
57,0.2399033159017563,2023-09-03 09:45:56.366035,2023-09-03 09:45:59.236249,0 days 00:00:02.870214,ReLU,ReLU,Leaky,16,8,6.0,11.0,0.0057082489814412355,3,100,0.4988774512465199,0.00012885931914585495,COMPLETE
58,0.2070506066083908,2023-09-03 09:45:59.236525,2023-09-03 09:46:05.526953,0 days 00:00:06.290428,ReLU,Tanh,ReLU,8,13,11.0,23.0,0.01272900348897556,3,100,0.5718243254313181,3.48034384483556e-05,COMPLETE
59,0.22821083664894104,2023-09-03 09:46:05.527234,2023-09-03 09:46:12.714894,0 days 00:00:07.187660,ReLU,Tanh,ReLU,8,14,9.0,23.0,0.013601240961531726,3,100,0.6578279640562545,7.181275257531082e-05,COMPLETE
60,0.23707127571105957,2023-09-03 09:46:12.715180,2023-09-03 09:46:19.141741,0 days 00:00:06.426561,ReLU,Tanh,ReLU,8,13,4.0,20.0,0.003757607455349078,3,100,0.5946268300560176,3.0102289136823974e-05,COMPLETE
61,0.21463152766227722,2023-09-03 09:46:19.142022,2023-09-03 09:46:26.649121,0 days 00:00:07.507099,ReLU,Tanh,ReLU,8,14,23.0,23.0,0.005243262922628027,3,100,0.6728309442674838,6.893404827173076e-05,COMPLETE
62,0.2188071459531784,2023-09-03 09:46:26.649421,2023-09-03 09:46:32.928199,0 days 00:00:06.278778,ReLU,Tanh,ReLU,8,12,22.0,23.0,0.00551080310451884,3,100,0.562162484654573,5.712419447422919e-05,COMPLETE
63,0.19589018821716309,2023-09-03 09:46:32.928483,2023-09-03 09:46:40.260684,0 days 00:00:07.332201,ReLU,Tanh,ReLU,8,16,24.0,23.0,0.00236738827032288,3,100,0.6624613540920781,4.704947397608303e-05,COMPLETE
64,0.2005481719970703,2023-09-03 09:46:40.260972,2023-09-03 09:46:48.092903,0 days 00:00:07.831931,ReLU,Tanh,ReLU,8,16,24.0,23.0,0.0020267055321188964,3,100,0.7125278565724824,0.00014939447371475805,COMPLETE
65,0.19214288890361786,2023-09-03 09:46:48.093185,2023-09-03 09:46:55.888262,0 days 00:00:07.795077,ReLU,Tanh,ReLU,8,16,24.0,20.0,0.0020068771510246544,3,100,0.712702960595207,0.00014188007409728982,COMPLETE
66,0.2069341540336609,2023-09-03 09:46:55.888538,2023-09-03 09:47:04.719336,0 days 00:00:08.830798,ReLU,Tanh,ReLU,8,16,24.0,20.0,0.0021546892959442418,3,100,0.7956370684711764,0.0002522471738688419,COMPLETE
67,0.19378647208213806,2023-09-03 09:47:04.719623,2023-09-03 09:47:12.685884,0 days 00:00:07.966261,ReLU,Tanh,Leaky,8,16,24.0,20.0,0.0013791272159757212,3,100,0.7248534922928278,0.0002611863410134627,COMPLETE
68,0.20147131383419037,2023-09-03 09:47:12.686165,2023-09-03 09:47:21.473211,0 days 00:00:08.787046,ReLU,Tanh,Leaky,8,17,24.0,18.0,0.0010123141264747517,3,100,0.7969286367089701,0.00026607099114053545,COMPLETE
