number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_batch_size,params_fl1,params_fl2,params_fl3,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
68,0.23085574805736542,2023-09-03 09:51:31.652261,2023-09-03 09:51:34.245525,0 days 00:00:02.593264,Leaky,Leaky,ReLU,8,22,10.0,12.0,0.001444596630428094,3,40,0.5989923406541132,0.0012870908192285533,COMPLETE
69,0.23610994219779968,2023-09-03 09:51:34.245798,2023-09-03 09:51:52.765475,0 days 00:00:18.519677,Leaky,ReLU,Tanh,2,23,5.0,10.0,0.0010893755704016114,3,100,0.44371347140757067,0.0005145013597575991,COMPLETE
70,0.23103389143943787,2023-09-03 09:51:52.765776,2023-09-03 09:52:14.902857,0 days 00:00:22.137081,Leaky,Sigmoid,Tanh,2,21,13.0,8.0,0.0017694093952092536,3,80,0.6521472415747652,0.0009018660024587118,COMPLETE
71,0.2374403178691864,2023-09-03 09:52:14.903148,2023-09-03 09:52:27.887388,0 days 00:00:12.984240,Leaky,Leaky,,2,22,7.0,,0.003026562351981118,2,80,0.48695540637525125,0.0002224869690225601,COMPLETE
72,0.22914806008338928,2023-09-03 09:52:27.887670,2023-09-03 09:52:39.024980,0 days 00:00:11.137310,Leaky,Leaky,,2,24,8.0,,0.0023614242576406237,2,80,0.4162996632547219,0.00015306258231537613,COMPLETE
73,0.1850704699754715,2023-09-03 09:52:39.025263,2023-09-03 09:52:53.664764,0 days 00:00:14.639501,Leaky,Leaky,,2,22,6.0,,0.0034551798744949787,2,80,0.5475207873455027,0.00026842435442929957,COMPLETE
74,0.20051148533821106,2023-09-03 09:52:53.665050,2023-09-03 09:53:11.269566,0 days 00:00:17.604516,Leaky,Leaky,Tanh,2,12,3.0,16.0,0.005334041223093107,3,80,0.5457681892002834,0.00037462556422493827,COMPLETE
75,0.22256793081760406,2023-09-03 09:53:11.269843,2023-09-03 09:53:26.669321,0 days 00:00:15.399478,Leaky,Leaky,,2,13,3.0,,0.004884579476319222,2,80,0.5996866541274425,0.0002641415453034814,COMPLETE
76,0.24597254395484924,2023-09-03 09:53:26.669590,2023-09-03 09:53:28.053404,0 days 00:00:01.383814,Leaky,ReLU,Tanh,30,10,2.0,16.0,0.009519275201201178,3,80,0.511222510887504,0.0006437310842779604,COMPLETE
77,0.273024320602417,2023-09-03 09:53:28.053680,2023-09-03 09:53:29.748948,0 days 00:00:01.695268,Sigmoid,Leaky,,16,12,4.0,,0.0035605673614576053,2,80,0.4516225771010191,0.0001791421067690134,COMPLETE
78,0.23042255640029907,2023-09-03 09:53:29.749220,2023-09-03 09:53:51.878686,0 days 00:00:22.129466,Leaky,ReLU,Tanh,2,14,3.0,16.0,0.005949387208059588,3,80,0.682242561849722,0.0003449669763401637,COMPLETE
79,0.1988411396741867,2023-09-03 09:53:51.878965,2023-09-03 09:53:59.569452,0 days 00:00:07.690487,ReLU,ReLU,Sigmoid,4,11,5.0,14.0,0.0027678258490001608,3,80,0.47015729903237513,0.000279337253317672,COMPLETE
