number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
54,0.20156511664390564,2023-09-03 22:33:11.966327,2023-09-03 22:33:17.688892,0 days 00:00:05.722565,ReLU,Leaky,,,8,20,24.0,,,0.0015480214067354595,2,80,0.7042670976263424,3.266729132936379e-05,COMPLETE
55,0.21122348308563232,2023-09-03 22:33:17.689168,2023-09-03 22:33:24.460693,0 days 00:00:06.771525,Sigmoid,Leaky,Sigmoid,,8,20,24.0,21.0,,0.000730519917439342,3,80,0.7096267279761851,2.734188157843356e-05,COMPLETE
56,0.1789095401763916,2023-09-03 22:33:24.460979,2023-09-03 22:33:29.196396,0 days 00:00:04.735417,ReLU,Leaky,,,8,16,20.0,,,0.0008324685781243982,2,80,0.6718979630749233,0.000148340836683274,COMPLETE
57,0.2000156193971634,2023-09-03 22:33:29.196679,2023-09-03 22:33:33.040656,0 days 00:00:03.843977,Tanh,Leaky,,,8,17,20.0,,,0.0008617568446176607,2,60,0.7216511338759302,0.00015461184258690395,COMPLETE
58,0.19255231320858002,2023-09-03 22:33:33.040928,2023-09-03 22:33:35.921166,0 days 00:00:02.880238,Tanh,Leaky,,,10,15,20.0,,,0.0007397536800939451,2,60,0.6572982978901406,0.00014207326114848613,COMPLETE
59,0.1904478371143341,2023-09-03 22:33:35.921455,2023-09-03 22:33:38.784345,0 days 00:00:02.862890,Tanh,Leaky,,,10,15,20.0,,,0.0008731046218307393,2,60,0.6471814641508885,0.00016182707074016247,COMPLETE
60,0.17591920495033264,2023-09-03 22:33:38.784630,2023-09-03 22:33:41.671935,0 days 00:00:02.887305,Tanh,Leaky,,,10,15,21.0,,,0.002999959627494265,2,60,0.6605284048967361,0.00014750800745103908,COMPLETE
61,0.19361808896064758,2023-09-03 22:33:41.672222,2023-09-03 22:33:46.360173,0 days 00:00:04.687951,Tanh,Leaky,,,10,15,21.0,,,0.0033839719357012356,2,60,0.6501422103940444,0.00014986859079687274,COMPLETE
62,0.1828024536371231,2023-09-03 22:33:46.360444,2023-09-03 22:33:51.111461,0 days 00:00:04.751017,Tanh,Leaky,,,10,15,20.0,,,0.0032704205043087593,2,60,0.6230601287191962,0.00016481035263882202,COMPLETE
63,0.1775372177362442,2023-09-03 22:33:51.111743,2023-09-03 22:33:54.012599,0 days 00:00:02.900856,Tanh,Leaky,,,10,14,21.0,,,0.0029345208889794,2,60,0.6633352934719456,0.00017380358258820957,COMPLETE
64,0.18593639135360718,2023-09-03 22:33:54.012874,2023-09-03 22:33:56.843245,0 days 00:00:02.830371,Tanh,Leaky,,,10,14,20.0,,,0.002512266598905369,2,60,0.6512936199913474,0.00026188398527824465,COMPLETE
65,0.2063210904598236,2023-09-03 22:33:56.843527,2023-09-03 22:33:59.194215,0 days 00:00:02.350688,Tanh,Leaky,,,10,14,19.0,,,0.002827903774641993,2,60,0.5355246777476774,0.00024238466552563932,COMPLETE
66,0.17697079479694366,2023-09-03 22:33:59.194492,2023-09-03 22:34:02.847351,0 days 00:00:03.652859,Tanh,Leaky,,,10,14,23.0,,,0.003682591527572093,2,60,0.6623143969528139,0.00031476605082220426,COMPLETE
67,0.18621207773685455,2023-09-03 22:34:02.847625,2023-09-03 22:34:11.509128,0 days 00:00:08.661503,Tanh,Leaky,,,10,13,23.0,,,0.004766876615066843,2,60,0.7905999796392722,0.0003261474525869872,COMPLETE
68,0.18429605662822723,2023-09-03 22:34:11.509406,2023-09-03 22:34:17.154761,0 days 00:00:05.645355,Tanh,Leaky,Tanh,,10,14,23.0,20.0,,0.0037089655220169356,3,60,0.5482347096381984,0.00019640446547282165,COMPLETE
69,0.18848586082458496,2023-09-03 22:34:17.155055,2023-09-03 22:34:20.150687,0 days 00:00:02.995632,Tanh,Leaky,Tanh,,10,12,23.0,19.0,,0.0032213013712665494,3,60,0.5443853891960816,0.00019009184830698575,COMPLETE
70,0.19713546335697174,2023-09-03 22:34:20.150976,2023-09-03 22:34:22.868680,0 days 00:00:02.717704,Tanh,Leaky,Tanh,,10,17,22.0,14.0,,0.005671762948355572,3,60,0.4893486558741768,9.45800984704492e-05,COMPLETE
71,0.19374771416187286,2023-09-03 22:34:22.868972,2023-09-03 22:34:27.927134,0 days 00:00:05.058162,Tanh,Leaky,Tanh,,10,14,21.0,24.0,,0.002159080074368573,3,60,0.6700510085773427,0.0002858933573146463,COMPLETE
72,0.20358791947364807,2023-09-03 22:34:27.927411,2023-09-03 22:34:30.655279,0 days 00:00:02.727868,Tanh,Leaky,,,10,14,23.0,,,0.0035361879178636177,2,60,0.615520016896206,0.00011744033681874796,COMPLETE
73,0.19327467679977417,2023-09-03 22:34:30.655569,2023-09-03 22:34:33.646199,0 days 00:00:02.990630,Tanh,Leaky,,,10,12,22.0,,,0.0017664515296911543,2,60,0.6816715176067454,0.00020061825236840654,COMPLETE
74,0.20364198088645935,2023-09-03 22:34:33.646493,2023-09-03 22:34:36.108155,0 days 00:00:02.461662,Tanh,Leaky,,,10,13,19.0,,,0.007418149088085649,2,60,0.558935081065652,0.0003499666453725581,COMPLETE
75,0.18478591740131378,2023-09-03 22:34:36.108434,2023-09-03 22:34:40.205261,0 days 00:00:04.096827,Tanh,Leaky,Tanh,,10,15,21.0,18.0,,0.003971876778005925,3,60,0.759299481300093,0.00042804780267258256,COMPLETE
76,0.18891935050487518,2023-09-03 22:34:40.205550,2023-09-03 22:34:45.281523,0 days 00:00:05.075973,Tanh,Leaky,Tanh,,12,16,21.0,19.0,,0.003942836550770449,3,60,0.761305766169973,0.00047573909652723735,COMPLETE
77,0.20265185832977295,2023-09-03 22:34:45.281992,2023-09-03 22:34:49.545697,0 days 00:00:04.263705,Tanh,Leaky,Tanh,,10,16,24.0,17.0,,0.005713946900633636,3,60,0.593777656295991,0.0006960580258826102,COMPLETE
78,0.16075094044208527,2023-09-03 22:34:49.545985,2023-09-03 22:34:59.248373,0 days 00:00:09.702388,Tanh,Leaky,Tanh,,10,13,23.0,20.0,,0.009808050716428957,3,100,0.7990263670504637,0.00019696277402091815,COMPLETE
79,0.2094404548406601,2023-09-03 22:34:59.248846,2023-09-03 22:35:36.608837,0 days 00:00:37.359991,Tanh,Tanh,Tanh,,2,11,23.0,20.0,,0.011738290150180634,3,100,0.44514912057908085,7.773941995837672e-05,COMPLETE
80,0.20494136214256287,2023-09-03 22:35:36.609133,2023-09-03 22:35:41.598340,0 days 00:00:04.989207,Tanh,Leaky,,,10,13,23.0,,,0.0024508575146499293,2,100,0.6918937270210185,0.00019672471279529204,COMPLETE
81,0.166386678814888,2023-09-03 22:35:41.598645,2023-09-03 22:35:49.381271,0 days 00:00:07.782626,Tanh,Leaky,Tanh,,10,15,21.0,22.0,,0.0017996869139168077,3,100,0.7409738410164606,0.00011427053181158671,COMPLETE
82,0.1582900881767273,2023-09-03 22:35:49.381571,2023-09-03 22:35:58.495459,0 days 00:00:09.113888,Tanh,Leaky,Tanh,,10,15,22.0,24.0,,0.0018093468545702066,3,100,0.7979631886713566,0.00011349172814863464,COMPLETE
83,0.19175192713737488,2023-09-03 22:35:58.495765,2023-09-03 22:36:05.455849,0 days 00:00:06.960084,Tanh,Leaky,Tanh,,10,17,17.0,24.0,,0.0018281911678763104,3,100,0.7592109111742819,0.00012770787159960782,COMPLETE
84,0.17487728595733643,2023-09-03 22:36:05.456135,2023-09-03 22:36:15.545099,0 days 00:00:10.088964,Tanh,Leaky,Tanh,,10,15,21.0,22.0,,0.0015600085926721749,3,100,0.7983417040736865,0.00010412652821268747,COMPLETE
85,0.18527960777282715,2023-09-03 22:36:15.545412,2023-09-03 22:36:24.734599,0 days 00:00:09.189187,Tanh,Leaky,Tanh,,10,13,22.0,22.0,,0.0016286566102508987,3,100,0.7541379301981421,9.21185382591236e-05,COMPLETE
86,0.18849259614944458,2023-09-03 22:36:24.734902,2023-09-03 22:36:31.831660,0 days 00:00:07.096758,Tanh,Leaky,Tanh,,16,10,21.0,22.0,,0.001283430655628087,3,100,0.7919827944293478,0.00011112178512116735,COMPLETE
