number,value,datetime_start,datetime_complete,duration,params_activation1,params_activation2,params_activation3,params_activation4,params_batch_size,params_fl1,params_fl2,params_fl3,params_fl4,params_learning_rate,params_n_layers,params_num_epochs,params_train_size,params_weight_decay,state
44,0.2278078943490982,2023-09-04 00:31:53.621654,2023-09-04 00:31:58.107373,0 days 00:00:04.485719,ReLU,ReLU,Leaky,,8,8,15.0,22.0,,0.0036262524307266206,3,60,0.46180862246193877,0.0012577503442186212,COMPLETE
45,0.2820160388946533,2023-09-04 00:31:58.107660,2023-09-04 00:32:03.850661,0 days 00:00:05.743001,ReLU,ReLU,Sigmoid,ReLU,8,13,16.0,22.0,9.0,0.0014140183430354414,4,60,0.4737442828235548,0.0012180278276942692,COMPLETE
46,0.18833622336387634,2023-09-04 00:32:03.851137,2023-09-04 00:32:08.985433,0 days 00:00:05.134296,Tanh,ReLU,Leaky,,8,8,15.0,22.0,,0.0036097538159058275,3,60,0.4473733333722521,0.0019763933131609628,COMPLETE
47,0.2616085410118103,2023-09-04 00:32:08.985713,2023-09-04 00:32:15.610916,0 days 00:00:06.625203,Tanh,ReLU,Sigmoid,,8,10,15.0,22.0,,0.0035409863152446094,3,60,0.5189414896998126,0.0022882504959211504,COMPLETE
48,0.1956382393836975,2023-09-04 00:32:15.611210,2023-09-04 00:32:20.214876,0 days 00:00:04.603666,Tanh,ReLU,Leaky,,8,8,15.0,19.0,,0.0036495635860148245,3,60,0.4733434231136114,0.0008751873071258426,COMPLETE
49,0.2908950746059418,2023-09-04 00:32:20.215162,2023-09-04 00:32:25.297970,0 days 00:00:05.082808,Tanh,ReLU,,,8,10,14.0,,,0.0030032706097226046,2,60,0.6397092877002447,0.004504027294401184,COMPLETE
50,0.23542053997516632,2023-09-04 00:32:25.298243,2023-09-04 00:32:29.862766,0 days 00:00:04.564523,Tanh,ReLU,Tanh,,8,12,18.0,20.0,,0.0011588731692097976,3,60,0.4684469319485764,0.0008761390732361404,COMPLETE
51,0.27413177490234375,2023-09-04 00:32:29.863060,2023-09-04 00:32:34.389973,0 days 00:00:04.526913,Tanh,ReLU,Tanh,,8,8,18.0,19.0,,0.0011565472349374486,3,60,0.4659910298731539,0.0010012779080676652,COMPLETE
52,0.2121448814868927,2023-09-04 00:32:34.390257,2023-09-04 00:32:39.563424,0 days 00:00:05.173167,Tanh,ReLU,Tanh,,8,16,16.0,22.0,,0.0023067079617682747,3,60,0.5319655481735363,0.001597258803131579,COMPLETE
53,0.195386603474617,2023-09-04 00:32:39.563714,2023-09-04 00:32:44.837546,0 days 00:00:05.273832,Tanh,ReLU,Tanh,,8,15,16.0,21.0,,0.0027749327118108376,3,60,0.5330943586466947,0.001579800730199033,COMPLETE
54,0.20874837040901184,2023-09-04 00:32:44.837833,2023-09-04 00:32:49.901227,0 days 00:00:05.063394,Tanh,ReLU,Tanh,,8,16,17.0,19.0,,0.002519567832762299,3,60,0.5197698317133254,0.0016076291411621561,COMPLETE
55,0.21178749203681946,2023-09-04 00:32:49.901513,2023-09-04 00:32:55.315622,0 days 00:00:05.414109,Tanh,ReLU,Tanh,,8,17,21.0,21.0,,0.0021982445064463096,3,60,0.5461265059356385,0.0016522639981115758,COMPLETE
56,0.20028257369995117,2023-09-04 00:32:55.315933,2023-09-04 00:33:01.912124,0 days 00:00:06.596191,Tanh,ReLU,Tanh,,8,18,22.0,19.0,,0.0021889724676312865,3,60,0.5617606181247611,0.0019035900723387948,COMPLETE
57,0.22842922806739807,2023-09-04 00:33:01.912410,2023-09-04 00:33:06.919478,0 days 00:00:05.007068,Tanh,ReLU,,,8,19,22.0,,,0.007043712628991749,2,60,0.6133242540992064,0.0027228626669954033,COMPLETE
58,0.18275398015975952,2023-09-04 00:33:06.919766,2023-09-04 00:33:12.492341,0 days 00:00:05.572575,Tanh,ReLU,Tanh,,8,17,21.0,18.0,,0.0022898214516468575,3,60,0.5665021013393075,0.001917682742613682,COMPLETE
59,0.31940630078315735,2023-09-04 00:33:12.492626,2023-09-04 00:33:18.169555,0 days 00:00:05.676929,Tanh,Tanh,Tanh,,8,21,23.0,19.0,,0.0006710527410729519,3,60,0.5812771373910753,0.0041630272063885,COMPLETE
60,0.24827268719673157,2023-09-04 00:33:18.169847,2023-09-04 00:33:23.490073,0 days 00:00:05.320226,Tanh,ReLU,,,8,18,24.0,,,0.005557838005170383,2,60,0.6574064890783547,0.0021162054559899215,COMPLETE
61,0.2097688764333725,2023-09-04 00:33:23.490345,2023-09-04 00:33:28.899942,0 days 00:00:05.409597,Tanh,ReLU,Tanh,,8,15,21.0,19.0,,0.0023546508339991304,3,60,0.5495882110094052,0.001808898797768585,COMPLETE
62,0.21144573390483856,2023-09-04 00:33:28.900230,2023-09-04 00:33:35.726637,0 days 00:00:06.826407,Tanh,ReLU,Tanh,,8,15,21.0,19.0,,0.0015891690005926527,3,60,0.6974639573016842,0.0020753377851686055,COMPLETE
63,0.2317052185535431,2023-09-04 00:33:35.726934,2023-09-04 00:33:40.766459,0 days 00:00:05.039525,Tanh,ReLU,Tanh,,8,14,22.0,18.0,,0.002792074159182941,3,60,0.5086497551770544,0.003261356080313264,COMPLETE
64,0.29714709520339966,2023-09-04 00:33:40.766744,2023-09-04 00:34:04.366574,0 days 00:00:23.599830,Tanh,ReLU,ReLU,,2,16,20.0,19.0,,0.004937778463390825,3,60,0.568085209779319,0.007840531935596131,COMPLETE
65,0.2764682173728943,2023-09-04 00:34:04.366862,2023-09-04 00:34:09.299658,0 days 00:00:04.932796,Tanh,ReLU,Tanh,,8,19,17.0,18.0,,0.0009270323122821354,3,60,0.5014459340388603,0.0014014370584543691,COMPLETE
66,0.32494795322418213,2023-09-04 00:34:09.299958,2023-09-04 00:34:15.421256,0 days 00:00:06.121298,Tanh,ReLU,Tanh,,8,16,23.0,2.0,,0.0022979843260782533,3,60,0.6135701603556492,0.0009731798455712216,COMPLETE
67,0.23539742827415466,2023-09-04 00:34:15.421540,2023-09-04 00:34:16.559123,0 days 00:00:01.137583,Tanh,ReLU,Tanh,,30,18,18.0,20.0,,0.0043806011738630425,3,40,0.5467271756963145,0.001667052006374462,COMPLETE
68,0.1953749656677246,2023-09-04 00:34:16.559408,2023-09-04 00:34:23.165985,0 days 00:00:06.606577,Leaky,Tanh,Tanh,,8,13,20.0,14.0,,0.0017636659947293577,3,60,0.6794613531597291,0.0006833773483491881,COMPLETE
69,0.235483318567276,2023-09-04 00:34:23.166278,2023-09-04 00:34:28.674469,0 days 00:00:05.508191,Leaky,Tanh,ReLU,,16,13,20.0,13.0,,0.0015747997564723257,3,60,0.6940351946105197,0.0005507803279677183,COMPLETE
70,0.19599395990371704,2023-09-04 00:34:28.674760,2023-09-04 00:34:35.584700,0 days 00:00:06.909940,Leaky,Tanh,,,8,17,17.0,,,0.007640103313570445,2,60,0.7568315019828434,0.0005401036402553751,COMPLETE
71,0.20356647670269012,2023-09-04 00:34:35.584975,2023-09-04 00:34:41.821369,0 days 00:00:06.236394,Leaky,Tanh,,,8,17,17.0,,,0.007327960445705448,2,60,0.7743402089881816,0.0007193285131198361,COMPLETE
72,0.17545577883720398,2023-09-04 00:34:41.821649,2023-09-04 00:34:48.682320,0 days 00:00:06.860671,Leaky,Tanh,,,8,18,18.0,,,0.00813973067543285,2,60,0.7929298416176668,0.0004845825392501901,COMPLETE
73,0.17662864923477173,2023-09-04 00:34:48.682583,2023-09-04 00:34:54.667553,0 days 00:00:05.984970,Leaky,Tanh,,,8,20,19.0,,,0.008838482942555717,2,60,0.7508817384050612,0.0004351367135599725,COMPLETE
74,0.2113199681043625,2023-09-04 00:34:54.667837,2023-09-04 00:35:00.741720,0 days 00:00:06.073883,Leaky,Tanh,,,8,21,18.0,,,0.009158554329896923,2,60,0.7383547992805723,0.0004742325825388319,COMPLETE
75,0.20454895496368408,2023-09-04 00:35:00.741993,2023-09-04 00:35:05.778578,0 days 00:00:05.036585,Leaky,Tanh,,,10,23,16.0,,,0.005299723614533516,2,60,0.7782099114726349,0.00045726817094654375,COMPLETE
76,0.22096167504787445,2023-09-04 00:35:05.778852,2023-09-04 00:35:31.072458,0 days 00:00:25.293606,Leaky,Tanh,,,2,20,19.0,,,0.009839672994525846,2,60,0.6791801959254512,0.0005713980465996951,COMPLETE
77,0.22782354056835175,2023-09-04 00:35:31.072733,2023-09-04 00:35:34.861555,0 days 00:00:03.788822,Leaky,Tanh,,,8,14,20.0,,,0.008214386251906534,2,40,0.7198759423928673,0.0010846329634294953,COMPLETE
78,0.21270297467708588,2023-09-04 00:35:34.861826,2023-09-04 00:35:40.662148,0 days 00:00:05.800322,Leaky,Tanh,,,8,19,14.0,,,0.0035926626410433156,2,60,0.6436754797615892,0.0008639171719218742,COMPLETE
79,0.17418831586837769,2023-09-04 00:35:40.662423,2023-09-04 00:35:42.680469,0 days 00:00:02.018046,Leaky,Tanh,,,30,20,19.0,,,0.006160274875100611,2,60,0.7987784899426086,0.0003990567898013516,COMPLETE
80,0.18479852378368378,2023-09-04 00:35:42.680729,2023-09-04 00:35:44.236862,0 days 00:00:01.556133,Leaky,Tanh,,,30,22,19.0,,,0.006107966390036348,2,60,0.6109648618476535,0.0003476669402304271,COMPLETE
81,0.17237426340579987,2023-09-04 00:35:44.237136,2023-09-04 00:35:46.224822,0 days 00:00:01.987686,Leaky,Tanh,,,30,22,19.0,,,0.004852016334320201,2,60,0.787960011172997,0.000346757305649299,COMPLETE
82,0.18526433408260345,2023-09-04 00:35:46.225091,2023-09-04 00:35:48.052464,0 days 00:00:01.827373,Leaky,Tanh,,,30,23,19.0,,,0.005875242012432306,2,60,0.7230344576403522,0.00030327036444751184,COMPLETE
83,0.18841496109962463,2023-09-04 00:35:48.052732,2023-09-04 00:35:50.219485,0 days 00:00:02.166753,Leaky,Tanh,,,30,23,19.0,,,0.005758641719357036,2,60,0.7297191152577398,0.0003755436236487219,COMPLETE
84,0.16001680493354797,2023-09-04 00:35:50.219941,2023-09-04 00:35:53.163411,0 days 00:00:02.943470,Leaky,Tanh,,,30,23,19.0,,,0.0061585539839724476,2,60,0.7879134837981948,0.00034597120357497956,COMPLETE
85,0.16630330681800842,2023-09-04 00:35:53.163677,2023-09-04 00:35:57.480112,0 days 00:00:04.316435,Leaky,Tanh,,,30,22,19.0,,,0.012982623357454162,2,100,0.7925240552840261,0.0003339258183097156,COMPLETE
86,0.19514743983745575,2023-09-04 00:35:57.480385,2023-09-04 00:35:58.833309,0 days 00:00:01.352924,Leaky,Tanh,,,30,22,19.0,,,0.013502675214266312,2,40,0.7995934078337841,0.00020090048110703497,COMPLETE
87,0.17527055740356445,2023-09-04 00:35:58.833580,2023-09-04 00:36:01.979004,0 days 00:00:03.145424,Leaky,Tanh,,,30,22,18.0,,,0.01618597336612602,2,100,0.7457014744254309,0.0004151749139435193,COMPLETE
88,0.15870851278305054,2023-09-04 00:36:01.979274,2023-09-04 00:36:05.336737,0 days 00:00:03.357463,Leaky,Tanh,,,30,22,18.0,,,0.016373527525696294,2,100,0.7964342931815023,0.00037296447874937466,COMPLETE
89,0.17355117201805115,2023-09-04 00:36:05.337003,2023-09-04 00:36:09.701058,0 days 00:00:04.364055,Leaky,Tanh,,,30,24,18.0,,,0.0179305986209188,2,100,0.7504446779345035,0.0004092816881561708,COMPLETE
90,0.18004067242145538,2023-09-04 00:36:09.701498,2023-09-04 00:36:14.986992,0 days 00:00:05.285494,Leaky,Tanh,,,30,24,18.0,,,0.017430115642341152,2,100,0.7934037125547948,0.00044096308999261465,COMPLETE
91,0.17827746272087097,2023-09-04 00:36:14.987268,2023-09-04 00:36:18.302802,0 days 00:00:03.315534,Leaky,Tanh,,,30,24,18.0,,,0.017068425509447985,2,100,0.7888840448055582,0.00039625038208867375,COMPLETE
92,0.192586749792099,2023-09-04 00:36:18.303078,2023-09-04 00:36:21.451455,0 days 00:00:03.148377,Leaky,Tanh,,,30,22,18.0,,,0.02315104861877617,2,100,0.747962791923751,0.00037680641528173645,COMPLETE
93,0.1810166835784912,2023-09-04 00:36:21.451735,2023-09-04 00:36:24.809831,0 days 00:00:03.358096,Leaky,Tanh,,,30,20,20.0,,,0.016289666118794528,2,100,0.7999322482119701,0.00017121683607550703,COMPLETE
94,0.18330344557762146,2023-09-04 00:36:24.810099,2023-09-04 00:36:28.011263,0 days 00:00:03.201164,Leaky,Tanh,,,30,24,18.0,,,0.013369547456814523,2,100,0.755929691389698,0.0003042497387094031,COMPLETE
95,0.18484029173851013,2023-09-04 00:36:28.011531,2023-09-04 00:36:32.378639,0 days 00:00:04.367108,Leaky,Tanh,,,30,22,17.0,,,0.011833078022075543,2,100,0.7088593120492741,0.00023358844451266522,COMPLETE
96,0.19065482914447784,2023-09-04 00:36:32.378912,2023-09-04 00:36:35.624853,0 days 00:00:03.245941,Leaky,Tanh,,,30,21,20.0,,,0.019899764839263374,2,100,0.7570173639997227,0.00042698542896207496,COMPLETE
97,0.21117982268333435,2023-09-04 00:36:35.625130,2023-09-04 00:36:38.554129,0 days 00:00:02.928999,Leaky,Tanh,,,30,23,18.0,,,0.03341233600920232,2,100,0.660740473130532,0.00032570437727976934,COMPLETE
98,0.18816739320755005,2023-09-04 00:36:38.554403,2023-09-04 00:36:41.823705,0 days 00:00:03.269302,Leaky,Tanh,,,30,20,19.0,,,0.009773043243003461,2,100,0.7073592526023359,0.00019086032077296548,COMPLETE
99,0.18972234427928925,2023-09-04 00:36:41.823987,2023-09-04 00:36:51.202078,0 days 00:00:09.378091,Leaky,Tanh,,,30,24,16.0,,,0.013869886405105626,2,100,0.7590658750483261,0.00025877102691556427,COMPLETE
